,document,score,review_score,most_words,Pos_Neu_Neg
1,이사오기전 회사 앞이라 가끔 갔는데 먹기도 힘들지만 난 화장실도 힘들었던 ㅋㅋ  근데 여자들이 너~~무 많~~다 ~~ 이 어려운 음식을 ㅋㅋ,1.0,0.9277,"[('기전', 1), ('회사', 1), ('앞', 1), ('가끔', 1), ('먹기', 1), ('힘들지만', 1), ('난', 1), ('화장실', 1), ('힘들었던', 1), ('여자', 1)]",긍정
6,김밥집 냉면이200배는 맛있음,1.0,0.9692,"[('김밥', 1), ('집', 1), ('냉면', 1), ('맛있음', 1)]",긍정
10,비냉과물냉두개시켜먹었는데 양념이 맵더라구요 맛은있는데 양념이 몬가 깊은양념맛은 아닌듯 … ㅎㅎ,5.0,0.1504,"[('양념', 3), ('맛', 2), ('비냉', 1), ('물냉', 1), ('개시', 1), ('켜', 1), ('있는데', 1), ('몬', 1), ('깊은', 1), ('아닌듯', 1)]",부정
15,맛없다고욕하는사람들이해안되요 미친듯이매운곳인데뭐 ㅋㅋ맛이아니라아프러오는곳 ㅋ스트레스풀러와요가끔ㅋㅋㅋㅋ,4.0,0.0125,"[('곳', 2), ('맛없다고', 1), ('욕', 1), ('사람', 1), ('이해', 1), ('안되요', 1), ('미친듯이', 1), ('매운', 1), ('뭐', 1), ('맛', 1)]",부정
29,난 못먹는데 매운걸좋아하는데 여기는 그냥심하게아픈맛인데 근데 또가고싶은데??잉?,5.0,0.1107,"[('난', 1), ('매운', 1), ('걸', 1), ('좋아하는데', 1), ('그냥', 1), ('심하게', 1), ('아픈', 1), ('맛', 1), ('또', 1), ('잉', 1)]",부정
50,비빔냉면 좀 들 맵게 먹는방법-육수넣은 비빔을 시켜서 설탕 한스픈 반 쫌 안되게 넣어 먹음 그나마 쫌 들맵습니당.,4.0,0.2544,"[('쫌', 2), ('비빔냉면', 1), ('좀', 1), ('맵', 1), ('방법', 1), ('육수', 1), ('비빔', 1), ('설탕', 1), ('한스', 1), ('픈', 1)]",부정
53,매운가좋아하는사람으로써엽떡보다덜매움. 게다가맛도별로... 하아...,4.0,0.0347,"[('매운가', 1), ('좋아하는', 1), ('사람', 1), ('엽', 1), ('떡보', 1), ('움', 1), ('게다가', 1), ('맛', 1), ('별로', 1)]",부정
14,순두부 뒈박..!!!!!!! 직접만드는 거같던데 ㅋ 뽀이얀 순두부 으악 또먹구싶돵..,4.0,0.3146,"[('순두부', 2), ('뒈박', 1), ('직접', 1), ('거', 1), ('같던데', 1), ('뽀이얀', 1), ('또', 1), ('돵', 1)]",부정
17,비지찌개가 생각나면 백년옥을 떠오릅니다  다른곳은 그냥 비지라면 백년옥은 topㅋㅋㅋ,5.0,0.0815,"[('비지', 2), ('백년', 2), ('옥', 2), ('찌개', 1), ('곳', 1), ('그냥', 1), ('라면', 1)]",부정
24,"자연식순두부 8천원, 뚝배기ㅣ 순두부 8천원~~ 비지도 팔고 팥죽이랑 팥칼국수, 도토리묵같은것도 팔아요~ 동동주 한 잔 같이하면 완즌 주겨준다잉",4.0,0.034,"[('순두부', 2), ('자연', 1), ('뚝배기', 1), ('비지', 1), ('팔고', 1), ('팥죽', 1), ('팥', 1), ('칼국수', 1), ('도토리묵', 1), ('같은것도', 1)]",부정
26,따끈따끈 생두부무침이 대박ㅜㅜ 집이랑 가까우면 더 많이 찾는건데ㅜㅜ그렇지못해서 아쉬워잉,5.0,0.3166,"[('따끈따끈', 1), ('생', 1), ('두부', 1), ('대박', 1), ('집', 1), ('가까우면', 1), ('더', 1), ('그렇지못', 1), ('아쉬워', 1), ('잉', 1)]",부정
49,얼큰 콩비지 개인적으로 추천해요 다른 콩비지잘못먹으면 비릿한데 여기는 그런 비릿한 느낌이 전혀 없네요 ㅎㅎ,4.0,0.0216,"[('콩', 2), ('비지', 2), ('얼', 1), ('개인', 1), ('추천', 1), ('다른', 1), ('잘못', 1), ('비릿한데', 1), ('그런', 1), ('비릿', 1)]",부정
58,동동주 시키고 호박전 시켰는데  호박전진짜 달다구리하면서 간장에찍어먹으면 짱인듯!!!,5.0,0.2337,"[('호박', 2), ('동동주', 1), ('전', 1), ('진짜', 1), ('구리', 1), ('면서', 1), ('간장', 1)]",부정
62,뚝배기맛 순두부는 음. 양념되어있는 빨간 순두부맛? 내 입맛에는 맞는당,5.0,0.0499,"[('맛', 2), ('순두부', 2), ('뚝배기', 1), ('음', 1), ('양념', 1), ('빨간', 1), ('내', 1), ('입맛', 1)]",부정
71,이북식 시래기 되비지 고기가 좀더 들어 있으면 좋겠닼ㅋㅋㅋ 그래도 뭐 삼삼하니 먹을만하닼ㅋㅋㅋㅋ,4.0,0.0441,"[('이북', 1), ('시래기', 1), ('비지', 1), ('고기', 1), ('좀더', 1), ('있으면', 1), ('좋겠닼', 1), ('뭐', 1), ('삼삼하니', 1), ('만하', 1)]",부정
76,예전보다 양이 작아졌음,4.0,0.2753,"[('예전', 1), ('양', 1)]",부정
