,document,score,review_score,most_words,Pos_Neu_Neg
0,커다란가마솥에 미리끓여놓는방식이라 금방금방나와요 ^^,3.0,0.5468,"[('금방', 2), ('커다란', 1), ('가마솥', 1), ('미리', 1), ('방식', 1)]",중립
1,고기 진짜 맛있다!!!!!,3.0,0.9787,"[('고기', 1), ('진짜', 1), ('맛있다', 1)]",긍정
2,자극적이지않은 김치찌개가 맛있어요,4.0,0.926,"[('자극', 1), ('김치찌개', 1), ('맛있어요', 1)]",긍정
3,정육식당인데 의외로 고기류는 종류가많지않고 식사류들이 더다양하게있습니다 ㅎ_ㅎ,5.0,0.9404,"[('정육', 1), ('식당', 1), ('기류', 1), ('종류', 1), ('많지', 1), ('식사', 1), ('류', 1), ('더', 1), ('다양하게있습니다', 1)]",긍정
4,이모들이 불친절한건아닌데 너무바쁘시니 정신이없으셔서 여러번얘기하셔야 해주세요…..,4.0,0.0913,"[('이모', 1), ('불친절한건', 1), ('아닌데', 1), ('바쁘시니', 1), ('정신', 1), ('없으셔서', 1), ('번', 1), ('얘기', 1)]",부정
5,정육식당이라서 고기가 맛있네용,3.0,0.9648,"[('정육', 1), ('식당', 1), ('고기', 1), ('맛있네용', 1)]",긍정
6,개인적으론 김치찌개보다는 삼겹살하고 차돌박이가 맛있는듯,5.0,0.9307,"[('개인', 1), ('김치찌개', 1), ('삼겹살', 1), ('차돌박이', 1), ('맛있는듯', 1)]",긍정
7,몇명이와도 찌개를 따로 뚝배기에주고 밑반찬도 깔끔해서 너~무좋아용,4.0,0.9874,"[('명', 1), ('찌개', 1), ('뚝배기', 1), ('밑반찬', 1), ('깔끔해서', 1), ('너', 1), ('무', 1), ('좋아용', 1)]",긍정
8,밑반찬 가짓수가 많진않아도 음식들이 간도잘맞고 정갈한편입니다,3.0,0.9756,"[('밑반찬', 1), ('가짓수', 1), ('많진', 1), ('음식', 1), ('간도', 1), ('잘맞고', 1), ('정갈한', 1), ('편입', 1), ('니', 1)]",긍정
9,김치찌개가 덜짜서 밥에 훌훌말아먹기 좋았어요~~,3.0,0.546,"[('김치찌개', 1), ('덜', 1), ('밥', 1), ('훌훌', 1), ('좋았어요', 1)]",중립
10,24시간이여서 늦은밤 삼겹살이생각날때 김치찌개가 먹고싶을때 찾기좋음 ㅋ,5.0,0.8931,"[('때', 2), ('밤', 1), ('삼겹살', 1), ('김치찌개', 1), ('찾기', 1), ('좋음', 1)]",긍정
11,김치찌개의 간도 잘맞고 김치도 잘익었고 고기도 푹익혀서그런가 정말부드러우면서 고소:),5.0,0.8749,"[('김치찌개', 1), ('간도', 1), ('잘맞고', 1), ('김치', 1), ('고기', 1), ('푹', 1), ('런가', 1), ('정말', 1), ('부드러우면서', 1), ('고소', 1)]",긍정
12,김치찌개로 유명하지만 삼겹살이나 제육복음등 다양한 메뉴들이 준비되있어서 여러명이 방문할때 다양한 메뉴를 시켜먹을수있어서 좋습니다,5.0,0.9728,"[('다양한', 2), ('메뉴', 2), ('김치찌개', 1), ('유명하지만', 1), ('삼겹살', 1), ('복음', 1), ('등', 1), ('준비', 1), ('명', 1), ('방문', 1)]",긍정
