,document,score,review_score,most_words,Pos_Neu_Neg
0,말로만 들어봣던 카페마마스를 드디어!!!!접했습니댱 ㅠㅠㅠㅠ원래 소고기가지파니니를 먹고 싶었는데 품절이라고 떠서...베스트메뉴인 모짜렐라토마토파니니를 먹엇는데 진짜 이건 후회하지 않을 맛이구요❤️치즈 거어업나 두껍고 쫀득하고...사랑이어떠요 ㅠㅠㅠ또다른 베스트 메뉴인 클럽 샌드위치는 진짜 한 입에 절대 못 먹어요 ㅋㅋㅋㅋㅋ안에 속재료가 넘쳐나서 감동 받았자나요 ㅎㅅㅎ 배달해도 과연 맛이 똑같을까 싶었는데 진짜 완전 맛잇구 기회가 되면 매장 가서도 먹어보려구요!!!!!!,5.0,0.9905,"[('진짜', 3), ('맛', 3), ('파니니', 2), ('베스트', 2), ('메뉴인', 2), ('말로', 1), ('들어봣던', 1), ('카페', 1), ('마', 1), ('마스', 1)]",긍정
1,"맛, 분위기, 가격 모두 좋네요. 부담 없이 친구와 즐길 수 있는 카페입니다",4.0,0.9896,"[('맛', 1), ('분위기', 1), ('가격', 1), ('모두', 1), ('좋네요', 1), ('부담', 1), ('친구', 1), ('수', 1), ('있는', 1), ('카페', 1)]",긍정
2,맛난다,5.0,0.5782,"[('맛', 1)]",중립
3,제 입맛에 딱이네요.,5.0,0.9024,"[('제', 1), ('입맛', 1), ('딱이네요', 1)]",긍정
4,나만 알고싶은 맛집,5.0,0.4887,"[('나', 1), ('맛집', 1)]",중립
5,나만 알고싶은 맛집,5.0,0.4887,"[('나', 1), ('맛집', 1)]",중립
6,배달은 50분정도 걸렸고 리코타치즈샐러드는 괜찮았는데 빠니니가 너무 식어서 와서 쩜 그랬어요...,5.0,0.0912,"[('배달', 1), ('리코', 1), ('치즈', 1), ('샐러드', 1), ('괜찮았는데', 1), ('쩜', 1), ('그랬어요', 1)]",부정
7,빠른배달 그리고 건강한 맛 제 취향저격입니다,5.0,0.9709,"[('빠른', 1), ('배달', 1), ('건강한', 1), ('맛', 1), ('제', 1), ('취향', 1), ('저격', 1), ('입니다', 1)]",긍정
8,평이한 정도에요.,3.0,0.0725,"[('평이한', 1), ('정도', 1)]",부정
9,음식맛이 일품이네요,5.0,0.9608,"[('음식', 1), ('맛', 1), ('일품', 1), ('요', 1)]",긍정
10,적극 추천합니다.,5.0,0.9545,"[('적극', 1), ('추천', 1)]",긍정
11,여전히 사랑받는마마스 *^^*~ 평일엔 오전8시전부터 오픈할정도로 오랜시간 영업하는곳중하나에요! 식사대용으로 먹을 메뉴가 많아서 커피랑 같이즐기러오는곳이에요~,3.0,0.9931,"[('곳', 2), ('여전히', 1), ('마스', 1), ('평일', 1), ('오전', 1), ('오픈', 1), ('정도', 1), ('시간', 1), ('영업', 1), ('하나', 1)]",긍정
12,강남역에 널리고널린 까페들중에 후레쉬함이느껴지는까페는 마마스가 단연최고! 달콤한 디저트와 다르게 신선함과 든든함이 느껴지는곳임,3.5,0.9856,"[('까페', 2), ('강남역', 1), ('널리', 1), ('널린', 1), ('중', 1), ('후', 1), ('레쉬', 1), ('함', 1), ('마', 1), ('마스', 1)]",긍정
13,강남역쪽에 영어학원다니면서 자주갔던 마마스~! 조용한편이었던 매장인지라 수업후 간단하게 공부하기도좋았어요! 파니니 하나만으로도 충분히 배불렀던맛집!,3.5,0.9887,"[('강남역', 1), ('쪽', 1), ('영어학원', 1), ('자주', 1), ('마', 1), ('마스', 1), ('조용한', 1), ('매장', 1), ('인지', 1), ('수업', 1)]",긍정
14,빵과 같이즐길만한 음식들이기에 아침이나 점심에 먹기좋을것같아요~ 겉보기와다르게 빵도 촉촉하고 부드러우니 맛있네요 ^^,3.0,0.99,"[('빵', 2), ('음식', 1), ('아침', 1), ('점심', 1), ('먹기', 1), ('좋을것', 1), ('같아요', 1), ('겉보기', 1), ('다르게', 1), ('촉촉하고', 1)]",긍정
15,매장에서 만드는 음식 모두 화학조미료를 넣지않는점이 제일맘에듭니다!마마스는 역시 리코타치즈샐러드가 제일 베스트메뉴라생각해요!,3.0,0.9807,"[('매장', 1), ('음식', 1), ('모두', 1), ('화학조미료', 1), ('점', 1), ('맘', 1), ('듭니', 1), ('마', 1), ('마스', 1), ('역시', 1)]",긍정
16,마마스는 왤케 어딜가나 사람이많은고얌………. 징짜 청포도주스만아니면 딴데가는데 ㅠㅠㅠㅠㅠ 마마스 울동네에좀 분점좀내주셔요!!,3.0,0.8788,"[('마', 2), ('마스', 2), ('좀', 2), ('왤케', 1), ('가나', 1), ('사람', 1), ('많은고', 1), ('얌', 1), ('징', 1), ('청포도', 1)]",긍정
17,제 입맛에 딱이네요.,5.0,0.9024,"[('제', 1), ('입맛', 1), ('딱이네요', 1)]",긍정
18,소문듣고왔는데 맛있어요~,4.0,0.9575,"[('소문', 1), ('맛있어요', 1)]",긍정
19,마마스는 진짜 언제가도 맛있어용! 리코타치즈랑 파니니 꿀맛♡,5.0,0.9672,"[('마', 1), ('마스', 1), ('진짜', 1), ('가도', 1), ('맛있어용', 1), ('리코', 1), ('치즈', 1), ('파니니', 1), ('꿀맛', 1)]",긍정
20,"요즘 반응이 뜨겁다고하는 매운치킨샌드위치 먹고왔어요ㅋㅋㅋ 매장 직원분이 적극 추천해줬는데, 워낙 매운거 좋아하는편이라 맛있게먹었어요ㅋㅋ매운거 땡기시는 분들 추천",5.0,0.9933,"[('추천', 2), ('매운거', 2), ('요즘', 1), ('반응', 1), ('뜨겁다고', 1), ('매운', 1), ('치킨', 1), ('샌드위치', 1), ('매장', 1), ('직원', 1)]",긍정
21,"아침식사 할 수 있는 모닝세트는 7시30분부터 9시 30분까지! 토스트나 샌드위치 세트, 스프세트로 든든하고 저렴하게 식사할수있어요ㅋㅋ가격은 4500원",4.0,0.9141,"[('세트', 3), ('아침식사', 1), ('수', 1), ('있는', 1), ('모닝', 1), ('토스트', 1), ('샌드위치', 1), ('스프', 1), ('든든하고', 1), ('저렴하게', 1)]",긍정
22,맛은 있는데..캐셔가 항상 불친절하고..겨울에 창가 자리는 매우 춥다..덜덜..문이 이중으로 있어야할듯~ 코엑스처럼~,4.0,0.7903,"[('맛', 1), ('있는데', 1), ('캐셔', 1), ('항상', 1), ('불친절하고', 1), ('겨울', 1), ('창가', 1), ('자리는', 1), ('매우', 1), ('춥다', 1)]",긍정
23,"샌드위치 맛집 마마스~ 샌드위치는 대부분 비싸기만하고 푸짐한곳 찾기는 드문데, 여기는 진짜 푸짐해요ㅋㅋㅋ",5.0,0.8799,"[('샌드위치', 2), ('맛집', 1), ('마', 1), ('마스', 1), ('대부분', 1), ('비싸', 1), ('기만', 1), ('짐', 1), ('곳', 1), ('찾기', 1)]",긍정
24,마마스 인기가 많아서 웨이팅도 약간 길어요ㅜㅜ 웨이팅할때는 웨이팅 리스트에 이름과 인원수를 적으면 호명해줍니당 근데 자리 안내 호명시 부재일경우 누락되니까 참고하세요!,5.0,0.2834,"[('마', 1), ('마스', 1), ('인기', 1), ('많아서', 1), ('웨이팅', 1), ('약간', 1), ('웨이팅할때', 1), ('웨이', 1), ('팅', 1), ('리스트', 1)]",부정
25,모닝메뉴 지나고 정식 메뉴 주문시에는 10시부터 가능해요~포장도 가능하니 웨이팅이 길 때는 포장해서 먹곤합니당ㅋㅋㅋ,4.0,0.4775,"[('메뉴', 2), ('포장', 2), ('모닝', 1), ('정식', 1), ('시', 1), ('가능해요', 1), ('가능하니', 1), ('웨이팅', 1), ('길', 1), ('때', 1)]",중립
26,먹음직스러워 보이는 빵들이 진열장에 한눈에 보임. 배고파서 하나 빼먹고 싶었음. 청포도 주스 맛있음. 갈증도 깔끔하게 해결됨.,4.0,0.9372,"[('먹음', 1), ('직', 1), ('스러워', 1), ('빵', 1), ('진열', 1), ('한눈', 1), ('보임', 1), ('배고파서', 1), ('하나', 1), ('청포도', 1)]",긍정
27,영업시간은 오전 7시30분부터 오후 10시까지! 늦게까지 하니까 저녁으로 간단하게 먹기도 좋아요,5.0,0.9466,"[('영업', 1), ('시간', 1), ('오전', 1), ('오후', 1), ('저녁', 1), ('간단하게', 1), ('먹기', 1), ('좋아요', 1)]",긍정
28,청포도주스와 리코타치즈 샐러드 굿굿굿,4.0,0.9517,"[('청포도', 1), ('주스', 1), ('리코', 1), ('치즈', 1), ('샐러드', 1), ('굿굿굿', 1)]",긍정
29,"강남역점은 15개 지점중에서 5번째로 오픈한곳이래요ㅋㅋ아침메뉴도 있구, 10시부터는 다양한 샌드위치 판매 시작!!",4.0,0.3969,"[('강남', 1), ('역점', 1), ('개', 1), ('지점', 1), ('번', 1), ('오픈', 1), ('곳', 1), ('요', 1), ('아침', 1), ('메뉴', 1)]",중립
