,document,score,review_score,most_words,Pos_Neu_Neg
0,소바로는 국내 최고라고 해도 괜찮은 집! 튀김도 엄청 바삭하게 잘 튀겨서 맛있어요 :),5.0,0.9761,"[('소바', 1), ('국내', 1), ('최고', 1), ('해도', 1), ('괜찮은', 1), ('집', 1), ('튀김', 1), ('바삭', 1), ('맛있어요', 1)]",긍정
1,소바 종류도 다양하고 토핑도 다양해서 원하는 조합으로 먹는 재미가 있어요~ 도보로 5분 정도 거리에 2호점도 있으니 참고하세요~,3.0,0.9033,"[('소바', 1), ('종류', 1), ('다양하고', 1), ('토핑', 1), ('다양해서', 1), ('원하는', 1), ('조합', 1), ('재미', 1), ('있어요', 1), ('도보', 1)]",긍정
2,미미면가 방문할때면 혼자가더라도 일부로 소바한그릇에 별도로 튀김주문합니다.. 소바나오면 면에 육수가 스며들떄까지 튀김을 먹기위해서죠…,3.0,0.5167,"[('면', 2), ('소바', 2), ('튀김', 2), ('미미', 1), ('방문', 1), ('때', 1), ('혼자', 1), ('더라도', 1), ('일부', 1), ('그릇', 1)]",중립
3,이곳만의 개성있는메뉴!고등어소바!!ㅋㅋㅋㅋㅋ비린내아예안나고 간이베어져있기에 따뜻했던 소바면과 국물과 잘어울렸어요!!! 이거라면 하루세끼도먹을수있을듯!!,3.0,0.9641,"[('소바', 2), ('곳', 1), ('개성', 1), ('있는', 1), ('메뉴', 1), ('고등어', 1), ('비린내아', 1), ('안나', 1), ('간이', 1), ('따뜻했던', 1)]",긍정
4,미미면가 튀김 대박임. 바삭한데 기름기전혀없고 재료하나하나 딱딱한식감도아니고 촉촉함. 개인적으로 연근이랑 새우추천함.,3.5,0.9163,"[('하나', 2), ('미미', 1), ('면', 1), ('튀김', 1), ('대박', 1), ('임', 1), ('바삭', 1), ('데', 1), ('기름기', 1), ('전혀', 1)]",긍정
5,작고 귀여운 매장안에 숨겨진 고수의맛!! ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜로 수준높은 소바면요리먹고싶으면 무조건 미미면가로 출동요망!!!! 면발부터 차원이다름,3.0,0.9303,"[('작고', 1), ('귀여운', 1), ('장안', 1), ('고수', 1), ('맛', 1), ('진짜', 1), ('수준', 1), ('높은', 1), ('소바', 1), ('요리', 1)]",긍정
6,신사역 근처에위치해있어서 찾기는 쉬운편이네요~ 소바면이 주된지라 메뉴만해도 열가지이상되는것같아요!!! 저는 새우튀김과 소고기구이먹어봤는데 개꿀맛이었다는 ㅠㅠㅠ,3.0,0.8645,"[('신사역', 1), ('근처', 1), ('위치', 1), ('찾기', 1), ('쉬운', 1), ('편이', 1), ('소바', 1), ('지라', 1), ('메뉴', 1), ('만해', 1)]",긍정
7,음식담겨오는거자체가 넘이뻐요. 더구나 겉만이쁜게아닌 맛또한 이쁘네요 ^^ 면이나 쯔유 전체적으로 꽤나 괜찮은 맛집으로 생각해요~,3.0,0.9812,"[('음식', 1), ('자체', 1), ('이뻐요', 1), ('더구나', 1), ('겉', 1), ('이쁜게', 1), ('아닌', 1), ('맛', 1), ('또한', 1), ('이쁘네요', 1)]",긍정
8,"100%에가까운 일본식스타일 소바맛집! 메뉴에마다 단맛,짠맛이 적당히 조절되어있다보니 어느걸시켜도 같은맛이 아니란게 색다르고 넘좋아여!! 올때마다 처음온기분이들정도로!!",3.5,0.67,"[('까운', 1), ('일본', 1), ('스타일', 1), ('소바', 1), ('맛집', 1), ('메뉴', 1), ('에마', 1), ('단맛', 1), ('짠맛', 1), ('적당히', 1)]",긍정
9,점심시간떄 자칫 좀만늦으면 못먹을정도로 줄이 금방길어져요~ 더구나 관광객들이 늘어난요즘 해외에서 먹으러온분들이 많아져서 더더욱 먹기힘들어지네요….,3.5,0.8167,"[('점심시간', 1), ('떄', 1), ('자칫', 1), ('좀', 1), ('정도', 1), ('금방', 1), ('더구나', 1), ('관광객', 1), ('요즘', 1), ('해외', 1)]",긍정
