,document,score,review_score,most_words,Pos_Neu_Neg
0,"안녕하세요 마르스입니다? 우연히 가로수길을 걷다 발견한 오뚜왈! 맛있는 버터향에 이끌려 들어가 빵 퀄리티와 좋은재료에 놀라 뭘살지 한참을 고민하게 만들었다 휘낭시에와 마들렌쇼콜라,마들렌 글라세레몬&홍차를 구입!! 고소진한버터향에 상큼달달 진한 레몬이 코팅되어 풍미와 맛은 이게 제일 맛있었다? 나머지는 임팩트는 없는편이라 무난히 맛있었다",4.0,0.9892,"[('버터', 2), ('향', 2), ('마들렌', 2), ('맛있었다', 2), ('안녕하세요', 1), ('마르스', 1), ('입니다', 1), ('가로수길', 1), ('발견', 1), ('오뚜왈', 1)]",긍정
1,종류별로 맛보고 싶은 마들렌이었어요!! 사랑스러운 곳임!,3.5,0.8503,"[('종류', 1), ('별로', 1), ('마들렌', 1), ('사랑스러운', 1), ('곳임', 1)]",긍정
2,작고 귀여운 베이커리 샵,3.0,0.724,"[('작고', 1), ('귀여운', 1), ('베이커리', 1), ('샵', 1)]",긍정
3,말차 마들렌 녹차 맛이 진하게 느껴짐,3.0,0.7364,"[('말차', 1), ('마들렌', 1), ('녹차', 1), ('맛', 1), ('진하게', 1)]",긍정
4,박스에 포장해줘서 선물용으로 좋음,3.5,0.9475,"[('박스', 1), ('포장', 1), ('선물', 1), ('용', 1), ('좋음', 1)]",긍정
5,구움과자류랑 케이크가 있어요,3.0,0.8202,"[('움', 1), ('과자류', 1), ('케이크', 1), ('있어요', 1)]",긍정
6,글라세가 그냥 마들렌보다 달달함,3.0,0.6145,"[('글', 1), ('세', 1), ('그냥', 1), ('마들렌', 1), ('달달', 1), ('함', 1)]",중립
0,여기가면 크로와상과 크러핀은 꼭 사야 합니다,3.0,0.9106,"[('여기', 1), ('가면', 1), ('크로와상', 1), ('핀', 1), ('꼭', 1)]",긍정
1,테이블 몇개 있어서 먹고 갈수 있어요,3.5,0.8471,"[('테이블', 1), ('몇개', 1), ('있어서', 1), ('갈수', 1), ('있어요', 1)]",긍정
2,크러핀은 안에 크림이 가득차있음 ㅎㅎ,3.0,0.8603,"[('핀', 1), ('안', 1), ('크림', 1), ('가득', 1)]",긍정
3,녹차맛이 씁씁한맛이 있어서 그냥 달지도 않고 맛잇음,3.0,0.5739,"[('맛', 3), ('녹차', 1), ('있어서', 1), ('그냥', 1)]",중립
0,"여러 매스컴에서 극찬한 유명 빵집 큼직한 사이즈의 크로아상이 유명한데 고소달달한 버터향이 정말 매력적임 크로아상에 초콜렛을 입히거나 아몬드를 입힌녀석도 있음  기본적으로 맛난 버터를 쓰는데다가 반죽을 할 줄 아시는 분들이라 대부분의 빵이 다 맛난데 굳이 추천하자면  앙버터, 쿠키슈, 다쿠아즈는 필수템 ㅎ 거기에 올리브가 반인 치아바타도 맛남 ㅎ  유명빵집 답지 않게 작은 규모에 친절하기도 하고 많이 사면 가끔 서비스도 주셔서 더욱 정이 가는 곳 ㅎ",5.0,0.9888,"[('버터', 3), ('유명', 2), ('빵집', 2), ('로', 2), ('맛', 2), ('여러', 1), ('매스컴', 1), ('극찬', 1), ('큼직한', 1), ('사이즈', 1)]",긍정
1,소보로빵 겉이랑 안이랑 소보로가 가득가득했어요..? 묵직하고 달달한 소보로ㅠㅠㅠ 인생 소보로 등극했습니다! 말차큐브데니쉬 속 진하고 부드러운 녹차크림이 녹차덕후인 저를 저격했어요ㅠ_ㅠ 위에 녹차 가루가 살짝 씁쓸하고 비릴 수 있지만 크림이 달달해서 너무 맛나게 먹었어요? 패스츄리도 고소하고 바삭해서 더 좋았습니다ㅎㅎ,5.0,0.9899,"[('녹차', 3), ('달달', 2), ('소보', 2), ('크림', 2), ('소보로빵', 1), ('겉', 1), ('안이', 1), ('보로', 1), ('가득', 1), ('가득했어요', 1)]",긍정
2,예전에 여기서 지인분이 말차큐브를 사다주셔서 이곳에 가고싶단 생각이 별로 없었는데 단호박리코타샌드위치의 비주얼을 본 순간 가야겠다!!!해서 방문했어요! 미리 예약을 해서 솔드아웃된 빵도 많았는데 바로 받을 수 있었고 손님들도 끊임없이 들어오시더라구요  앉을 수 있는 자리가 세개정도 있고 커피도 저렴한 가격에 팔고 있어서 쉴겸 라떼시키고 산 빵들을 조금씩 먹었어요! 가장 기대했던 샌드위치는 정말 재료도 빵빵하고 크고 맛있었어요!!ㅠㅠ 완전 만족했어요>< 말차다쿠아즈는 맛이 진해서 약간 쓰기도 했는데 쫀득하고 제스탈이였고 소보로는 소보로안에 소보로가 또있어서 최고bb 앙버터도 유명해서 구매했는데 첨에 먹을 땐 음? 그냥그런데 했는데 점점 먹다보니 너무 맛있어서 친구랑 감동했어요ㅠㅠ 아몬드크로아상도 유명하대서 먹었는데 이건 아쉽게도 제 스타일이 아니였어요..왜냐하면 별로 안달고 겉에사 좀 부드러운?? 전 달고 바삭한게 조아서ㅠㅠ 그치만 담백한거 좋아하시면 괜찮을듯!!  직원분들 다 친절하시고 다시 또 가고싶은 빵집이에요!!,5.0,0.9904,"[('말차', 2), ('별로', 2), ('샌드위치', 2), ('빵', 2), ('수', 2), ('있어서', 2), ('소보', 2), ('또', 2), ('예전', 1), ('여기', 1)]",긍정
3,"유명한 크루아상들 거의 다 먹어봤지만, 여기만한곳은 없었음. 특히 아몬드 크루아상은 강추이며, 스트레스풀기에 그만인 초코크루아상도 맛남. 또 크루아상 뿐만아니라, 과일깜빠뉴, 밤식빵, 뺑오쇼콜라, 시나몬 등 수준급이라 절대 한 번 빠지면 지나칠 수 없는곳. 강추합니다~!",5.0,0.92,"[('크루아상', 4), ('곳', 2), ('강', 2), ('유명한', 1), ('거의', 1), ('기만', 1), ('없었음', 1), ('아몬드', 1), ('추이', 1), ('스트레스', 1)]",긍정
4,가격이 조금 비싼편이지만 ㅠㅠ 맛은 정말 끝내줍ㄴ니다. 빵에도 정성이 들어가있는게 느껴져요,4.0,0.9426,"[('가격', 1), ('조금', 1), ('비싼', 1), ('편이', 1), ('맛', 1), ('정말', 1), ('끝내줍', 1), ('빵', 1), ('정성', 1)]",긍정
5,직원분들도 친절하시구 맛있어요 ~,4.0,0.9781,"[('직원', 1), ('친절하시구', 1), ('맛있어요', 1)]",긍정
6,"가격대비 정말 좋네요, 맛있어요. 번창하시길",5.0,0.961,"[('가격', 1), ('대비', 1), ('정말', 1), ('좋네요', 1), ('맛있어요', 1), ('번창', 1)]",긍정
7,늦게가면 얼마 없네요 ㅠㅠ 다음엔 빨리가야겠ㅇ요,3.0,0.2762,"[('얼마', 1), ('없네요', 1), ('다음', 1), ('요', 1)]",부정
8,진짜 괜찮은 것 같아요,4.0,0.9074,"[('진짜', 1), ('괜찮은', 1), ('것', 1), ('같아요', 1)]",긍정
9,가볼만했던 것 같다,3.0,0.261,"[('것', 1), ('같다', 1)]",부정
10,크루아상  먹고싶을만했었어요,4.0,0.7844,"[('크루아상', 1)]",긍정
11,크루아상   먹고싶었어요,3.0,0.7844,"[('크루아상', 1)]",긍정
12,정말 또 가고 싶은 맘이에요,3.0,0.9716,"[('정말', 1), ('또', 1), ('맘', 1)]",긍정
0,속내용물이 장난아니에요. 이곳맛집의 젤유명한게 밤빵!!! 밤이대체몇개나들어간건지 밀가루함량보다 밤함량이  눈으로봐도 훨씬많아요~!!!,3.0,0.0961,"[('밤', 2), ('함량', 2), ('내용물', 1), ('장난', 1), ('아니에요', 1), ('곳', 1), ('맛집', 1), ('젤', 1), ('유명한게', 1), ('밤빵', 1)]",부정
1,바삭한 표면이라 부스러기나는건 어쩔수없어도 맛있는빵은 포기못하겠네요…ㅠㅠㅠ 그냥  막먹고 청소기한번더돌리져….뭐….,3.5,0.1147,"[('바삭', 1), ('표면', 1), ('부스러기', 1), ('수', 1), ('없어도', 1), ('맛있는', 1), ('빵', 1), ('포기', 1), ('그냥', 1), ('막', 1)]",부정
2,"이른아침부터 빵냄새가 폴폴~~ 회사다녔을땐 항상 그냥지나치질못해서 하나둘씩 사먹곤했는데, 백수된이후로는 아무떄나가서 매장에서 편히즐길수있어서 굿~",3.5,0.5315,"[('아침', 1), ('빵', 1), ('냄새', 1), ('폴폴', 1), ('회사', 1), ('땐', 1), ('항상', 1), ('지나', 1), ('치질', 1), ('하나', 1)]",중립
3,최근들어 핫한 앙팡맛집!! 앙팡이란 빵속에 버터와 팥이들어간 빵인데 이게레알 중독성강한맛이다. 프랜차이즈에서 하나둘 따라만들기시작했는데 뭐니해도 루스티크가 진정한앙팡맛임,3.0,0.9682,"[('최근', 1), ('핫', 1), ('맛집', 1), ('앙팡', 1), ('빵속', 1), ('버터', 1), ('팥', 1), ('빵', 1), ('게', 1), ('레알', 1)]",긍정
4,"바삭바삭한 빵맛이 매력적인 빵맛집!! 촉촉하거나 부드러운 빵식감을 즐겨먹었었는데, 바삭한맛도 의외로 맛있더라구요 ^^ 가격대비 빵속내용도 실하고좋네요",3.5,0.9919,"[('빵', 3), ('바삭바삭한', 1), ('빵맛', 1), ('매력', 1), ('맛집', 1), ('촉촉하거나', 1), ('부드러운', 1), ('감', 1), ('바삭', 1), ('맛', 1)]",긍정
5,"내부에서 커피와 함꼐즐길수있도록 좌석도 준비되어있는게 넘좋았어요. 갓구워나온 빵을 즉석에서 먹어보고 개인적으로 맛있었던건 구매해서 부모님집 드리구, 제집에도 몇개챙겨왓어요ㅎㅎㅎㅎ",3.0,0.9901,"[('집', 2), ('내부', 1), ('커피', 1), ('좌석', 1), ('준비', 1), ('좋았어요', 1), ('워', 1), ('빵', 1), ('즉석', 1), ('보고', 1)]",긍정
6,적당한크기로 잘라먹지않으면 바삭바삭거리는 빵표면에 입천장까일수도있어욤~~!! 여러번그러다보니 이젠 꼼수가생겨서 빵살때마다 직원분께 잘라달라하게되욬ㅋㅋㅋㅋ,3.0,0.7458,"[('적당한', 1), ('크기', 1), ('거리', 1), ('빵', 1), ('표면', 1), ('입천장', 1), ('수도', 1), ('있어', 1), ('욤', 1), ('번', 1)]",긍정
7,찢어먹는 식빵을 좋아해서 통쨰로파는 곳만 찾아가요~ 이곳도 그중에하나에요. 빵외에도 과자류도 못보던종류가 몇가지있던데 먹어보고싶네요,4.0,0.8825,"[('식빵', 1), ('좋아해서', 1), ('통쨰로파', 1), ('곳', 1), ('곳도', 1), ('중', 1), ('하나', 1), ('빵외', 1), ('과자류', 1), ('종류', 1)]",긍정
8,크흐~ 슈스틱과 앙팡이 효자상품이나다름없음. 빵모형으로착각할정도로 일정한 크기와 색감이 짱! 전체적으로 건강함이 느껴지는 종류에요,3.0,0.9595,"[('크흐', 1), ('슈스틱', 1), ('앙팡', 1), ('효자', 1), ('상품', 1), ('다름없음', 1), ('빵', 1), ('모형', 1), ('착각', 1), ('정도', 1)]",긍정
