,document,score,review_score,most_words,Pos_Neu_Neg
0,짬뽕 맛잇어요,3.5,0.2729,"[('짬뽕', 1), ('맛', 1)]",부정
1,짬뽕 추천드려요 탕수육은 너무 시고 밀가루가 두꺼워서 바삭보다는 딱딱에 가깝습니다 게다가 서비스도 좋아서 한 번쯤 가보실만 합니다.,3.0,0.1039,"[('짬뽕', 1), ('추천', 1), ('탕수육', 1), ('시', 1), ('밀가루', 1), ('두꺼워서', 1), ('바삭', 1), ('가깝습니다', 1), ('게다가', 1), ('서비스', 1)]",부정
2,우와앙느노,3.0,0.5492,[],중립
3,주말에가면 오천원깍아줌 대봑 평일도 깍아주셈ㅋㅋㅋ 강남역에서가까움ㅋ 중국요리맛집초선과여포함가보세용ㅎ,4.0,0.2333,"[('주말', 1), ('가면', 1), ('오천원', 1), ('줌', 1), ('대봑', 1), ('평일도', 1), ('아주', 1), ('셈', 1), ('강남역', 1), ('움', 1)]",부정
0,"오랜만에 중식을 먹었다. 오늘은 논현.  주문한 메뉴는 난젠완쯔, 라조기, 크림새우 그리고 간짜장과 짬뽕. 난젠완쯔는 쫄깃쫄깃한 식감, 라조기의 매우면서 고소한 맛이 훌륭했다. . 간짜장은 양파가 조금만 더 익었다면 좋지 않을까 싶었고, 낙지 한 마리가 통째로 들어간 짬뽕은 국물은 배가 불어도 계속 먹게하는 맛이었다. . 전반적으로 서비스가 아주 좋았고, 가격이 아주 높은 편도 아닌데 새로운 요리가 나올 때마다 앞접시를 갈아주는 점이 인상적이었다. 논현, 학동 주위에서 중식을 먹는다면 여기를 추천한다",4.0,0.9828,"[('중식', 2), ('논현', 2), ('난젠', 2), ('완쯔', 2), ('조기', 2), ('간짜장', 2), ('짬뽕', 2), ('맛', 2), ('아주', 2), ('만', 1)]",긍정
1,모든 음식이 다 먹을만한 곳 룸도 있어서 좋아요,4.0,0.958,"[('모든', 1), ('음식', 1), ('곳', 1), ('룸', 1), ('있어서', 1), ('좋아요', 1)]",긍정
2,중식이 맛있는곳 만두는 꼭 먹어야,4.0,0.9777,"[('중식', 1), ('맛있는', 1), ('곳', 1), ('만두', 1), ('꼭', 1)]",긍정
3,이 일대에서 간짜장 맛있는 곳을 찾는다면 여긴 무조건 가야 해요. 살짝 뻑뻑한 느낌이 들 정도로 만들어졌는데 면이랑 고루고루 잘 비벼서 먹으면 고소한 맛이 쫙 퍼져요. 양파에서 나오는 특유의 향과 맛이 간짜장 소스에 잘 스며들어 있어 감칠맛이 더 잘 느껴져요!,4.0,0.9825,"[('간짜장', 2), ('고루', 2), ('맛', 2), ('이', 1), ('일대', 1), ('맛있는', 1), ('곳', 1), ('무조건', 1), ('가야', 1), ('해', 1)]",긍정
4,"식사 시간에는 무조건 긴 웨이팅을 감수해야 하지만 기다림이 아깝지 않은 맛이에요. 잡채밥의 잡채는 채소의 신선함이 잘 느껴졌어요. 면에는 소스가 헐거운 기운 없이 착 달라붙어 있어 슴슴한 볶음밥이랑 궁합이 잘 맞아요. 식감, 맛, 향 모든 면에서 아쉬운 것 없이 완벽한 잡채밥 한 그릇이었어요.",3.5,0.9872,"[('잡채', 3), ('맛', 2), ('밥', 2), ('면', 2), ('식사', 1), ('시간', 1), ('무조건', 1), ('웨이팅', 1), ('감수', 1), ('기다림', 1)]",긍정
5,간짜장은 정말 일품이군요,4.0,0.9118,"[('간짜장', 1), ('정말', 1), ('일품', 1), ('이군', 1)]",긍정
6,짬뽕  4 간짜장 5 >>>2 로 먹는 동안 바뀜 혹자는 불맛가득 간짜장이 최고라 하는데 개인적으로 목초액을 넣은게 아니면 이런 비정상적  불맛이 향이 강한 짜장에서 나올 수 있다고 믿지 않음.   이 간짜장을 먹으면 2 입은 맛있는데  그이후론 속이 메스꺼워짐.   너무 덜익어 나와서 맵가까지한 양파는 에바임... 깐풍기   4.5 누룽지탕 5   강추 나머진 모두 4 이상 일 듯. 양이 적어 가성비눈 떨어짐. 요끼끼워 팔기하는 만두는 개인적으론 서울 촤고는 아니지만 맛있슴.  하지만 주인장 양심이 마음에 들자 않아 더이상 안감. 맛이 예전보단 못하지만 그래도  일일향을 추천,4.0,0.069,"[('간짜장', 3), ('불맛', 2), ('개인', 2), ('이상', 2), ('짬뽕', 1), ('로', 1), ('동안', 1), ('혹', 1), ('가득', 1), ('최고', 1)]",부정
7,별 1개도 안줄수는 없나?  맛을 떠나서 직원 개싸가지 내가 계산하고 나갈때 말을 한마디도 안했다.  얼마입니다. 안녕히 가십시오. 이거는 기본으로 나와야 하는 멘트 아닌가??? 사장은 직원 교육을 어떻게 시키는거냐? 다신 안간다.,1.0,0.0031,"[('직원', 2), ('별', 1), ('개도', 1), ('없나', 1), ('맛', 1), ('개', 1), ('싸가지', 1), ('내', 1), ('계산', 1), ('때', 1)]",부정
8,#홍명 #논현동맛집 #학동역맛집 #중식맛집 #간짜장맛집 #난자완스 #군만두  오랫만에 방문 역시 간짜장이 맛있어요. 군만두도 좋고요. 요리를 전체적으로 잘함. . .#식신앱 #추천맛집 #2스타 #레스토랑 #맛집 #맛집앱 #맛집어플 #맛집탐방 #맛집추천 #맛스타그램 #먹스타그램 #오늘머먹지 #food #foodie #foodstagram #식신 #siksinhot  #서울맛집 #핫플 #핫플레이스 #인생맛집,5.0,0.9896,"[('만', 1), ('방문', 1), ('역시', 1), ('간짜장', 1), ('맛있어요', 1), ('군', 1), ('만두', 1), ('좋고요', 1), ('요리', 1), ('전체', 1)]",긍정
9,#간짜장 #홍명 #논현동맛집 #학동역맛집  서울에서 간짜장을 제일 잘한다고 소문난 곳!! 명불허전 역시 맛있다! 추천합니다,5.0,0.9946,"[('서울', 1), ('간짜장', 1), ('제일', 1), ('곳', 1), ('명불허전', 1), ('역시', 1), ('맛있다', 1), ('추천', 1)]",긍정
10,논현동(학동역)에 위치한 중국집 홍명(紅明) 동네의 작은 중국집이지만 간짜장 맛이 강남에서 제일 맛있었었던 거 같다 식사시간에는 줄서서 기다릴 정로로 인기가 많은 곳이다.,3.5,0.9391,"[('중국집', 2), ('논현동', 1), ('학동역', 1), ('위치', 1), ('홍', 1), ('동네', 1), ('작은', 1), ('간짜장', 1), ('맛', 1), ('강남', 1)]",긍정
11,강남 최고의 간짜장 맛집. 여기 간짜장은 꼭 먹어 보아야 합니다. 여러명이 요리시켜서 편안하게 먹을 수 있는 곳입니다.,3.5,0.9961,"[('간짜장', 2), ('강남', 1), ('최고', 1), ('맛집', 1), ('여기', 1), ('꼭', 1), ('보아', 1), ('명', 1), ('요리', 1), ('편안하게', 1)]",긍정
12,강남에서 일일향 만큼 사람들에게 인기 많은 중식당입니다. 특히 간짜장이 정말 맛이 좋은 편이에요,3.0,0.929,"[('강남', 1), ('일향', 1), ('만큼', 1), ('사람', 1), ('인기', 1), ('많은', 1), ('중식', 1), ('입니다', 1), ('간짜장', 1), ('정말', 1)]",긍정
13,또 가고 싶었어요 깔끔하고 좋더라구요~ 여기 좋아요!,3.5,0.9269,"[('또', 1), ('깔끔하고', 1), ('좋더라구요', 1), ('여기', 1), ('좋아요', 1)]",긍정
14,이집 짬뽕 진짜 맛있네요~!짜장면도 맛있고!,3.5,0.9221,"[('이집', 1), ('짬뽕', 1), ('진짜', 1), ('맛있네요', 1), ('짜장면', 1), ('맛있고', 1)]",긍정
15,좋은 맛이었어요,3.0,0.9327,"[('좋은', 1), ('맛', 1)]",긍정
16,회사근처라 자주가는데 솔직히 맛은있어요 근데 비싸요,3.0,0.4884,"[('회사', 1), ('근처', 1), ('솔직히', 1), ('맛', 1), ('있어요', 1), ('비싸요', 1)]",중립
17,서비스마인드 완전 빵점.  짬뽕맛은 그냥 평범한데 해물신선도가 그나마 다른 집보단 괜찮,3.5,0.0105,"[('서비스', 1), ('마인드', 1), ('완전', 1), ('빵점', 1), ('짬뽕', 1), ('맛', 1), ('그냥', 1), ('평범한데', 1), ('해물', 1), ('신선도', 1)]",부정
0,"가장 유명한 메뉴인 어향동고와 볶음밥을 먹었다. 꽃방을 추가해서 먹으면 어향동고는 양이 굉장히 많아진다. 표고버섯의 식삼과 다진새우살의 식감은 조화롭고 어향소스는 그냥 먹어도 맛있고, 꽃빵이랑 먹어도 맛있다. 볶음밥은 굉장히 고슬고슬하면 같이 나오는 짜장이랑 먹어도 굳굳. 가장 좋아하는 중국집 중 하나",4.0,0.9922,"[('가장', 2), ('어', 2), ('향동', 2), ('고', 2), ('볶음밥', 2), ('굉장히', 2), ('굳', 2), ('유명한', 1), ('메뉴인', 1), ('꽃방', 1)]",긍정
1,"주인장이 바뀐듯. 맵고 끈적이는 짬뽕국물, 떡진 짜장, 비린내 짜샤이, 딱딱한새우피.",1.0,0.0426,"[('주인', 1), ('맵', 1), ('끈', 1), ('짬뽕', 1), ('국물', 1), ('떡진', 1), ('짜장', 1), ('비린내', 1), ('짜샤이', 1), ('딱딱한', 1)]",부정
2,돌 깐풍기 실망입니다  오래전에 튀겨 놓았나 봅니다 초심으로 돌아갔으면 좋겠습니다,1.0,0.1261,"[('돌', 1), ('깐풍기', 1), ('실망', 1), ('입니다', 1), ('초심', 1), ('좋겠습니다', 1)]",부정
