,document,score,review_score,most_words,Pos_Neu_Neg
0,고추튀김으로 유명한 곳! 식으면 맛없으니 뜨거울 때 드세용! 고급스러울줄 알았지만 의외로 허름한 외관에 놀랐네여ㅋㅋ,5.0,0.8237,"[('고추', 1), ('튀김', 1), ('유명한', 1), ('곳', 1), ('맛없으니', 1), ('뜨거울', 1), ('때', 1), ('고급스러울줄', 1), ('허름', 1), ('외관', 1)]",긍정
1,"한추 떡볶이의 하이라이트는 당면이라고 할 수 있죠! 양념장이 싹 스며든 당면을 떡, 어묵과 말아 한입에 호로록 먹으면 최고! 매콤한 고추 향이 솔솔 나는 치킨도 꼭 먹어보시길 추천해요!",3.5,0.9913,"[('당면', 2), ('추', 1), ('떡볶이', 1), ('하이라이트', 1), ('수', 1), ('있죠', 1), ('양념장', 1), ('싹', 1), ('떡', 1), ('어묵', 1)]",긍정
2,"뭐 치킨은 어디나 맛나니까 패스, 내 인생 통틀어 여기보다 싸가지 없는곳은 없었음. 일하는 직원이 싸가지 없는게 아니라 주인할매가 핵 싸가지 없음. 메뉴 놓은 자리 없으면 의자위에 올려놓고 감. 핵싸가지를 체험하고 싶은 사람에게만 추천.",1.0,0.3442,"[('싸가지', 4), ('핵', 2), ('뭐', 1), ('치킨', 1), ('어디', 1), ('맛나', 1), ('패스', 1), ('내', 1), ('인생', 1), ('통틀어', 1)]",중립
3,"불러도 대답안하고 쓱 보고 지나가는 점원..치킨먹으러왔는데 음료 강매하고 치킨은 오래된 기름을 썼는지 시꺼멓고 기름에 쩔어있음 맛은 당연히 없거니와 치킨에 살도 별로 붙어있지 않음. 떡볶이는 그나마 나았지만 가격대비 양 적음 수요미식회 보고 찾아갔는데 진짜 블로그,댓글 알바썼다는 생각밖에 안 들 정도로 최악이었음. 앞으로 방송 탔다고 굳이 어디 찾아가지 않겠다는 결심이 선다.",1.0,0.0046,"[('치킨', 3), ('보고', 2), ('기름', 2), ('답안', 1), ('쓱', 1), ('점원', 1), ('음료', 1), ('강매', 1), ('오래된', 1), ('시꺼멓고', 1)]",부정
4,여기가 왜 맛집인지 모르겠음... 진짜 서비스 개판이고 메뉴는 둘이서 두개 시켰는데도 소주 안시키고 음료수 시켰다고(심지어 콜라 세병시켰었음) 다 먹지도 않았는데도 우리테이블 계속 지나가면서 술 안시켰으면 나가라고 재촉하고...(자리도 두명 겨우 앉을 수 있는 자리였음) 맛은 그냥 평타였는데 맛집인지는 모르겠음.... 내인생 최악의 음식점이였음.....,1.0,0.0081,"[('맛집', 2), ('여기', 1), ('왜', 1), ('진짜', 1), ('서비스', 1), ('개판', 1), ('메뉴', 1), ('둘이서', 1), ('개', 1), ('소주', 1)]",부정
5,맛은 있어요 그런데 손님이 식사하고 있는데 사장님인지 여자분이 주방이모들한테 소리지르면서 뭐라고 한참을 하는데 보기도 좋지 않고 밥맛도 뚝떨어져서 걍 돈내고 나왔습니다.  직원에게 손가락질하면서 고래고래 소리지르는 모습보면서 맘이 불편해서 다신 안갑니다.  정신차리세요. 인생 혼자 사는거 아닙니다.,1.0,0.064,"[('소리', 2), ('맛', 1), ('있어요', 1), ('손님', 1), ('식사', 1), ('있는데', 1), ('사장', 1), ('여자', 1), ('주방', 1), ('이모', 1)]",부정
6,수요미식회보고 냉큼 먹으러온 한추! 티비에서보이던 고추튀김을 직접맛보러왓어요 ㅋㅋㅋㅋ먹음직스런비주얼 합격!!바삭하면서도 매콤한게 술안주로 딱제격임!!,3.0,0.8207,"[('요미', 1), ('회보', 1), ('냉큼', 1), ('온', 1), ('추', 1), ('티비', 1), ('보', 1), ('고추', 1), ('튀김', 1), ('직접', 1)]",긍정
7,바삭한 치킨맛집~~ 식어도 바삭한게 유지되어있을정도로 굿굿!여기오는사람들은 치킨과같이 고추튀김은 꼭 먹어야해요~ㅎㅎ튀김요리라 느끼하다보니 고추튀김으로 입안깔끔하게마무리하기좋음,4.0,0.9623,"[('튀김', 3), ('바삭', 2), ('치킨', 2), ('고추', 2), ('맛집', 1), ('게', 1), ('유지', 1), ('정도', 1), ('굿굿', 1), ('사람', 1)]",긍정
8,신사동의 세련된분위기와 상반된 매장인테리엌ㅋㅋㅋㅋㅋㅋㅋ 좀 정겨운 시장에서 어울릴법한?ㅋㅋㅋㅋ  아는사람들만 방문하던곳이었는데 어느샌가부터 사람들이 많아지기시작한듯..bb,3.0,0.9578,"[('사람', 2), ('신사동', 1), ('세련된', 1), ('분위기', 1), ('상반', 1), ('매장', 1), ('테리', 1), ('엌', 1), ('좀', 1), ('정겨운', 1)]",긍정
9,"몇년간치킨먹다가, 첨으로 다른메뉴뚫었는데 그게 떡볶이였습니다.  와 진짜 개맛있음. 사실 떡볶이를 이런데서왜시켜먹지? 이런생각했었는데, 막상먹고다니 내가 잘못생각한거였음",3.0,0.2016,"[('떡볶이', 2), ('생각', 2), ('년', 1), ('치킨', 1), ('메뉴', 1), ('그게', 1), ('진짜', 1), ('개맛', 1), ('있음', 1), ('사실', 1)]",부정
10,한추 고추튀김...... 사랑해요ㅠㅠ 근데 떡볶이는 맛이없으,5.0,0.2906,"[('추', 1), ('고추', 1), ('튀김', 1), ('사랑', 1), ('떡볶이', 1), ('맛', 1), ('없으', 1)]",부정
11,주차는 발렛가능,5.0,0.794,"[('주차', 1), ('발렛', 1), ('가능', 1)]",긍정
12,고추튀김 맛나당,5.0,0.2694,"[('고추', 1), ('튀김', 1), ('맛', 1), ('당', 1)]",부정
13,고급진 가로수길 분위기와  다르게 소소하게 한잔 하기 좋은 곳,4.0,0.9823,"[('고급', 1), ('진', 1), ('가로수길', 1), ('분위기', 1), ('다르게', 1), ('소소하게', 1), ('한잔', 1), ('좋은', 1), ('곳', 1)]",긍정
14,"푸짐한 양이, 신입새내기인 저에게 딱이에요! 가격부담대비 대만족입니다",4.0,0.9833,"[('짐', 1), ('양', 1), ('신입', 1), ('새내기', 1), ('저', 1), ('딱이에요', 1), ('가격', 1), ('부담', 1), ('대비', 1), ('만족', 1)]",긍정
15,고추치킨은 진짜 ㅋㅋ맛있지만... 첨 시켜본 떡볶이는...진짜 그냥 ㅠㅠ..별로?여기가면 고추튀김이랑 치킨만 먹는게 답인것같아요 ㅋㅋ 그 둘은 진짜 짱,4.0,0.9292,"[('진짜', 3), ('고추', 2), ('치킨', 2), ('맛있지만', 1), ('떡볶이', 1), ('그냥', 1), ('별로', 1), ('여기', 1), ('가면', 1), ('튀김', 1)]",긍정
16,허름한 외관이 신사랑 어울리는 외관이아니지만ㅋㅋㅋㅋㅋ이만의 분위기가 매력적인곳,5.0,0.9481,"[('외관', 2), ('허름', 1), ('신사', 1), ('아니지만', 1), ('이만', 1), ('분위기', 1), ('매력', 1), ('곳', 1)]",긍정
17,3대 치킨집으로 불리는 한추 ^^ 정말 맛집이에요!!! 치킨이 어쩜 그리 맛있는지 꼭꼭 가보세요~,5.0,0.953,"[('치킨', 2), ('집', 1), ('추', 1), ('정말', 1), ('맛집', 1), ('어쩜', 1), ('맛있는지', 1), ('꼭꼭', 1)]",긍정
18,포장이 안되서 아쉬운집 진짜 맛있는데 ㅜㅜ 치킨말고도 다른메뉴들도 너무너무 맛있답니다!!,3.0,0.9883,"[('포장', 1), ('안되서', 1), ('아쉬', 1), ('운집', 1), ('진짜', 1), ('맛있는데', 1), ('치킨', 1), ('메뉴', 1), ('맛있답니다', 1)]",긍정
19,이번에 방송타면서 더 유명해진 내 단골집ㅋㅋㅋㅋㅋ 갈때마다 사람들이 장난아니네요 근데 기다려서 꼭 먹어야하는곳!!,5.0,0.9396,"[('이번', 1), ('방송', 1), ('더', 1), ('유명해진', 1), ('내', 1), ('단골', 1), ('집', 1), ('때', 1), ('사람', 1), ('장난', 1)]",긍정
20,가격만큼 양도푸짐하고 맛도 좋네요. 이정도가격이면 대만족^^~~,4.0,0.9572,"[('가격', 2), ('양도', 1), ('짐', 1), ('맛', 1), ('좋네요', 1), ('정도', 1), ('만족', 1)]",긍정
21,알싸하면서 속이꽉찬 고추튀 김이 정말 맛있었어요!!! 느끼하지도 않아서 굿굿!!,4.0,0.9742,"[('알싸하면서', 1), ('고추', 1), ('김', 1), ('정말', 1), ('맛있었어요', 1), ('느끼하지도', 1), ('굿굿', 1)]",긍정
