,document,score,review_score,most_words,Pos_Neu_Neg
0,"요즘엔 워낙 수제버거 맛집들이 많지만, 이 곳 방문해서 맛 없다고 한 사람은 못 본 것 같네요. 개인적으로 워낙에 좋아하는 곳이라 거의 분기별로 한번씩 가는데 지인들에게도 많이 추천합니다. 패티가 정말 육즙이 좔좔 흐르면서도 느끼하지 않고 고소하고 맛있어요. 감자튀김도 다른 데 보다 왠지 더 맛있는 것 같습니다. 겉은 파삭하고, 속은 부드러운.. 아름다운 감튀...! 어제도 지인이 제 추천에 다녀와서 극찬을 했습니다. 무조건 강추!",5.0,0.9927,"[('워낙', 2), ('곳', 2), ('것', 2), ('지인', 2), ('추천', 2), ('요즘', 1), ('수제', 1), ('버거', 1), ('맛집', 1), ('많지만', 1)]",긍정
1,햄버거를 그닥 좋아하지 않는 친구도 여기와선 잘 먹더라구요 ㅎㅎ 맛있어요 !,4.0,0.9571,"[('햄버거', 1), ('그닥', 1), ('좋아하지', 1), ('친구', 1), ('여기', 1), ('선', 1), ('맛있어요', 1)]",긍정
2,요즘 수제버거집이 많은데 흔한 수제버거 느낌이 아니라서 좋네요 ! 특히 빵이 마음에 들어요 ㅋㅋㅋ깨돌이빵,4.0,0.9692,"[('버거', 2), ('빵', 2), ('요즘', 1), ('집', 1), ('많은데', 1), ('흔한', 1), ('수제', 1), ('느낌', 1), ('아니라서', 1), ('좋네요', 1)]",긍정
3,너~~~~무 맛있어요 ! 직원분들도 훈훈하시구,4.0,0.9821,"[('너', 1), ('무', 1), ('맛있어요', 1), ('직원', 1), ('훈훈하시구', 1)]",긍정
4,이제는 버거도 웰빙인가..ㅋㅋㅋ 재료가 신선한게 느껴지네요,5.0,0.7999,"[('이제', 1), ('버거', 1), ('웰빙', 1), ('재료', 1), ('신선한게', 1)]",긍정
5,가로수길 쇼핑하다 간단히 먹기 좋아요 ! 수제버건데 너무 무겁지 않아 좋아요,5.0,0.9759,"[('좋아요', 2), ('가로수길', 1), ('쇼핑', 1), ('간단히', 1), ('먹기', 1), ('수제', 1), ('버건데', 1), ('무겁지', 1)]",긍정
6,갈만했었다,4.0,0.4846,[],중립
7,나만 알고싶은 맛집,4.0,0.4887,"[('나', 1), ('맛집', 1)]",중립
8,로켓버거 진짜 깔끔한 것 같네요,3.0,0.9382,"[('로켓', 1), ('버거', 1), ('진짜', 1), ('깔끔한', 1), ('것', 1), ('같네요', 1)]",긍정
9,다른집과 특별히 차이가 나는 점은 없는것같네요.,3.0,0.1844,"[('집', 1), ('특별히', 1), ('차이', 1), ('나', 1), ('점', 1), ('없는것', 1), ('같네요', 1)]",부정
