,document,score,review_score,most_words,Pos_Neu_Neg
0,그리 맵지 않음,3.0,0.4268,"[('맵', 1)]",중립
1,이사오기전 회사 앞이라 가끔 갔는데 먹기도 힘들지만 난 화장실도 힘들었던 ㅋㅋ  근데 여자들이 너~~무 많~~다 ~~ 이 어려운 음식을 ㅋㅋ,1.0,0.9277,"[('기전', 1), ('회사', 1), ('앞', 1), ('가끔', 1), ('먹기', 1), ('힘들지만', 1), ('난', 1), ('화장실', 1), ('힘들었던', 1), ('여자', 1)]",긍정
2,최악의 냉면집...소고기다시다랑 멸치다시다 조합한 맛의 싸구려육수에 암튼 걍 싸구려 냉면이지요..포장해서 집에서 먹다가 머리카락이 하나 나오길래 그럴수 있지하고 더먹는데 무더기로 계속 나와서 기분더러워 먹다버렸네요. 포장용기에 머리카락 몇개 주워서 들고 다시 가게가서 사람 많길래 장사방해될까 싶어 조용히 카운터에 얘기했더니...냉면 먹고 오리발 내미는 사람취급..발견했을때 바로 전화해서 자기한테 확인받고 남은 냉면 다시 다 가져와야 한다네요ㅜㅜ 증거가 어딨냐고  하네요...기분 개떡같아서 따졌더니 그제서야 억울하다는듯 걍 환불해준다고 하길래 거부하고 나왔네요..집에 와서 음식물쓰레기통에 버렸던 냉면 주워담아서 다시 가져다주고 왔습니다. 머리카락은 제가 보관하구요...당장 송파구청에 정기적인 위생검사 신청할거구요...담당공무원님 제대로 안하시면 다른루트로 제대로 검사받게 할겁니다. 장사잘된다고 기본적인 서비스마인드도 없고 위생도 개떡같은 이런 음식점은 사라져야 합니다.,1.0,0.0053,"[('냉면', 4), ('머리카락', 3), ('다시', 3), ('다시다', 2), ('싸구려', 2), ('포장', 2), ('집', 2), ('기분', 2), ('사람', 2), ('장사', 2)]",부정
3,음식맛이 일품이네요,5.0,0.9608,"[('음식', 1), ('맛', 1), ('일품', 1), ('요', 1)]",긍정
4,5년넘게 애용하고있는 냉면맛집이에요~ 눈물콧물 쫙 나와도 불타는 맛 중독에 헤어나오질못하고있답니다 ㅎ 양념을 취향껏 넣어먹을수있게 테이블에놓여져있는데 정말 양조절해야되요..큰코다칠수도..,3.0,0.9472,"[('애용', 1), ('냉면', 1), ('맛집', 1), ('눈물', 1), ('콧물', 1), ('쫙', 1), ('나', 1), ('불타는', 1), ('맛', 1), ('중독', 1)]",긍정
5,딱히 왜 맛있는지 모르겠어요ㅠㅠ엄마가 좋아하셔서 몇번 가긴 했지만..,1.0,0.4793,"[('딱히', 1), ('왜', 1), ('맛있는지', 1), ('엄마', 1), ('좋아하셔서', 1), ('몇번', 1)]",중립
6,김밥집 냉면이200배는 맛있음,1.0,0.9692,"[('김밥', 1), ('집', 1), ('냉면', 1), ('맛있음', 1)]",긍정
7,가격이 저렴해서 좋았습니다 매운다대기도 취향것 넣어먹을수 있어 좋았습니다,3.0,0.9523,"[('좋았습니다', 2), ('가격', 1), ('저렴해서', 1), ('매운', 1), ('다대기', 1), ('취향', 1), ('것', 1), ('있어', 1)]",긍정
8,그냥 물냉에 다대기 풀어서 먹는게 제일 맛있어요ㅎㅎ 저도 비냉도전해보려다가 도저히 용기가 안나서….,5.0,0.8446,"[('그냥', 1), ('물냉', 1), ('다대기', 1), ('제일', 1), ('맛있어요', 1), ('저', 1), ('비냉', 1), ('도전', 1), ('도저히', 1), ('용기', 1)]",긍정
9,맛있게먹고 면도 생면으로 포장가능해서 싸왔음~~ 집에서 또해먹어야지~ ㅋㅋ,3.0,0.9609,"[('맛있게', 1), ('면도', 1), ('생면', 1), ('포장', 1), ('가능해서', 1), ('집', 1), ('또', 1)]",긍정
10,비냉과물냉두개시켜먹었는데 양념이 맵더라구요 맛은있는데 양념이 몬가 깊은양념맛은 아닌듯 … ㅎㅎ,5.0,0.1504,"[('양념', 3), ('맛', 2), ('비냉', 1), ('물냉', 1), ('개시', 1), ('켜', 1), ('있는데', 1), ('몬', 1), ('깊은', 1), ('아닌듯', 1)]",부정
11,양이 되게많았어여~ 다먹으니 배가 완전 빵빵,4.0,0.9718,"[('양', 1), ('많았어여', 1), ('배', 1), ('완전', 1), ('빵빵', 1)]",긍정
12,음식이 금방나와서 너무좋았어요 따로 비치되어있는 그 양념장 제가 맵기를 조절해서 먹을수있어 좋았어요!!!!,3.0,0.9688,"[('좋았어요', 2), ('음식', 1), ('금방', 1), ('비치', 1), ('그', 1), ('양념장', 1), ('제', 1), ('맵', 1), ('조절', 1)]",긍정
13,요기 양념장 완전 맛잇어요!! 엄청넣어먹었네요!! 매운양념이니 넣고먹어보고 조절해야될거에요!!,3.0,0.9573,"[('요기', 1), ('양념장', 1), ('완전', 1), ('맛', 1), ('매운', 1), ('양념', 1), ('보고', 1), ('조절', 1)]",긍정
14,맛있게 먹는법을 따로 적어놓으셨더라구요 따라해먹으니 맛있었습니다.,3.0,0.9752,"[('맛있게', 1), ('법', 1), ('맛있었습니다', 1)]",긍정
15,맛없다고욕하는사람들이해안되요 미친듯이매운곳인데뭐 ㅋㅋ맛이아니라아프러오는곳 ㅋ스트레스풀러와요가끔ㅋㅋㅋㅋ,4.0,0.0125,"[('곳', 2), ('맛없다고', 1), ('욕', 1), ('사람', 1), ('이해', 1), ('안되요', 1), ('미친듯이', 1), ('매운', 1), ('뭐', 1), ('맛', 1)]",부정
16,보통 맛집들은 가격이 비싼데 요집은 가격도 착해요 착해~ㅋㅋ,5.0,0.6357,"[('가격', 2), ('보통', 1), ('맛집', 1), ('비싼데', 1), ('집', 1), ('착해요', 1), ('착해', 1)]",중립
17,입구에있는 육수 너무맛있어요ㅜㅜ 육수가 또생각날듯한 그런맛!! 매운거 좋아하시는분들 비냉도전해보세요~ 매워요 ㅋㅋ,4.0,0.9323,"[('육수', 2), ('입구', 1), ('있는', 1), ('맛있어요', 1), ('또', 1), ('맛', 1), ('매운거', 1), ('좋아하시는', 1), ('분', 1), ('비냉', 1)]",긍정
18,성인남성이 먹어도 거뜬한 양ㅋ 물냉이 좀 밍밍한거같은데 테이블에있는 양념장넣어먹음 굳ㅋ,3.0,0.8037,"[('성인', 1), ('남성', 1), ('거뜬한', 1), ('양', 1), ('물', 1), ('냉이', 1), ('좀', 1), ('밍밍', 1), ('거', 1), ('같은데', 1)]",긍정
19,물냉은 특별하진않았구 비냉이 추천추천!! 물냉에 다대기넣어서 먹음 진짜 그것도 추천추천!!,5.0,0.8485,"[('추천', 4), ('물냉', 2), ('특별하진', 1), ('비', 1), ('냉이', 1), ('다대기', 1), ('먹음', 1), ('진짜', 1), ('그것', 1)]",긍정
20,매운거못드시는분은 물냉 매운거좋아하시는분들은 비냉!! 매운거못드시는데 비냉드시고싶음 육수넣어달라고하심 덜매워요~!!,3.0,0.8439,"[('매운거못', 2), ('분', 2), ('비냉', 2), ('물냉', 1), ('매운거', 1), ('좋아하시는', 1), ('육수', 1), ('달라', 1), ('고하', 1), ('심', 1)]",긍정
21,음식은 물냉.비냉 두개밖에없어요 줄도 길어서 대화할시간도없이 금방먹고 빠져줘야해 근데 일부러아니야…비냉먹으면정신없어서 먹고빨리나오게되,3.0,0.299,"[('비냉', 2), ('음식', 1), ('물냉', 1), ('개', 1), ('없어요', 1), ('줄', 1), ('대화', 1), ('시간', 1), ('금방', 1), ('일부러', 1)]",부정
22,비냉 진짜매운데 그래도 계속 입으로 넣게되요오~ 매울때 육수한컵 딱!! 크으~,5.0,0.9029,"[('비냉', 1), ('진짜', 1), ('매운데', 1), ('계속', 1), ('입', 1), ('오', 1), ('때', 1), ('컵', 1)]",긍정
23,매운거 잘못먹어서 물냉시키고 앞에놓인 소스 살짝풀어 먹으니 맛있었어용~ 양도많아용,3.0,0.9796,"[('매운거', 1), ('물냉', 1), ('앞', 1), ('소스', 1), ('살짝', 1), ('맛있었어용', 1), ('양도', 1), ('많아용', 1)]",긍정
24,저는 매운걸 좋아해서 양념장 더추가해서 먹었네요~ 맛있네요~,5.0,0.956,"[('저', 1), ('매운', 1), ('걸', 1), ('좋아해서', 1), ('양념장', 1), ('더', 1), ('추가', 1), ('맛있네요', 1)]",긍정
25,난 가면항상 물냉만먹어요ㅋㅋ 불친절하다고뭐라하는사람들 이해안됨ㅋ 손님그렇게많은데 정신없으시겠지뭘,3.0,0.5018,"[('난', 1), ('가면', 1), ('항상', 1), ('물냉', 1), ('불친절하다고', 1), ('사람', 1), ('이해', 1), ('안됨', 1), ('손님', 1), ('많은데', 1)]",중립
26,난 매운걸잘먹지만 여기는 진짜매움 앵간히 못먹으면 시도도하지마시오ㅋ걍물냉추천,5.0,0.9337,"[('난', 1), ('매운', 1), ('진짜', 1), ('매움', 1), ('시', 1), ('도도하지마', 1), ('시오', 1), ('물냉', 1), ('추천', 1)]",긍정
27,뜨거운육수는 필수로 떠다먹어야하는것 비냉먹다보면 입에 감각이 사라지는매움ㅠㅠ 근데…또먹고싶어져 이상해…,3.0,0.706,"[('뜨거운', 1), ('육수', 1), ('필수', 1), ('야하는것', 1), ('비냉', 1), ('입', 1), ('감각', 1), ('움', 1), ('또', 1), ('이상해', 1)]",긍정
28,웨이팅해도 금방금방빠짐 자리도그냥 모르는사람옆에서먹는데 정신없이 먹고 금방나감ㅋ,3.0,0.2028,"[('금방', 3), ('웨이', 1), ('팅', 1), ('해도', 1), ('자리', 1), ('그냥', 1), ('사람', 1), ('옆', 1)]",부정
29,난 못먹는데 매운걸좋아하는데 여기는 그냥심하게아픈맛인데 근데 또가고싶은데??잉?,5.0,0.1107,"[('난', 1), ('매운', 1), ('걸', 1), ('좋아하는데', 1), ('그냥', 1), ('심하게', 1), ('아픈', 1), ('맛', 1), ('또', 1), ('잉', 1)]",부정
30,난 물냉먹으러오는데 비냉먹으러오는사람들보면 대단ㅋㅋㅋ,4.0,0.9788,"[('난', 1), ('물냉', 1), ('비냉', 1), ('사람', 1), ('들보', 1)]",긍정
31,비냉먹고 화장실 엄청갔음ㅋㅋㅋ다음엔 물냉을 먹을께요ㅎㅎ,3.0,0.8972,"[('비냉', 1), ('화장실', 1), ('다음', 1), ('물냉', 1)]",긍정
32,"So so...가격은 ₩4,500 으로 인상 밤12시까지 연장 영업으로 변경...",3.5,0.6005,"[('가격', 1), ('인상', 1), ('밤', 1), ('연장', 1), ('영업', 1), ('변경', 1)]",중립
33,저 매운거 잘먹는데 비냉 머리아프고 정신빠지게 맵네요ㅠㅠ꼭 덜맵게 해달라고 하시고 육수좀 넣어드시는게 좋겠습니당..그리고 희한하게 물냉이 아무것도 안넣었을때 뭔가 평양냉면스런 맛이 있어서 좋았음,4.0,0.9875,"[('저', 1), ('매운거', 1), ('비냉', 1), ('머리', 1), ('아프고', 1), ('정신', 1), ('꼭', 1), ('덜맵', 1), ('좀', 1), ('좋겠', 1)]",긍정
34,핵폭탄 매운 냉면집! 정말 매워요! 스트레스가 한반에 훅,5.0,0.4793,"[('핵폭탄', 1), ('매운', 1), ('냉면집', 1), ('정말', 1), ('매워요', 1), ('스트레스', 1), ('반', 1), ('훅', 1)]",중립
35,냉면의 본좌! 물냉먹는사람은 바보에요~마늘맛 톡 쏘는 비냉과 육수는 지상최고!!,4.0,0.8836,"[('냉면', 1), ('좌', 1), ('물냉', 1), ('사람', 1), ('바보', 1), ('마늘', 1), ('맛', 1), ('톡', 1), ('비냉', 1), ('육수', 1)]",긍정
36,매운비빔냉면♥맛점하세용!!,4.0,0.6066,"[('매운', 1), ('비빔냉면', 1), ('맛점', 1), ('세용', 1)]",중립
37,"2013년 12월 2일부로 500원 인상되서 물냉면/비빔냉면 4,500원으로 바뀝니다",3.5,0.4257,"[('인상', 1), ('물냉면', 1), ('비빔냉면', 1)]",중립
38,4500원으로 인상됨,3.5,0.7626,"[('인상', 1)]",긍정
39,오늘 점심 매운 해주냉면으로....,4.0,0.6859,"[('오늘', 1), ('점심', 1), ('매운', 1), ('해주', 1), ('냉면', 1)]",긍정
40,매운음식이땡기는날 무자게먹고싶은집,4.0,0.6388,"[('매운', 1), ('음식', 1), ('날', 1), ('무자', 1), ('집', 1)]",중립
41,정말 맛있어요,4.0,0.9827,"[('정말', 1), ('맛있어요', 1)]",긍정
42,매운맛이끝내줘요 엄청 맛있어  국물이끝내줘요,4.0,0.976,"[('끝내줘요', 2), ('매운', 1), ('맛', 1), ('맛있어', 1), ('국물', 1)]",긍정
43,맛집이라기엔 형편없는 솜씨. 개인적으론 신천 메인골목의 별미냉면집이 훨 낫네요.,4.0,0.6476,"[('맛집', 1), ('형편', 1), ('없는', 1), ('솜씨', 1), ('개인', 1), ('신천', 1), ('메인', 1), ('골목', 1), ('별미', 1), ('냉면집', 1)]",중립
44,비냉 너무 맵지만 갈때마다 도전해요 ㅋㅋ,4.0,0.5011,"[('비냉', 1), ('맵', 1), ('때', 1), ('도전', 1)]",중립
45,먹을만했구요,4.0,0.7844,[],긍정
46,매주 주일은 쉽니다. 오전 11:30분~오후 9시까지 영업.,4.0,0.5731,"[('주일', 1), ('오전', 1), ('오후', 1), ('영업', 1)]",중립
