,상권코드,서비스업종코드명,점포수,유사업종점포수,개업점포수,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명
1,2110118,커피-음료,4.0,7.0,0.0,1.0,15.0,1.0,0.0,2.0,0.0,3.0,697.0,1097.0,781877.0,364389.0,417487.0,131457.0,157024.0,121565,115300.0,108853.0,147678.0,166113,161399,102261.0,103638.0,149775.0,98688.0,112365,115651.0,115610.0,115768.0,115551.0,106276,100656,8560000.0,성동구
8,2120087,제과점,2.0,6.0,0.0,0.0,25.0,1.0,0.0,4.0,1.0,1.0,441.0,2369.0,844785.0,373507.0,471278.0,110916.0,126572.0,139276,139657.0,123231.0,205133.0,160193,174081,112449.0,117141.0,172866.0,108055.0,117455,114995.0,116309.0,115579.0,117917.0,130871,131660,21860000.0,은평구
9,2120087,치킨전문점,1.0,2.0,0.0,0.0,25.0,1.0,0.0,4.0,1.0,1.0,441.0,2369.0,844785.0,373507.0,471278.0,110916.0,126572.0,139276,139657.0,123231.0,205133.0,160193,174081,112449.0,117141.0,172866.0,108055.0,117455,114995.0,116309.0,115579.0,117917.0,130871,131660,26990000.0,은평구
10,2120087,패스트푸드점,4.0,6.0,0.0,0.0,25.0,1.0,0.0,4.0,1.0,1.0,441.0,2369.0,844785.0,373507.0,471278.0,110916.0,126572.0,139276,139657.0,123231.0,205133.0,160193,174081,112449.0,117141.0,172866.0,108055.0,117455,114995.0,116309.0,115579.0,117917.0,130871,131660,17910000.0,은평구
14,2120087,커피-음료,4.0,10.0,1.0,0.0,25.0,1.0,0.0,4.0,1.0,1.0,441.0,2369.0,844785.0,373507.0,471278.0,110916.0,126572.0,139276,139657.0,123231.0,205133.0,160193,174081,112449.0,117141.0,172866.0,108055.0,117455,114995.0,116309.0,115579.0,117917.0,130871,131660,5730000.0,은평구
15,2120087,분식전문점,5.0,9.0,0.0,0.0,25.0,1.0,0.0,4.0,1.0,1.0,441.0,2369.0,844785.0,373507.0,471278.0,110916.0,126572.0,139276,139657.0,123231.0,205133.0,160193,174081,112449.0,117141.0,172866.0,108055.0,117455,114995.0,116309.0,115579.0,117917.0,130871,131660,23390000.0,은평구
20,2110766,한식음식점,11.0,11.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,360.0,2335.0,964823.0,482616.0,482207.0,93018.0,113162.0,167252,168306.0,185436.0,237648.0,221745,194266,117759.0,120360.0,183414.0,127278.0,136985,135225.0,136135.0,135525.0,136305.0,138831,145818,7920000.0,영등포구
21,2120097,패스트푸드점,0.0,4.0,0.0,0.0,26.0,1.0,1.0,11.0,2.0,1.0,2246.0,873.0,353539.0,170650.0,182889.0,28231.0,55921.0,80773,71858.0,55511.0,61247.0,68455,77418,57794.0,59321.0,58056.0,32496.0,52372,55550.0,55528.0,55572.0,53118.0,40923,40477,9300000.0,서대문구
23,2120097,분식전문점,6.0,7.0,0.0,0.0,26.0,1.0,1.0,11.0,2.0,1.0,2246.0,873.0,353539.0,170650.0,182889.0,28231.0,55921.0,80773,71858.0,55511.0,61247.0,68455,77418,57794.0,59321.0,58056.0,32496.0,52372,55550.0,55528.0,55572.0,53118.0,40923,40477,6790000.0,서대문구
24,2120097,커피-음료,9.0,16.0,1.0,0.0,26.0,1.0,1.0,11.0,2.0,1.0,2246.0,873.0,353539.0,170650.0,182889.0,28231.0,55921.0,80773,71858.0,55511.0,61247.0,68455,77418,57794.0,59321.0,58056.0,32496.0,52372,55550.0,55528.0,55572.0,53118.0,40923,40477,25320000.0,서대문구
