,분기당매출금액,0
0,784,786.0
1,175,395.0
2,666,776.0
3,482,498.0
4,1530,1453.0
5,878,683.0
6,1435,1484.0
7,356,357.0
8,456,672.0
9,1341,1138.0
10,447,554.0
11,1491,1287.0
12,314,336.0
13,268,301.0
14,832,827.0
15,594,792.0
16,1530,1466.0
17,1530,1407.0
18,137,259.0
19,1392,1274.0
20,852,884.0
21,1530,1624.0
22,299,241.0
23,1530,1541.0
24,1530,1459.0
25,1045,1075.0
26,1346,1420.0
27,263,290.0
28,386,321.0
29,1524,1374.0
30,596,553.0
31,1530,1428.0
32,274,316.0
33,518,577.0
34,256,436.0
35,1260,1111.0
36,1530,1549.0
37,1530,1300.0
38,1259,1178.0
39,896,958.0
40,736,1032.0
41,678,723.0
42,1530,1526.0
43,252,289.0
44,409,367.0
45,584,582.0
46,767,818.0
47,509,466.0
48,1144,1113.0
49,100,109.0
50,841,886.0
51,489,675.0
52,566,555.0
53,847,809.0
54,177,237.0
55,1278,1291.0
56,253,413.0
57,223,182.0
58,790,889.0
59,189,175.0
60,1346,1387.0
61,552,514.0
62,133,110.0
63,1071,959.0
64,473,505.0
65,703,733.0
66,1530,1487.0
67,583,522.0
68,1225,1431.0
69,509,497.0
70,450,507.0
71,1530,1480.0
72,798,1069.0
73,385,429.0
74,572,570.0
75,1530,1609.0
76,861,935.0
77,1530,1491.0
78,1530,1385.0
79,1184,1180.0
80,426,448.0
81,508,655.0
82,939,954.0
83,243,359.0
84,614,722.0
85,630,695.0
86,239,261.0
87,615,742.0
88,1530,1393.0
89,921,935.0
90,207,243.0
91,1530,1438.0
92,406,433.0
93,1530,1503.0
94,142,134.0
95,822,710.0
96,186,144.0
97,548,573.0
98,838,735.0
99,438,371.0
100,222,283.0
101,665,709.0
102,346,332.0
103,1530,1430.0
104,705,666.0
105,1379,1249.0
106,738,882.0
107,1530,1494.0
108,914,1064.0
109,838,834.0
110,703,766.0
111,260,354.0
112,588,574.0
113,1018,1002.0
114,516,719.0
115,1530,1232.0
116,1325,1258.0
117,1112,1170.0
118,559,486.0
119,379,414.0
120,376,633.0
121,1206,861.0
122,1530,1582.0
123,425,494.0
124,808,829.0
125,770,700.0
126,856,867.0
127,1214,1152.0
128,1530,1491.0
129,202,255.0
130,660,682.0
131,999,923.0
132,879,738.0
133,446,629.0
134,589,596.0
135,1198,1418.0
136,1385,1369.0
137,1530,1449.0
138,295,412.0
139,177,197.0
140,498,445.0
141,401,562.0
142,1336,1383.0
143,1530,1536.0
144,902,933.0
145,999,992.0
146,1530,1520.0
147,1530,1375.0
148,831,803.0
149,1530,1572.0
150,291,218.0
151,244,222.0
152,744,733.0
153,1530,1388.0
154,128,127.0
155,219,395.0
156,155,136.0
157,987,965.0
158,1215,1203.0
159,1530,1513.0
160,1530,1550.0
161,1530,1501.0
162,1530,1466.0
163,664,729.0
164,647,601.0
165,1530,1519.0
166,1158,1148.0
167,1530,1478.0
168,405,396.0
169,589,597.0
170,1530,1355.0
171,634,764.0
172,663,702.0
173,1320,1301.0
174,231,318.0
175,975,928.0
176,1118,1099.0
177,610,592.0
178,676,520.0
179,924,948.0
180,485,553.0
181,1530,1528.0
182,164,141.0
183,129,137.0
184,323,265.0
185,405,430.0
186,167,136.0
187,102,78.0
188,279,228.0
189,249,261.0
190,722,748.0
191,1530,1492.0
192,470,588.0
193,1164,973.0
194,1530,1523.0
195,1530,1449.0
196,850,905.0
197,815,938.0
198,1530,1545.0
199,1131,1098.0
200,147,131.0
201,827,796.0
202,399,462.0
203,537,518.0
204,546,579.0
205,1530,1239.0
206,1030,994.0
207,1530,1545.0
208,626,499.0
209,914,834.0
210,621,784.0
211,1530,1471.0
212,1033,1233.0
213,453,664.0
214,1530,1408.0
215,492,519.0
216,143,227.0
217,280,304.0
218,424,427.0
219,1530,1567.0
220,227,192.0
221,122,278.0
222,303,327.0
223,1252,1341.0
224,901,929.0
225,1530,1290.0
226,1530,1488.0
227,928,952.0
228,1063,1108.0
229,1530,1422.0
230,486,534.0
231,1018,946.0
232,1414,1085.0
233,290,350.0
234,1530,1625.0
235,377,366.0
236,276,269.0
237,893,1069.0
238,1131,1161.0
239,815,794.0
240,297,268.0
241,1333,1263.0
242,580,661.0
243,1259,1194.0
244,989,873.0
245,426,381.0
246,705,687.0
247,764,856.0
248,177,160.0
249,1230,1318.0
250,1530,1616.0
251,1489,1423.0
252,886,948.0
253,268,523.0
254,356,442.0
