,상권코드,시군구명,서비스업종명,월예상매출,점수
0,2110118,성동구,커피-음료,839.0,53.09
1,2120087,은평구,제과점,819.0,52.57
2,2120087,은평구,치킨전문점,929.0,55.43
3,2120087,은평구,패스트푸드점,865.0,53.77
4,2120087,은평구,커피-음료,1273.0,64.36
5,2120087,은평구,분식전문점,1133.0,60.73
6,2110766,영등포구,한식음식점,1330.0,65.84
7,2120097,서대문구,패스트푸드점,537.0,45.25
8,2120097,서대문구,분식전문점,657.0,48.37
9,2120097,서대문구,커피-음료,766.0,51.2
10,2120097,서대문구,일식음식점,796.0,51.98
11,2120097,서대문구,호프-간이주점,657.0,48.37
12,2120097,서대문구,중식음식점,657.0,48.37
13,2110708,구로구,호프-간이주점,902.0,54.73
14,2110708,구로구,한식음식점,888.0,54.37
15,2110708,구로구,분식전문점,902.0,54.73
16,2110972,강남구,커피-음료,663.0,48.52
17,2120168,서초구,제과점,504.0,44.4
18,2120168,서초구,한식음식점,528.0,45.02
19,2120168,서초구,양식음식점,441.0,42.76
20,2110393,도봉구,제과점,270.0,38.32
21,2110449,은평구,커피-음료,1460.0,69.22
22,2110449,은평구,호프-간이주점,1483.0,69.82
23,2110449,은평구,한식음식점,1792.0,77.84
24,2110449,은평구,패스트푸드점,1114.0,60.24
25,2110449,은평구,양식음식점,1677.0,74.85
26,2130212,강서구,한식음식점,789.0,51.8
27,2110388,도봉구,호프-간이주점,1008.0,57.48
28,2110388,도봉구,커피-음료,976.0,56.65
29,2110332,성북구,한식음식점,741.0,50.55
30,2110271,중랑구,한식음식점,655.0,48.32
31,2110229,동대문구,중식음식점,1409.0,67.9
32,2110229,동대문구,분식전문점,1603.0,72.93
33,2110229,동대문구,육류판매,1409.0,67.9
34,2110229,동대문구,일식음식점,1550.0,71.56
35,2130231,금천구,중식음식점,783.0,51.64
36,2110518,서대문구,커피-음료,693.0,49.3
37,2110146,광진구,호프-간이주점,1274.0,64.39
38,2110146,광진구,치킨전문점,1105.0,60.0
39,2110146,광진구,육류판매,1274.0,64.39
40,2130320,강동구,호프-간이주점,825.0,52.73
41,2130179,서대문구,분식전문점,1096.0,59.77
42,2130179,서대문구,호프-간이주점,1146.0,61.07
43,2130007,종로구,한식음식점,641.0,47.95
44,2130007,종로구,육류판매,660.0,48.45
45,2130007,종로구,커피-음료,650.0,48.19
46,2120010,종로구,육류판매,937.0,55.64
47,2111088,강동구,커피-음료,740.0,50.52
48,2111088,강동구,중식음식점,783.0,51.64
49,2111088,강동구,호프-간이주점,783.0,51.64
50,2110835,동작구,치킨전문점,645.0,48.06
51,2110835,동작구,호프-간이주점,815.0,52.47
52,2110835,동작구,양식음식점,815.0,52.47
53,2110471,은평구,치킨전문점,1178.0,61.9
54,2110471,은평구,제과점,1078.0,59.3
55,2110471,은평구,중식음식점,1401.0,67.69
56,2110537,서대문구,호프-간이주점,973.0,56.57
57,2110537,서대문구,커피-음료,1086.0,59.51
58,2130072,성동구,제과점,748.0,50.73
59,2130072,성동구,치킨전문점,879.0,54.13
60,2130072,성동구,한식음식점,1124.0,60.49
61,2110284,성북구,커피-음료,525.0,44.94
62,2120224,강남구,분식전문점,420.0,42.21
63,2120224,강남구,한식음식점,491.0,44.06
64,2120224,강남구,중식음식점,420.0,42.21
65,2120224,강남구,일식음식점,698.0,49.43
66,2120224,강남구,제과점,323.0,39.7
67,2120224,강남구,양식음식점,565.0,45.98
68,2110303,성북구,제과점,1275.0,64.42
69,2110900,관악구,한식음식점,1694.0,75.3
70,2110900,관악구,분식전문점,1587.0,72.52
71,2110747,금천구,치킨전문점,466.0,43.41
72,2110747,금천구,커피-음료,540.0,45.33
73,2110747,금천구,제과점,592.0,46.68
74,2110771,영등포구,중식음식점,1185.0,62.08
75,2110530,서대문구,한식음식점,800.0,52.08
76,2120135,영등포구,치킨전문점,603.0,46.97
77,2120135,영등포구,커피-음료,604.0,46.99
78,2120135,영등포구,호프-간이주점,677.0,48.89
79,2110994,강남구,분식전문점,1157.0,61.35
80,2110994,강남구,제과점,678.0,48.91
81,2110994,강남구,육류판매,987.0,56.94
82,2110994,강남구,한식음식점,853.0,53.46
83,2110994,강남구,치킨전문점,746.0,50.68
84,2110994,강남구,일식음식점,1153.0,61.25
85,2110151,광진구,호프-간이주점,1426.0,68.34
86,2110147,광진구,커피-음료,955.0,56.11
87,2110147,광진구,중식음식점,985.0,56.89
88,2110147,광진구,일식음식점,950.0,55.98
89,2110147,광진구,한식음식점,1019.0,57.77
90,2110548,마포구,치킨전문점,1353.0,66.44
91,2110548,마포구,한식음식점,1827.0,78.75
92,2110548,마포구,제과점,1397.0,67.58
93,2110812,영등포구,중식음식점,906.0,54.83
94,2110812,영등포구,호프-간이주점,906.0,54.83
95,2110602,양천구,치킨전문점,306.0,39.25
96,2110341,강북구,호프-간이주점,571.0,46.14
97,2110341,강북구,육류판매,571.0,46.14
98,2110341,강북구,한식음식점,772.0,51.35
99,2110488,은평구,한식음식점,1018.0,57.74
100,2110651,강서구,분식전문점,998.0,57.22
101,2110331,성북구,패스트푸드점,705.0,49.61
102,2110724,금천구,한식음식점,1390.0,67.4
103,2110995,강남구,제과점,644.0,48.03
104,2110995,강남구,한식음식점,912.0,54.99
105,2110995,강남구,치킨전문점,582.0,46.42
106,2110112,성동구,중식음식점,1104.0,59.98
107,2110112,성동구,한식음식점,1126.0,60.55
108,2110112,성동구,제과점,924.0,55.3
109,2110302,성북구,호프-간이주점,384.0,41.28
