STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TRDAR_CHNGE_IX,TRDAR_CHNGE_IX_NM,OPR_SALE_MT_AVRG,CLS_SALE_MT_AVRG,SU_OPR_SALE_MT_AVRG,SU_CLS_SALE_MT_AVRG
2017,1,A,골목상권,2110665,곰달래도서관,LL,다이나믹,96,47,98,51
2017,1,A,골목상권,2110541,동교초등학교,LL,다이나믹,87,47,98,51
2017,1,A,골목상권,2110722,G타워,LL,다이나믹,65,47,98,51
2017,1,A,골목상권,2110042,남산골공원옆,HH,정체,111,61,98,51
2017,1,A,골목상권,2110141,건대입구역 1번,LL,다이나믹,74,45,98,51
2017,1,A,골목상권,2110175,푸른동산공원,HL,상권축소,106,48,98,51
2017,1,A,골목상권,2110295,정릉우체국,HH,정체,101,60,98,51
2017,1,A,골목상권,2110752,한울중학교,LL,다이나믹,92,46,98,51
2017,1,A,골목상권,2111051,천호역 6번,LH,상권확장,98,52,98,51
2017,1,A,골목상권,2110900,낙성대역 1번(관악구민 종합체육센터),LL,다이나믹,79,50,98,51
2017,1,A,골목상권,2110474,세명컴퓨터고등학교,LH,상권확장,96,60,98,51
2017,1,A,골목상권,2110293,삼선중학교,LH,상권확장,89,54,98,51
2017,1,A,골목상권,2110502,남가좌파출소,HH,정체,102,56,98,51
2017,1,A,골목상권,2110614,목동로데오거리,LL,다이나믹,90,50,98,51
2017,1,A,골목상권,2110140,건대입구역 6번,LL,다이나믹,83,46,98,51
2017,1,A,골목상권,2110753,시흥동 은행나무사거리,HL,상권축소,107,50,98,51
2017,1,A,골목상권,2110550,합정역 8번,LL,다이나믹,76,48,98,51
2017,1,A,골목상권,2110511,연희초등학교,HH,정체,104,55,98,51
2017,1,A,골목상권,2110846,남성역 1번,HL,상권축소,99,50,98,51
2017,1,A,골목상권,2110181,신설동역 9번,HL,상권축소,100,47,98,51
2017,1,A,골목상권,2110939,양재역 8번(양재동우체국),HL,상권축소,100,47,98,51
2017,1,A,골목상권,2110246,월드순복음교회,HL,상권축소,100,48,98,51
2017,1,A,골목상권,2110046,버티고개,LL,다이나믹,69,44,98,51
2017,1,A,골목상권,2110980,개포지구대옆,HL,상권축소,103,49,98,51
2017,1,A,골목상권,2110668,화곡2동주민센터,LL,다이나믹,93,46,98,51
2017,1,A,골목상권,2110906,서문여고,HH,정체,117,54,98,51
2017,1,A,골목상권,2110796,한림대학교한강성심병원,HL,상권축소,109,40,98,51
2017,1,A,골목상권,2110609,신정네거리역 2번,LL,다이나믹,84,50,98,51
2017,1,A,골목상권,2110216,전농중학교,HH,정체,130,56,98,51
2017,1,A,골목상권,2110321,동덕여대,LH,상권확장,90,53,98,51
2017,1,A,골목상권,2110244,중화역 4번,HL,상권축소,98,44,98,51
2017,1,A,골목상권,2110299,정릉역 1번,HH,정체,118,56,98,51
2017,1,A,골목상권,2110374,송중초등학교,HH,정체,101,52,98,51
2017,1,A,골목상권,2110928,서초우방유쉘아파트,LL,다이나믹,87,49,98,51
2017,1,A,골목상권,2110816,대방역 6번,HH,정체,108,55,98,51
2017,1,A,골목상권,2110885,영락고등학교,LH,상권확장,92,52,98,51
