TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,XCNTS_VALUE,YDNTS_VALUE,SIGNGU_CD,ADSTRD_CD,STDR_YM_CD
A,골목상권,2110753,시흥동 은행나무사거리,191934,438813,11545,11545710,202112
A,골목상권,2110427,노원 을지대학교병원,206265,459431,11350,11350611,202112
A,골목상권,2110755,동일여자고등학교,192300,439070,11545,11545680,202112
A,골목상권,2110739,시흥3동 우편취급국,191289,438014,11545,11545690,202112
A,골목상권,2111017,송파나루역 3번,210222,445516,11710,11710562,202112
A,골목상권,2110249,중화역 1번,207203,456106,11260,11260600,202112
A,골목상권,2110963,역삼월드메르디앙아파트,203260,443659,11680,11680640,202112
A,골목상권,2110332,돌곶이역 3번,205155,457004,11290,11290770,202112
A,골목상권,2110245,KB국민은행 중화동지점,206928,455306,11260,11260610,202112
A,골목상권,2110719,영서중학교,190510,443238,11530,11530540,202112
A,골목상권,2110932,서울시인재개발원,202065,442758,11650,11650510,202112
A,골목상권,2110933,한국상담대학원대학교,202091,443006,11650,11650510,202112
A,골목상권,2110868,남부초등학교,193242,442825,11620,11620685,202112
A,골목상권,2110395,신한은행 방학동지점,203210,462708,11320,11320690,202112
A,골목상권,2110393,국민은행방학지점,202918,462499,11320,11320710,202112
A,골목상권,2110114,왕십리파출소,202802,451995,11200,11200535,202112
A,골목상권,2110760,선유도역 6번,190474,448534,11560,11560620,202112
A,골목상권,2111068,강동성심병원,211971,448499,11740,11740685,202112
A,골목상권,2110619,목4동주민센터,188177,448004,11470,11470540,202112
A,골목상권,2110093,우사단길,200013,448122,11170,11170685,202112
A,골목상권,2110734,금천파출소,191061,439380,11545,11545670,202112
A,골목상권,2111030,방이역 2번,211453,445218,11710,11710570,202112
A,골목상권,2110573,신촌역 6번,194606,450433,11440,11440600,202112
A,골목상권,2110053,청구역 1번,201114,451386,11140,11140615,202112
A,골목상권,2110972,강남세브란스병원미래의학연구센터,203786,443905,11680,11680650,202112
A,골목상권,2110911,방배배수지체육공원,199109,441478,11650,11650620,202112
A,골목상권,2110969,베르사이유1아파트,203564,444385,11680,11680650,202112
A,골목상권,2111002,한국교통안전공단 강남자동차검사소,210597,441133,11680,11680700,202112
A,골목상권,2110863,난우초등학교,192781,441883,11620,11620765,202112
A,골목상권,2110751,난곡중학교,191810,442086,11545,11545630,202112
A,골목상권,2110993,개포지하차도 북측,205157,442012,11680,11680660,202112
A,골목상권,2110725,가산동주민센터,190317,442049,11545,11545510,202112
A,골목상권,2110723,가산디지털단지역 1번 출입구,189718,442660,11545,11545510,202112
A,골목상권,2110938,바우뫼공원,203210,441747,11650,11650651,202112
A,골목상권,2110999,윗방죽마을공원,209174,441371,11680,11680700,202112
A,골목상권,2110941,언남고등학교,203704,441599,11650,11650652,202112
A,골목상권,2110087,이태원엔틱가구거리,199460,447962,11170,11170650,202112
A,골목상권,2110094,오산중학교,200103,447302,11170,11170700,202112
A,골목상권,2110262,상봉역 3번,207894,454997,11260,11260590,202112
A,골목상권,2110279,신내역 2번,209665,456979,11260,11260655,202112
A,골목상권,2110107,금호사거리,202135,449773,11200,11200620,202112
A,골목상권,2110576,대흥역 3번,195013,449632,11440,11440600,202112
A,골목상권,2111010,석촌역 7번,209002,445150,11710,11710600,202112
A,골목상권,2110098,서울독일학교,200916,448556,11170,11170685,202112
A,골목상권,2110669,화곡보람2차아파트,187145,450421,11500,11500591,202112
A,골목상권,2111081,둔촌푸르지오아파트,212933,448427,11740,11740700,202112
A,골목상권,2110331,돌곶이역 8번,205055,456506,11290,11290810,202112
A,골목상권,2110786,당산역 8번,191589,448287,11560,11560560,202112
A,골목상권,2110956,언주역 8번,202759,445039,11680,11680640,202112
A,골목상권,2111003,삼전역 4번,207258,444942,11710,11710650,202112
A,골목상권,2110565,홍익대,193645,450375,11440,11440655,202112
A,골목상권,2110149,세종대학교,206732,450331,11215,11215730,202112
A,골목상권,2110110,상왕십리역 6번,202480,451599,11200,11200520,202112
A,골목상권,2110539,미근동,197077,451538,11410,11410565,202112
A,골목상권,2110505,홍남교남측,193349,452680,11410,11410615,202112
A,골목상권,2110055,황학동벼룩시장,201637,452263,11140,11140670,202112
A,골목상권,2110122,마장역 2번,203876,452025,11200,11200540,202112
A,골목상권,2111065,천일초등학교,211856,449198,11740,11740620,202112
A,골목상권,2110305,보문역 5번,201963,453846,11290,11290600,202112
A,골목상권,2110499,연가초등학교,192793,453609,11410,11410720,202112
A,골목상권,2110150,중곡1동 마을마당,206769,451337,11215,11215740,202112
A,골목상권,2110236,신묵초등학교,206619,456601,11260,11260630,202112
A,골목상권,2111023,문정역 1번,210877,443156,11710,11710641,202112
A,골목상권,2110925,서초중학교,200588,443043,11650,11650530,202112
A,골목상권,2110910,내방역 5번,199070,443198,11650,11650621,202112
A,골목상권,2110775,대동초등학교,191247,443583,11560,11560710,202112
A,골목상권,2110854,조원동주민센터,191833,442548,11620,11620725,202112
A,골목상권,2110853,KT구로지사,191358,442409,11620,11620725,202112
A,골목상권,2110918,방배역 3번,199432,442537,11650,11650600,202112
A,골목상권,2110243,중랑노인종합복지관,206884,454298,11260,11260520,202112
A,골목상권,2110935,한전아트센터,202365,442972,11650,11650520,202112
A,골목상권,2110585,마포경찰서,195980,450293,11440,11440555,202112
A,골목상권,2110871,신원동주민센터,193573,442367,11620,11620655,202112
A,골목상권,2110811,보라매역 4번,192681,444420,11560,11560680,202112
A,골목상권,2110992,도곡초등학교,204993,444495,11680,11680630,202112
A,골목상권,2111043,마천공원,212884,444670,11710,11710550,202112
