0,무난하게 가기 좋은 술집~! 분위기 좋아서 종종 가요 🙌🏻,3.6
1,들어가서 대기인 입력하고 입구에서 뻘쭘하게 서있는데 직원분들이 계속 본체만체했어요. 한 5~10분 기다리니까 그제서야 말거는데 서비스가 너무 별로여서 그냥 나왔어요ㅠ,3.5
2,직원이 다소 불친절함육회물회 냉동육회 사용으로 종이를 씹는 식감막걸리는 달달하게 맛있지만 술먹는 느낌이 안남,3.7
3,카운터에 계셨던 남자 나이 좀 있으신 남자분 정말 화나네요. 방문했을 때 웨이팅 앞에 한분 계셨는데 저희 도착하자마자 들어가셨고 그때부터 25분정도 매장에서 계속 대기했습니다. 다음 분들 많이 오셔서 매장이 조금 소란스럽고 복잡하고 더웠지만 과일 막걸리 먹고싶어서 참고 기다렸는데 갑자기 다음 팀을 먼저 부르시길래 왜 저희 번호 안부르시냐 했더니 몇번이나 불렀다고 말하셨습니다. 정말 어이없고 당황스러웠어요. 네명이서 그 안에서 계속 기다리면서 부르는 걸 못 들었을 리 만무하고 설령 부르셨더라도 저희 넷 다 못들을 정도였으면 직원분에게 문제가 있는 걸텐데 그렇게 한마디하고 나서부터는 말 걸어도 다 무시하시고 진상 고객인 것처럼 응대하셔서 기분만 망쳤네요.. 시간도 아깝고 화나요. 다신 안갑니다,3.0
4,술과 음식은 괜찮지만 양에 비해 너무 비싸고 직원분들이 너무 삭바가지가 없슴… 안내도 설렁설렁,3.9
5,자두막걸리 하도 추천해서 마셔봤는데 겁나맛있네요 딸바는 좀 무거운 느낌이고 자두청포도는 가볍고.. 완전달아요 닭똥집이랑 오뎅탕도 맛있었어요,3.4
6,막걸리 종류 많아요자두 막걸리 맛있음좌석 좁고 시끄러워요음식들도 쏘쏘 평타,3.0
7,스팸두부김치만 맛있었어요연어는 맛있지만 진짜 창렬…굳이 또 가고싶지 않아요..,5.0
8,나쁘지 않아용,3.6
9,알바 디꺼움,3.9
10,불친절,4.1
11,가성비가 좋지는 않지만 음식 맛은 무난해서 종종 가던 곳인데 주문하지도 않았던 메뉴가 계산되어 여쭤보니 남직원이 너무 불친절하게 내가 잘못한거마냥 짜증내며 환불해주심,4.1
13, 그때 이후로 굳이 안감,4.3
14,분위기도 좋고 다양한 막걸리가 많아서 좋아요.,4.1
15,굳이 찾아올 맛,4.5
16, 서비스는 아니에요,3.7
17,과일막걸리는 맛있어서 막걸리 별로 안 좋아하는 친구도 잘 마실 정도음식은 양이 적은 것처럼 느껴질 수 있지만 정갈하게 잘 나와서 만족,3.5
18,과일막걸리 짱맛탱... 술 맛 하나도 안나요 술찌도 혼자 500 하나는 충분히 비울 수 있음,4.0
19,맛있어요 !,2.7
20,음식 갖다주는데 말 한마디도 없고 걍 놔두고감 주문하는데 못알아들어서 눼? 하면서 인상 찌푸림 ㅋㅋ 진심 서비스 마인드 역대급 (젊은남자) 기분 잡쳐서 대충 먹고 나옴 다신안감,5.0
21,오우..직원이 다 남자밖에 없었는데 대박 불친절장난아님ㅋㅋㅋㅋㅋㅋㅋㅋ가격 대비 양 창렬,4.2
22,막걸리를 좋아하는 편이 아니어서 평가는 안하겠음. 친구는 맛있다고 함. 막걸리 중 포도 막걸리가 제일 ㄱㅊ자리가 프라이빗하고 별로 안 시끄러워서 좋음. 온도도 딱 맞. 짬뽕탕 - 맛있음. 재료도 많이 들어가서 추천.육회 - 앵간직원 친절도 - 앵간,4.7
23,1. 자두 막걸리 (사실이게압도적),3.5
24, 딸기바나나우유막걸리만 드세여.. 딴 막걸리는 개인차 있겠으나 다 가성비 그닥이였음2. 안주 두부김치가 제일 맛있습니다ㅜㅜ 꼭 이거 드세요 딴건 시키지마세요ㅠㅠ 노맛임 딴건,2.8
25,과일막걸리땡길때 가는곳근데 웨이팅이 노답,3.5
26,두 번 정도 방문했는데 모두 최악의 기억으로 주변에 절대 가지말라고 신신당부합니다. 입구에서 신분증 검사하는 나이 많은 직원있는데 정말 너무 불친절합니다. 신분증없는 남자는 그냥 들어가라고 하고 신분증 없는 여자는 신분증 가져오라고 합니다. 장난하세요? 선택적으로 검사하는 주제에 띠껍게 굴지마세요.,4.0
27,오로지 막걸리만 괜찮음안주는 죄다별로연어는 너무 비려서 손도 못댓구요해물파전에 해물은 어디잇엇는지...파만 질겅질겅 씹은기억뿐.맛은 평균 이하엿어요왜 줄서서 먹는지 모르겟는 집...재방문의사 없습니다,3.5
28,점심메뉴 저렴하긴한데 딱 그정도의 맛,4.2
29,한식으로 이정도밖에 못하다니 ㅠㅜ,2.9
30,막걸리 시킨지 15분정도 지나서 2층 담당 안경 쓴 남직원한테 막걸리 시켰는데 주문 들어갔냐니까 0.5초만에 들어갔다고 대답함. 그러고 나선 막걸리가 10초만에 나옴....^^? 안들어간거아닌가 하는 합리적의심이 들고 여러모로 상당히 불친절. 음식은 1시간 기다리고 들어가서 그런지 그냥 그랬음,3.9
31,데이트하기 좋아여,4.2
32,딸바우막 ,3.7
33, 전 두가지를 먹어봤는데 둘다 추천합니다 굳,2.8
34,사장인지 직원인지 남자 왜 반말하냐? 이런게 진짜 광기냐?,3.7
35,막걸리 존맛탱 ㅋㅋㅋㅋ,3.8
36,여기 막걸리 종류 진짜 많고 특히 칵테일 막걸리들 맛있어서 쭉쭉넘어갑니닼ㅋㅋㅋ 전 먹어본거중에 자두막걸리가 제일 맛있었습니다,3.7
