0,저렴한 가격에 알찬 분식세트를 먹을 수 있습니다!! 저녁시간이라 그런지 손님들도 끊이지않고 들어오더라구요!! 바빠도 친절하시고 양도 맛도 좋았어요!!,4.0
1,중딩때부터 다녔는데 떡꼬치랑 순대볶음이 맛있어요ㅋㅋ근데 떡볶이는 그닥 그래요,4.0
2,알럽 뻥아 ₩1000 넘 크면 반으로 두개로 잘라쥬심~!!,3.5
3,치즈라볶이 떡꼬치 뻥튀기아이스크림 (모듬튀김에서는 못난이 빼고달라고 하는거 잊지말기... 못난이시러용),3.5
4,맛잇어요 막 찾아와서먹을맛은아니고 집앞떡볶이,4.0
5,깔끔했음,3.0
6,모둠  괜찮은 것 같다,3.0
7,떡볶이는 그다지..뻥튀기 아이스크림은 강추!,3.5
8,카드는 안되요!! 현금필수,3.5
9,마땅히 먹을거 없을때는 이 집에 갑니다.,3.0
10,순대볶음 그럭저럭 훌륭했었음,3.0
11,순대볶음  만족스러웠음,3.0
12,언젠가는 꼭 가보겠어!,3.0
13,이집 떡볶이 최고 입니다.  뻥튀기 아이스크림도 최고..,3.5
14,모둠 진짜 훌륭했습니다.,3.0
15,여러모로 만족스러울만했음,3.0
16,모둠 그럭저럭 입맛에 맞는 것 같네요,3.0
17,뻥튀기아스크림이랑 치즈라볶이 순대볶음 추천. 단 양이 많으므로 꼭 하나씩만 시키셔도 무방 ㅎ,3.5
18,포장 주문은 아이스크림 기계앞에서 하고 받아가면 편해요 ^^,3.5
