0,강남에 생겨서 너무 좋아요!! 직원분들도 친절하고 최고,4.3
1,맛은 너무너무 있지만서비스는  기대 ㄴㄴ,4.2
2,숙주랑 치즈토핑함 ㅎㅎ숙주,4.2
3,넣으니 식감 살아나서 넘 맛있었다 ㅎㅎㅎ 다른 리뷰는 맵다고 했는데 신전에 길들여진 나는 좀 심심했음.. 그냥 평범한 즉떡 양념맛.. 떡 양도 생각보다 적었음대신 버터갈릭감튀 진짜,4.0
4,너무너무너무 맛있었다...ㅠㅠㅠㅠ 단순히 버터갈릭 소스만 얹은 게 아니라 감튀자체에 시즈닝이 뿌려져서 주는데 그 시즈닝이 짱 맛있었음진미채볶음밥도 시켰는데 생각보다는 괜찮았지만 굳이 또 먹고싶진 않음 ㅎㅎ 한 번 경험으로 만족. 역시 볶음밥은 오리지널 아니면 날치알이 최고인듯,3.7
5,조금 매운편이었구 양이 적었어요ㅜㅜ,4.1
6,웨이팅있어요떡볶이 좀매운데 맛있어요버갈튀 꼭먹어야함,3.7
7,버터 치즈 감튀 진짜 맛있습니다,4.1
8,맛있었어요,4.6
9,즉석떡볶이 맛있는데 많이 매웠어요,3.8
10, 감자튀김 맛있어요,3.7
11,최고,3.7
12,맛있어요 역시 하지만 대기가 길어서 테이블링으로 예약안하면 걍 못먹는다고 보면될듯,4.1
13,맛있긴 하나 웨이팅까지 할 필요는 없을 듯이것만 먹으러 오기엔 시간이 아까움.,4.1
14,맛있고 친절해요~11시반쯤 갔을땐 웨이팅 없었는데 1시쯤 되니 웨이팅 엄청 길어요,4.1
15,그만 좀 오세요. 웨이팅 길어서 나 먹기도 힘들단 말이에요🥲,4.7
16,맛있다 친절하시다 깔끔하다 또 볼 거임,4.3
17,또보겠지 대존맛 ㅜㅜ서빙직원분 진짜 일을 똑부러지게 하시는게 멋져용,3.8
18,존맛탱 떡볶이 맛집버터갈릭감자튀김은 꼭 드세요!근데 대기가 긴데도 불구하고 이 더운날 대기공간에 에어컨이 없어서 1시간 찜질하면서 기다려야했음..ㅜㅠ여름엔 주의하시길,3.5
19,감자튀김이랑 같이 먹으면 진짜 맛있어요,3.8
20,모든 메뉴가 맛있어요♡ 날치알볶음밥,4.9
21,직원분들 친절하시고 떡볶이랑 감튀도 엄청 맛있어요,3.9
22,떡이 쫄깃하고 소스가 너무 맛있어요... 그리고 볶음밥 최근에 먹어본 볶음밥 중 1등! ㅠㅠ 강남에서 쾌적하고 맛있는 즉떡집 발견해서 너무 좋아요!!!!!,3.3
23,즉석떡복이 집은 처음이였는데 맛잇엇어요 남자 두리가서 체크무늬 앞치마 두르고 먹었는데 저희만 남자 두명이더라구요. 남자 두리서는 가지마세요,4.1
24,평일 저녁에 갔었는데사람이 진짜 바글바글했음에도 불구하고직원분들이 시종일관 친절하셨어요특히 미노이닮으신 직원분이요!,2.7
25,알바인성.....문제있음,1.9
26,평일에 12시정도되면 기다렸다 먹을수도있어요다른지점이랑 차이 크게는 못느꼈고 감튀 훌륭합니다 소스를 더 많이주시면 좋을듯!,4.2
27,나의 떡볶이 인생은 또떡을 먹기 전과 후로 나뉜다,4.4
28,합정에서 먹다가 직장 점심시간에 갔는데 사람이 진짜 많았고 맛도 괜찮앗어요,4.3
29,맛있게 맵다라는 표현이 가장 잘어울리는 집인거같음 지금까지 먹어본 즉떡중에 제일 맛있었음,4.7
30,진짜 맛있어요!! 깻잎 못 먹는데 또떡은 깻잎향이 진짜 최고입니다.. 싹싹 긁어서 다 먹었어요 직원 분들도 너무 친절하시고 좋았습니다 ~~,3.9
31,맛있어요 최고,3.0
32,불친절 불친절하니 먹을맛 뚝,5.0
33,강남에 하나만 제발 내달라고 빌었는데거짓말처럼 뙇!!!!! 정말 너무 감사합니다맨날 홍대까지 가기 얼마나 힘들었는지 몰라요ㅠ강남에 생기면 가격도 오를거라 당연히 생각했는데 ㅋㅋㅋㅋ가격도 그대로 맛도 그대로 좋아용회사때려치고 이가게 하고싶을 정도로 웨이팅은 어마무시하지만..그래도 기다리고 먹어영..,3.1
34,제로콜라 냠냠굿,5.0
35,존맛임 청*다방보다 훨씬 맛있음ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅜㅜ,4.0
36,버터갈릭감자 존맛,2.6
37,강남에도 생겨서 너무 행복해요맛도 다른 지점이랑 똑같고직원분들도 다들 친절하셔요볶음밥 필수입니당진짜 찐존맛탱,3.5
38,즉떡의 최고봉 초심 잃지 않으면 또 볼듯 감튀 꼭 시키세요 꼭 떡볶이랑 같이 먹어야됨 단무지도 얇아서 좋아요,4.4
39,홍대 넘 멀었는데 강남 생겨서 넘 해피해피,3.1
40,진짜 정말 맛있습니다...ㅜㅜ 버터갈릭감자튀김이랑 같이 드셔보세요..ㅜㅜ 입에서 말이 안나와요,3.3
