0,바로 맞은편 건물 5층으로 이전하면서 간판이 잘 안보이는데 공간이 훨씬더 고급스럽고 우와해 졌다. 잘 엄선된 코스요리를 정성것 서빙한다. 음식도 가격도 꽤 좋은 편이다.,5.0
1,음식다먹고 커피마시는데 쉐프님께서 직접오셔서 인사도해주시고 음식에 관해서 물어봐주셔서 몬가 귀한손님이된느낌들었어요,4.0
2,"조미료 사용을 최대한 절제한듯, 맛있어요",3.0
3,다소 클래식하고 구성도 다소 단조로울수있지만 에오만의 느낌인거같아서 괜찮아요,5.0
4,A코스와 B코스가 나뉘는데 B코스가 좀더 좋은재료를 사용하는거래요^^,4.0
5,조용하고 차분하면 정적인 분위기의 공간,5.0
6,음식의 퀄리티에비해 다른가게보다는 가격이 비교적 저렴?한편에 속해요~~,3.0
7,가격대가 싼편은아니지만 그만큼 맛도있어서 가끔 분위기 내고플때 가면 좋을듯 싶어요,4.0
8,치즈도 맛있고 새우파스타랑 안심스테이크 맛있어요ㅎㅎ 후식도 마카롱도 좋아요ㅎㅎ,3.0
9,파스타는 양을 대와 소로 주문을받아요,3.0
10,정갈하고 깔끔하면서도 적당한 양으로 편안한 코스요리가 특징이에용,3.0
11,나올때 셰프님이 직접 배웅을하고 선물을주셔서 마지막까지 좋은기억으로 남게되요 ㅎ_ㅎ,4.0
12,조용한 분위기에서 식사를 하시고싶으실때 친절한 서비스로 대접받는 느낌을 받고싶으실때 추천,4.0
13,공간이 프라이빗으로 되어잇기때문에 다른손님들 방해없이 조용히 식사를하실수있어요 :),5.0
14,한우 안심구이 평타이상인듯 여자친구가 여기 너무좋아함,3.0
15,새우파스타랑 전복구이먹었어요 맛있어맛있어ㅋ,3.0
16,"해산물스프부터카르파치오,아구찜,파스타,스테이크,디저트2까지 45000원 최고",4.0
17,깔끔한 플레이팅과 직원들의 조용한 서비스가 식사내내 아주편안했어요 ㅋㅋㅋㅋㅋ,4.0
18,그날그날 메뉴가달라요 예약을하면 하루전 전화와서 코스중 어떤걸 택할지 묻고 가리는식재료있는지도 물어봅니다 ㅋ,3.0
19,하나하나 맛있는 코스요리를 드시고싶고 프라이빗한 느낌을 원하실때가세요,5.0
20,그날그날 신선한 재료로만드는 창의적인 이탈리안 요리를 맛볼수잇는 부띠크 다이닝으로 유명,5.0
21,런치코스 매우 알차고 훌륭했었던 기억. 또 가고 싶네요!,5.0
22,서비스가 고객을 최대한 편안하게 해주시면서 신경많이 써주셔서 좋았어요ㅎㅎ 음식도맛있어요,3.0
23,플레이팅도 너무 고급스럽고 맛있어요ㅎㅎ,4.0
24,몇몇요리들 빼고는 가격대비 최고에요!,5.0
25,연어도 마싯고 와인에 파스타도맛있었음,3.0
26,분위기너무좋아서 남자진구랑 잘 먹고왔습니다^^,5.0
27,푸아그라 맛있음,3.0
28,덩어리로 나오는 에피타이저 치즈 너무 조아용ㅎㅎ,5.0
29,남자친구랑 기념일이라서 코스로 먹었는데 음식 다 만족! 간도 정말 적절하고 최고에요,3.0
30,야외정원 너무이뻐용ㅎ,3.0
31,테이블이 적어서 예약을 미리미리 해야해요,3.0
32,오랫만에 리스토란테 에오에서 명절 전야 모임! 모두 행복한 설 명절 연휴 되세요!!,4.0
33,로컬 레스토랑 중 완벽한 서비스를 자랑하는 곳이다 100%예약제로 운영되는 곳으로 어쉐프의.재료 본연의 맛을 잘 살리는 요리가 나온다 간이 약하기 때문에 센맛을 좋아하시는분이기는 호불호가 갈리는 곳,4.0
34,추천할만한거 같구요,4.0
35,먹고싶을만 하네.,3.0
36,이곳 메인홀에는 *조상근* 작가의 멋진 작품이 있습니다 ♡,3.5
37,사전예약 필수. 원하는 자리를 위해선 일주일전,3.5
38,어윤권 쉐프의 창작성이 돋보이는 요리를 맛볼 수 있으며 많은 사람들이 주저함없이 서울 최고의 이탈리아 레스토랑으로 꼽는다.,3.5
39,그냥 가볼만햇다,4.0
40,진짜 또 가고 싶은 것 같아요,4.0
41,괜찮은 것 같다,3.0
42,이탤리 음식의 정점~ 예약필수!!,4.0
43,정갈하고 세련된 음식들,4.0
44,좋았던 편이네요,3.0
45,진짜 괜찮아요,4.0
46,Good food,4.0
47,입안 가득 도는 행복,4.0
48,"점심코스 아주 훌륭합니다. 33,000원.",3.5
49,여긴 정말 강추입니다.!,4.0
50,배가 불러도 멈출 수 없는 맛…,4.0
51,괜춘하다능?,4.0
