0,맛있어요,4.5
1,너무 맛있어요,5.0
2,한마디로 맛있네여. 한식 퓨전식인데 절묘하게 맛이 어우러집니다. 미슐랭 1스타에 걸맞는 실력이네요. 다만 발렛주차장소가 떨어져 있어 미리 잘 확인하고 가세여~~,5.0
3,눈도 즐거웠고 맛도 훌륭했습니다.,5.0
4,높은 기대치를 충족해 줬어요. 아주 만족,4.0
5,강민구 셰프는 최고입니다.,5.0
6,아주 괜찮았어요. 추천합니다.,5.0
7,한식만이 가지고 있는 독특한 발효음식인 장류를 과감하게 서구음식에 적용했다. 그런데 그 맛이 특이하거나 이상하지 않고 조화를 이루어 내며 미각의 풍미를 자극한다. 서울사람이라면 꼭 한번 먹어봐야 하는 집이다.,5.0
8,발효 문화를 가미한 퓨전 레스토랑 이런 시도를 할수 있다는건 분명 천재 세프라 생각됩니다 안어울릴것 같은 조합이 아주 잘 어울립니다  꼭 한번 드셔보세요 ㅎ  대한민국 최고입니다,5.0
9,한국의 독특한 발효 문화를 가미한 퓨전 레스토랑 대한민국 최고입니다,5.0
10,대체적으로 보통이다 한식과 양식을 섞어 놓은건 알겠는데 이것도 아니고 저것도 아닌 맛? 다음 코스요리가 기대되지 않는 맛이었다. 유명한 장트리오는 너무 짰고 아뮤즈도 맛있다는 아니고 먹을만하네 정도..  호불호가 갈리는 밍글스이다.,3.0
11,음식이 나오자마자 저절로 탄성을 지르게되는 비쥬얼! 음식이 아니라 작품이나와요 +_+,3.0
12,재료를 새로운 시각으로 볼수있게 해준식사를 먹었네요,4.0
13,재료도 신선하고 간도 알맞고 무엇보다 눈이 참 즐거워지는 식사였습니다.,4.0
14,실내분위기 편안하고좋습니다 테이블은 대여섯개정도있어서 예약하고가셔야되요 ㅎㅎ,3.0
15,깔끔하고 건강한 한식레스토랑이고 메뉴는 계절마다 바뀌는듯해요 ^^,5.0
16,외식을 즐겨하지 않는 엄마의 마음속에 쏙들정도로 음식간도 알맞고 괜찮아요 ㅎ,5.0
17,한국사람의 입맛이든 외국인의 입맛이든 둘다 사로잡을수 있을거라고 생각이들어요 *O*,5.0
18,식혜가 달걀안에들어가있어서 특이하기도하고 알던식혜맛과 다르게 오미자가 들어있어그런가 상큼하고 처음부터 끝까지 특이,5.0
19,눈으로 한번먹고ㅎㅎ 입으로 또먹고ㅎㅎ 너무이쁘고맛있는 퓨전한식집이네용,3.0
20,서로다른것끼리 조화롭게 어우러진다는 밍글스의 뜻처럼 퓨전 한식의 신세계를 맛볼수잇는곳이에요 ><,5.0
21,음식 하나하나 좋았으나 한식은 한상차려놓고 먹어야 제맛이라는 통념상 조금조금 코스별로 나오는 음식이 좀 아쉬운듯 감질남~!,4.0
22,메뉴구성에 따라 추가요금이 붙는형식 ㅎㅎㅎㅎ,5.0
23,재기넘치는 아이디어와 직관적이고 풍성한 맛의 다양한 조화를 보여줘요 안드셔보셨으면 빨리예약해서 경험해보길 ㅋㅋㅋㅋ,3.0
24,메뉴판에 코스하나만 뙇! ㅋㅋㅋㅋ,3.0
25,신선한 메뉴구성은 무척 매력적이지만 코스는 처음부터 끝가지 만족스러워야한다는 관점에서 보자면 몇개요리는 그저그래서 좀 아쉽…  ㅋ_ㅋ,3.0
26,디너코스로 먹었는데 다먹는데 두시간반정도 걸렸어요ㅋㅋㅋ,4.0
27,분명히 한식요리인데 서양식처럼 플레이팅해서 예쁘게 나오니까 신기했어요ㅎㅎ,3.0
28,먹물&파래장 소스에 성게 굴 제철해산물이 올라간 카펠리니 파스타!!!! 존맛 먹고또먹고싶었음ㅠㅠ,3.0
29,화이트와인에 고급스러운한식을 먹으니까 너무 맛있어용ㅎ,5.0
30,평일런치였는데 2주전에 겨우 예약을할수있었어요 예약할때마다 풀북.. ^ㅡ^,4.0
31,숯불한우안심 먹었는데 송로버섯도 맛있고 고기가 살살녹아요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4.0
32,식재료에대한 이해와 해석에 아이디어와 재치가 놀랄정도로 참친 !!!!,3.0
33,한입요리들도 맛있었고 추가주문한 성게알 오징어먹물 파스타 맛있었어요,3.0
34,도자기들도 이쁘고 음식도 좋아요,3.0
35,시즌별 메뉴도 있어요 총 4번 메뉴가 바뀜 한우 전복장 비빔밥 짱맛있어요,4.0
36,돈을 많이 벌어야겠어요 너무 맛있는데 자주 올 수는 없어 오첩반상 제일 추천 ㅠㅠㅠㅠㅠ,5.0
37,폐스츄리칩 푸아그라가 마싰어요ㅎ 양고기도 맛있고 전통주도 좋았어요,5.0
38,요즘 핫하다고 하는 밍글스!! 분위기 좋아요,5.0
39,런치로 가서 코스로 먹었어요,3.0
40,음식이 나오는데 작품처럼 예쁘게 나와요!! 먹을수가없는데ㅠㅠ 너무마시씀,5.0
41,요즘 핫 플레이스라는데,4.0
42,다양한 시도와 다채로운 요리들에 런치가 한가지 코스밖에 없음에도 두번 세번 방문하고 싶게 만드는곳. 쉐프의 연구가 눈에 보인다!,5.0
43,쉐프님의 정성이 음식마다 다보여서좋아요. 런치가 35000원이면 저렴한편인데도 꽤 훌륭하답니다~,5.0
44,조금만 다듬으면 최고의 레스토랑이 될것같음! 오픈한지 얼마 안되어서 약간 아쉬운부분들이있지만 음식이나 아이디어가 너무 훌륭하다!,5.0
45,여기 디저트도 정말 맛있어요ㅎㅎㅎ 계란에 식혜가 들어가있어요 신박ㅋㅋ,5.0
46,해산물들이 되게 신선하고 고기도 정말 맛있네용><,4.0
47,코스가 에피-메인-디저트로 나뉘는데 기본가격에서 선택메뉴에 따라 플러스됨 췟,5.0
48,엄청난 맛은 아니지만 꽤 괜찮음,4.0
49,진짜 맘에 들음,4.0
50,디너  추천할만한 것 같구요,4.0
51,맛나겠어요,3.0
52,먹을만 했습니다.,4.0
