0,수요미식회에 나와서 더 유명해진 곳이다. 이동네 알만한 사람은 다 아는 곳이다.,5.0
1,생각보다 양이 작지만… 곱이 가득차고 쫄깃하고 고소합니다,5.0
2,다른 곱창집에 비해 깔리는 반찬이 좀더 맛깔진편이라 곱창이 더술술들어가는듯한….,4.0
3,비교적 합리적인 가격으로 꽤 괜찮은 수준의 곱창을 즐길수있는곳,3.0
4,곱이 꽉차 있는 곱창과 양이 정말 맛있어요. 테이블 8개 밖에 없어서 장소가 협소 한 편입니다. 지드레곤과 키코 열애설이 번진 곳이기도 합니다.,5.0
5,기름이 빨아들이는 식빵이 곳곳에있어서 태우지않고 바삭하게먹을수있음!!,5.0
6,"깔끔하게 손질된 곱창에다가 초벌까지해주니, 먹을때까지 기다리는 시간이 짧아서 굿!",4.0
7,양이 그리 많지는 않지만 일단 씹어보면 기름이 적당히 빠진 담백한 곱을 느낄수 있기에 그맛을 잊을수가없어요~!,3.0
8,맛은있는데 양이 다른집보다 작으니 참고하세요~,4.0
9,엄청배고플때보다 2차정도로 오면 경제적일거같아요,4.0
10,노릇노릇 바싹 익혀진 곱창은 정말 하나도 질기지않고 곱도 가득해서 고소하고!!,3.0
11,지디와 키코 때문에 더 유명해지지 않았나요ㅋㅋㅋㅋ그런데 그전에도 유명했던 사실!!,3.0
12,고소한 기름냄새맡으며 소주한잔 걸치기 괜찮은집임다,3.0
13,"곱창같은건 어느정도 익혀져 나오기떄문에, 구우면서 기름튀는일이 적어요",4.0
14,바쁜와중에도 이모님들이 친절하세요 직접 곱창도손질해주시고 ㅎㅎ,4.0
15,무르지도 질기지도않고 적당히 쫄깃한 식감과 고소한맛 역시 곱창은 맛있네요,5.0
16,비교적 나쁘지않는 금액으로 괜찮은수준의 곱창맛을 느낄수있는곳~!,4.0
17,항상대기를 해야하는 번거로움이 있지만 항상 맛있는 곱창을 즐길수있어요,5.0
18,곱이 엄청나게많아서 씹을수록 곱이팡팡터져요!!!! 양도 쫄깃하면서 입에살살녹음!,4.0
19,제대로 익은 김치맛이 곱창 기름의 느끼함을 싹 잡아주는 듯한,4.0
20,매장이 청담위치해 있는것 치곤 허름하게느껴져요~! 국내산 소고기 곱창인데도 저렴하고 맛도좋아요,3.0
21,하얀 국물의 청국장이 인기~!! 하얀건 처음 먹어봤는데 곱창만큼 맛있었따 ㅋㅋ,4.0
22,곱이가득가득하다못해 넘쳐흐를듯해서 상추겉절이랑 함께 먹으면 꿀맛 =v=,3.0
23,곱이 가득해서 너무 맛있는 곱창! 진짜 고소했어요! 확실히 곱창이 신선하더라구요,4.0
24,블루리본이 있는 맛집으로 선정된 곳! 곱창집에 붙어있는거보니 신선했어욬ㅋㅋㅋㅋㅋ,3.0
25,청담동 주민들에게 오랫동안 사랑 받는 곱창집입니다.,5.0
26,곱창전골이 걸죽하지 않고 매운탕처럼 맑으면서도 칼칼한 것이 특징입니다. 곱창 먹고 밥비벼먹으면 예술,5.0
27,적당히 쫄깃쫄깃한 식감과 곱이 한가득 들어있어서 아주 고소한 맛. 염통까지 곁들여서 나온다~,5.0
28,곁들이반찬인 무채와 상추겉절이가 곱창이 느끼하다고 느껴질때쯤 개운하게 입안을 정리하기 좋네요 ㅋㅋㅋ,3.0
29,양과 염통과 곱창의 조화는 항상 옳다. 염통-곱창-양 순서대로 먹으면 굳~!!,5.0
30,일찍 갔는데도 좀 기다렸네요..ㅋㅋ 양이 적은듯 해서 엥? 했는데 곱창맛이 찐하구 배불러서 괜찮았어요ㅎㅎ,3.0
31,여기가 바로 GD와 키코가 사진찍힌 집 ㅋㅋㅋ 연예인들도 아는 곱창 맛집!,3.0
32,넘맛있어서 밥까지 휘리릭볶아먹었어요!! 허리띠풀르고 계쏙먹음!!,3.0
33,곱창을 초벌해서 주는데도 제법 빨리나오는편~ 손질이잘되어있으니 끝맛이 씁쓸하지도않고 담백해요!!,5.0
34,대체적으로 음식양도 적당하니 좋네요~ 곱창크기는 크진않지만 빈틈없이 꽉꽉채워진 곱이 맘에들어요!,5.0
35,주방에서 미리 초벌구이가 되서 나온다고 해용~참고하시길,4.0
36,갓김치맛이 환상적임!!! 별도로 주문가능한 청국장이랑 짱잘어울림!!,4.0
37,질기지도않고 무르지도않고 적당한 식감에 고소하고 기름도 적당히 잘제거되어서 느끼하지 않아요 ㅋㅋ,4.0
38,곱창이 조금 얇은 편? 인것 같았다 그래도 속이 꽉 차있어서 입에서 너무 고소했다~^^,4.0
39,고소하고 쫀득한 식감이 짱짱!! 양곱창 매니아인 친구도 인정한 맛집이에요!,3.0
40,적당히 들어있는 곱이 씹을때마다 고소한맛이 작살!!!,4.0
41,얼큰한 청국장과 함께 곱창과 염통을 흡입하고 볶음밥으로 마무리짓고옴 ㅋㅋ,5.0
42,곱창맛이 다거기서 거기라고 생각되기도하지만 이집 곱창은 고소하니 맛이괜찮아 :D,3.0
43,양곱창 모듬에는 염통과 미리 초벌된 곱창이 나온다! 추천~,3.0
44,"항상 대기줄에서 기다려야하는 번거로움은 있지만, 맛난곱창을 즐길수있어서 자주가는곳",3.0
45,"상추 샐러드에, 청양고추 들어간 절임등 느끼함을 잡아주는 반찬이 많았따!",4.0
46,양곱창 모듬과 함께 하얀 청국장과 비빔밥도 꼭 챙겨드시길!,4.0
47,곱창이 느끼하다~싶을때 시원한 무채로 한번 잡아주고^^ 맛있었따,5.0
48,진정 곱창 마니아들을 부르는 집! 길다란 곱창들이 잘려 나오는데 곱이 가득하다,3.0
49,안에 양이 꽉차있어서 고소한맛이 풍부하고 청국장을 먹었는데 너무 냄새가 과하거나 그러지 않아 맛있었어요,4.0
50,양곱창 진짜 입맛에 맞았음,3.0
51,정말 또 가고 싶음,3.0
52,곱창 그런대로 마음에 들었어요.,3.0
53,아이참 나는 그냥 그렇다,4.0
54,맛있는 편입니다.,4.0
55,맛도좋아요,3.0
56,특양 그럭저럭 훌륭했음,4.0
57,하… 이 집은 사랑입니다. 대박!,4.0
58,또 먹고 싶은 곱창^^ 청국장 너무 맛있답니다. 볶음밥은 so so 이니 곱창을 1인분 더 드시는게 좋을 수도 있어요-,4.0
59,아 먹고 싶다!,4.0
60,6시 이후 곱창전골을 먹으려면 곱창(구이)을 1인분이라도 먹어야 전골을 먹을 수 있음~ 이유는 비싼 임대료때문이러고,3.5
61,"곱창에 곱은 정말 빠방. 허나, 양이 너무 쪼끔.... 양파 감자도 초얇아.. 근데 청국장은 왕! 청국장 안 먹던 나도 맛남.",3.5
