0,차돌박이와 관자를구워서 갓김치싸먹는건 진대감이 최고봉이에욧!!!!!!! 홍어삼합이야기는 들어봤어도 차돌박이삼함은 안들어봣져?ㅋㅋㅋ진짜리얼 죽기전에먹어봐야하는음식하나로 강력추천해요!!,3.5
1,진대감은...사랑입니다?,5.0
2,삽합 맛있게 먹고 김이랑 날치알 올려먹는 볶음밥 꼭 먹어보셈~ㅋㅋ,3.0
3,레스토랑에서 먹어봤던 관자놀이를 원없이 먹었슴돸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,4.0
4,"최고급 차돌박이랑, 키조게 관자, 갓김치를 함께 싸서먹었다!! 각종 나물반찬도 맛있땅ㅋㅋ",5.0
5,2명이서 간다면 차돌삼합 2-3인분만 주문하고 다먹고나서 밥이나 국수 묵류를 먹는게 좋을듯해요,3.0
6,묵사발 삼합과 함께먹으니 너무 궁합잘맞더라구요 기름낀 느끼한 속도 달래고 시원하고!!!!,5.0
7,맛이 없을수가 없는 메뉴들로 가득한 맛집. 무얼 선택하든 실패가없는 곳,4.0
8,게속 술을 많이 시켜서긍가…. 사장님이 서비스로 묵사발두주셨어요 사장님최고~!,5.0
9,"고기에 관자도 맛있었지만 짱아찌, 곤드레나물, 곰취나물 등 나물 반찬들이 진짜 진짜 맛있었어요 ㅎㅎ",5.0
10,한우1++의 차돌박이에 키조개관자와 돌산 갓김치를 싸먹는 차돌삼합~,4.0
11,와 ㅋㅋㅋㅋㅋㅋ뭐라말해야할지모르겠음ㅋㅋㅋㅋㅋ그냥 한입넣는순간 감탄사나옴 ㅋㅋㅋㅋ,5.0
12,볶음밥에 날치알이 밥만큼들어가요 ㅋㅋㅋㅋ톡톡튀는게 더 맛있었음 >_<,4.0
13,차돌박이랑 관자랑 곤드레 같이 먹으면 진짜 환상..!,4.0
14,얇은 차돌밖이랑 잘 썰려져나오는 관자가 이쁘게 셋팅되어있다!,4.0
15,삼합이래서 홍어인줄알고 거부했는데 ㅠㅠ관자였어요… 안왔음 큰일날뻔했습니다…,3.0
16,차돌삼합뿐이 아니라 여기 음식들은 다 맛있는듯 하다! 특히 볶음밥은 꼭 먹어야함!,3.0
17,이미 맛집으로 소문난 진대감!!! 다른지점도있지만 이모님성격이좋으셔서 신사점이 젤좋아요!,4.0
18,고기로 너무 배채우지 마세요..날치알 볶음밥을 먹어야하니까요..ㅋㅋㅋㅋ,3.0
19,음식이 전체적으로 다 맛있는편이지만 차돌삼합 전문이니까 삼합을 중점적으로 공략하시길,4.0
20,"차돌삼합이란 차돌박이, 갓김치, 그리고 관자랍니다~진대감의 대표 메뉴!",5.0
21,입에넣으면 육즙이 나오는 차돌에 고소함과 쫄깃하게 씹히는 관자 그위로 짱아찌와 갓김치로 깔끔하게 마무리되는듯함 크으….,3.0
22,차돌삼합 고기맛도좋고 관자 그리고 위에올라간 재료조화가 좋고 맛있어요 ㅋㅋㅋ,3.0
23,서예붓글씨로 휘갈겨쓴 메뉴판도 이색적이네요 ㅎㅎ,4.0
