0,레몬케이크가 맛있어요. 다른 케이크도 여러개 먹어봤는데 레몬이 제일 맛있음,3.8
1,레몬치즈 맛있어요,5.0
2,블루베리가 생블루베리(냉동x)라서 놀랐고 👍저 옆에 뿌려진 가루가 솜사탕처럼 ? 뭔지 모르겠는데 분필조각처럼 생겨서 입에 넣으면 녹더라구요 생크림케이크랑 같이 먹으면 식감이 생겨 맛있었어요. 같이 나온 마카롱은 그냥 그랬어요. 모양내는 정도?막 달지 않아서 좋았어요. ⭐->️중요아 생크림은 좀 느끼한거 인정요. 그래서 좀만 시원하게 먹었어도 괜찮았을듯…초코는 잘 안 먹는 편이라 잘 몰라요. 그래도 제 입맛엔 찐한 생초콜릿 같아서 괜찮았어요. 밀크티는 별개로 먹었으면 찐하고 괜찮은데 케이크에 비해 좀 믾이 달아서 아쉬웠어요. 케이크엔 아메리카노나 차를 같이 먹으면 좋을 것 같아요.,3.3
3,난 존맛임,3.7
4,감성은 비싸네요….. 맛있는데 좀 느끼.. 같이 올려주는 마카롱은 싸구려.. 한번쯤 가볼만은 한 것 같아요.,3.2
5,가성비 별로 맛도 별로그램수로 모자라니 부스러기주는데 기분이 별로임,3.0
6,케익을 그람(gram)으로 판매하는 곳. 맛도 괜찮음😜,4.6
7,맛이 가격에 비해 너무 무난한 편이지만 아이디어는 좋음. 사람이 많아서 웨이팅 심하고 서비스도 별로였어요.,3.7
8,사람이 너무많아요 카페아니고 시장통임,4.5
9,맛있긴한데 가격 생각하면 가성비 너무 별로 그리고 몇시에가도 시장통같음,3.2
10,맛은 무난하고 너무 어수선함인스타용 카페,3.6
11,너무별로에요 재방문의사가없음…. 핫플카페특,3.9
12,초코케이크 사이즈 작은데 만원 가까이 되요..맛이라도 특별하면 괜찮은데 그냥 투썸케이크랑 별 차이가.. ㅠ ㅋㅋ카페는 깔끔하고 직원분들도 친절합니당테이블 마다 가방 둘 곳 있어서 좋음,3.9
13,그램으로 케이크를 파는 특이한 집100g이 최소맛도 괜찮음브라이트 아메리카노는 신맛이 굉장하니 주문시 참도하세요!,3.7
14,역시 힙한 카페답네요!!,3.3
15,책상이 너무 낮은 곳만 자리가 남아서 어쩔 수 없이 앉았는데 진짜 이렇게 낮은 책상 처음 봐요... 강제로 쩍벌 하고 문신가오충 쭈그린 자세로 앉아서 먹어야 함 ㅠ 차라리 좌식으로 앉는 게 테이블이랑 높이가 맞을 정도...... 케이크랑 커피는 정말 맛있었어요,2.9
16,맛은 좋은데 사람이 해도해도 너무 많아요. 갈때마다 자리 꽉차있고 돌아가고 자리전쟁 했어요. 앞에서 애정행각 엄청 하는 커플이랑 거의 마주보고 앉았네요. 자리도 편하지는 않았어요. 친절은 보통.. 워낙 바쁘니까 이해가요,5.0
17,라떼 물맛 안나서  맛있고 원두 고를슈 있음  케이크도 적당히 달고 맛있늠눈앞에서 만들어 주는게 신기한 시스템 !!,4.5
18,블루베리 케잌 맛있습니당카카오밀크티는 그닥..!,4.1
19,맛있음~~ 무엇보다 예쁨!블루베리가 훨씬 더 맛있음!케익 맛은 촉촉할거로 예상했으나 그냥 멀쩡한 케익 으깨놓은 별 다를거없는 맛커피 안셔서 좋음나머지 케익도 되면 먹어볼 예정,3.6
20,케익도 적당히 달달해서 맛있네요 분위기도 좋아용,3.9
21,강추,3.8
22,블루베리 케이크 넘무 맛있어요..... 커피도 굿평일 3시쯤 방문했는데도 사람 많았어요또 방문하고싶어용,3.2
23,블루베리 케이크 맛있어요입에 넣으면 부드러워서 사르르 녹고,3.2
24,블루베리랑 밑에 있는 마카롱 부스러기?랑 같이 먹었을 때 최고체고,3.6
27, b추가로 레몬크림치즈도 시켰는데 이건 좀 꾸덕하고 상큼한 느낌이라 개인적으로 블루베리가 더 맛있었고 커피는 그냥 그랬어요 맛없진 않고 강남 카페에서  마실 수 있는 평균적인 맛/토요일 저녁 쯤 오면 자리 구하기 힘들어요매장 분위기도 좀 어두운데 약한 조명으로 밝히는 느낌이고,4.3
28, 사람 너무 많아서 정신 없어요귀 울리고 어지럽지만 케이크 존맛...한번쯤 다시 방문할 것 같네요딱 한번 정도,3.3
29,시끄럽고 점원 불친절해요,2.0
30,카페는 괜찮은데 사람 많아서 그런지 너무 시끄럽고 직원들이 불많이 너무 많음카페 인테리어 구경하는데 갑자기 줄좀 똑바로 서라고 뭐라하고 주문 빨리 하라고 눈치주고 줄 서있을때 사진 찍는다고 뭐라하고 남자 여자 알바 그냥 다 서비스 정신이 없음비싸고 시끄럽고 불쾌함,4.6
31,케이크 부드럽고 맛있어요!!! 하지만 밀크티는 조금 아쉬웠어요.. ㅜㅜ 자몽에이드는 맛있다고 합니다,3.9
32,진짜 시끄러움... 케이크는 돈값못함,4.8
33,레몬맛 티라미수 너무 맛있어요모든맛 다 먹어봤는데 레몬,3.9
34, 초코 취저요🐷포장해도 좋고 가서 먹어도 좋습니다!저번에 포장할때 업ㅈ버버버 했는데 잘 대응해주셔서 감사했어요..🥹,3.7
35,<22년 1월 방문> 아인슈페너 정말.. 맛이 없어요 케잌은 컨셉에 충실한.. 그정도 카페 자리가 없다고 지하 식당으로 안내해주셨는데 저희가 직접 찾아가야 해서 조금 헤맸고 커피 마시러 왔는데 식당에서 고기 냄새가 많이 나서 힘들었어요,2.0
36,그냥 강남의 한 카페.강남역에서 멀면서도 가까움.,3.9
37,진짜 시장통 그 자체..,3.9
38,너무 시장통이었어요 카페 분위기는 모던하고 괜찮은데… 그리고 음료가 너무 맛이 별로임 ㅠㅠ 케이크는 그냥 저냥.. 그러나 전반적으로 너무 비쌉니다,3.8
39,총 세번인가 방문함. 케이크 입맛 까다롭고 크게 좋아하지도 않는데 여기 케이크는 매번 접시 싹싹 긁어 먹음. 크림이 특이한데 단단하게 휩하지 않고 묽음. 그램 단위로 떠서 주는 케이크라 가능한 크림 농도인데 이게 참 좋음. 단점이라면 음료가 그저그런 편인데 양도 적고 비쌈. 그리고 항상 사람이 많고 테이블이 사용자를 배려하지 않은 디자인이다. 케이크 하나 보고 가는 곳.,3.2
40,케이크는 맛있어요ㅡ 케이크만. 그람으로 돈 받는게 약간 낯선 시스템입니다만,4.6
