0,워낙 인기가 많아서 예약 안하고 가면 그날은 식사를 거의 못한다고보면 된다길래 저희 어머니 생신 한달전부터 미리 예약해놓고 다녀왔어요. 음식들이 전체적으로 재료 고유 맛들이 강하게 느껴지면서 본연의 식감이 살아있는게 고급진 맛이었네요. 특히 베이징 덕이랑 같이나온 전병이 잘 어울려서 맛있었어요.,3.5
1,진짜 좋아하는 중국집 '-' 기본 짜장면부터 오리요리까지 다 맛있어요 압구정에도 생긴뒤로 더 자주갑니다,4.0
2,마지막에 나온 요거트아이스크림이 기름진걸 싸악~ 시원하니 맛있었어요오~~!,5.0
3,상견례장소로도 괜찮을거같다 그냥 식사를하러 오기엔 가격이 쎈편이다.,3.0
4,분위기도좋고 음식맛도 깔끔해 자주들리고 싶은집 ㅎ_ㅎ,4.0
5,와인도 같이 팔고있어 식사와함께 와인한잔곁들어 먹는거 좋아하시는 분들도 오면 좋을듯 ㅎㅎ,5.0
6,베이징덕먹으러면 하루전에 예약은필수 잘구워진오리를 그자리에서 해체작업 해주시고 바로  자리로 올려줌,3.0
7,베이징덕에 싸먹는 밀전병 이게 신의한수인듯 싸먹으면 아주그냥~ 궁합이 딱!!,4.0
8,자스민차를 처음부터 끝까지 따뜻하게 먹을수있어서 좋았어여~ 향이아주 끝내줘여~~,5.0
9,런치메뉴 가격이 2종류이니 그때가서 먹는게 저렴하게 드실수있으세요~!!!,3.0
10,편하게 와인마시기도 좋고 음식맛도 괜찮아 좋네요~,3.0
11,베이징덕에 싸먹는 밀전병이 얇은데 쫄깃한탄력이좋아서 잘찢어지지도않고 베이징덕 맛집된데에는 밀전병이 한몫한듯싶어요 ㅋㅋㅋㅋ,3.0
12,"밀전병에 베이징덕의 바삭한껍질과 부드러운 살코기,파,오이를넣고 싸서한입먹으면 베이징에온듯한 기분이듭니당 ^^",3.0
13,중식 오픈키친~ 청결걱정은 노노 쉬는타임마다 청소하신다네요 굳~,4.0
14,메뉴판의 글씨가 너무 작고흐려서 읽는데 답답했어요… 메뉴판글씨를 키우거나 진하게 만드는게 어떨가싶네요… 흠…,3.0
15,코스메뉴를 먹는데 음식이 너무 빨리나와서 코스메뉴를 먹는 의미를 모르겠더라구요 서비스부분에서 좀 아쉬웠네요 =_=,3.0
16,각종 단품음식들이 여러종류로 잘준비되어 있었어욧 !!!!!,5.0
17,뉴욕식중식요리를 지향하는 곳인만큼 맛이 자극적이지 않기때문에 전반적으로 중국집치곤 굉장히 순하게 맛있는 맛이였어요오 그래서 좀더좋았네요오,3.0
18,보통중식당에서 다량사용하고있는 첨가물을 줄이고 기름을 최대한 사용하지않는 깔금한 조리법으로 재료 자체의맛을 최대치로 끌어올리는 세련된중식맛집,5.0
19,모임하기 참 좋은분위기. 고급스럽고 시끄럽지않음 ㅋ,3.0
20,요긴 탕수육이 다른식당과다르게 동글동글하게 튀겨져서 나와요 그래도 튀김옷이 바삭바삭하니 맛있었어요~~~~,5.0
21,단품가격이 장난아니네요.. 런치세트메뉴가격은 그에비해 싼가격이에요~,4.0
22,다듬어주시는건 분명한마리였는데 양은 한반마리? 콩알만하게나와요 껍질바삭함도아쉽!,5.0
23,짬뽕국물이.. 국물이.. ㅋㅋ 베이징덕에 유명해졌지만 꼭 그거하나만은 아닌거같다 ㅋㅋ,4.0
24,오리를 별로안좋아하는데 요기 오리는 짱~ 미리예약해야해요!!!,5.0
25,면요리가 전부도삭면으로나오는데 개인적으로 수타보다 도삭면이 훨씬맛있어서 면요리는 전부다 마음에들었어요 ㅎㅎㅎㅎ,3.0
26,탕수육 튀김옷은 바삭하니 맛있는데 고기가 너무작아서 아쉬웠어요 ㅜㅜ,3.0
27,주문한요리마다 맛없는 메뉴가없었어요 완전성공적 모임하기도 너무좋을거같고 음식이 다맛있어서 개인적으로도 찾아가서 먹게될거같아요 호호홍,4.0
28,테이블간격은 좁은편이지만 편안한 소파자리도 있고 어느정도 독립되어 있어서 편안하게 식사하기 좋을거같아요 >_<,5.0
29,베이징덕이 생각나는 날이면 가끔가는곳이에요 고등학교 동창들이랑 가는데 참 좋아요^^,3.0
30,베이징덕 맛있네요 밀전병에 싸먹으니 가격에비해 자르고나면 얼마안되는 양같긴 하지만요~ ^^,3.0
31,양이 대체적으로 적은편이네요 면이 특이하고 식감이좋습니다,4.0
32,베이징덕은 미리미리 선주문을해야합니다 매일 한정수량만 준비되기때문에 예약을 해두지 않을경우 못먹을경우가 큽니다 ㅠ,3.0
33,분위기좋고 요리도 맛있어요ㅎㅎ,3.0
34,흔한 중식음식인데 좀더 특별한?거같아요~ 직원분들도 친절하구요~!!,4.0
35,와인에 중식요리먹는 맛은 최고입니다.,3.0
36,입구에 화덕위에 베이징덕들이 맛있게 구워지고있음ㅠㅠ,3.0
37,음식들이 정갈하고 깔끔하게 나와요 품위가 느껴지고 대접받는 느낌입니다.,4.0
