0,치킨 하나는 인정. 갓튀겨 먹으니 맛없을수 없음. 단 세련되고 근사한걸 기대해선 안됨.,4.5
1,옛날통닭스타일을 좋아하신다면 추천합니다! 찍어먹는 소스가 독특합니다!,4.7
2,맛있음. 가격대비도 좋음다만 위생이 걱정됨,2.0
3,▪︎위생 상태 : 개판(바닥은 지저분하고 수저에 이물질 잔뜩하며 튀김용기름은 몇번을 재사용하는지 시커멈)▪︎맛 : 굳이 이걸 먹을려고 양재역까지??(프랜차이즈 아닌 동네 오래된 통닭집보다 못함)▪︎서비스 : 사장이 닭을 많이 튀기더니 서비스마인드도 다튀김(니한테 안팔아도 다른호구들이 닭뜯으러 오니깐 내신경거슬리게하면 안팔꺼니 꺼지란 장사마인드)▪︎결론 : 서울3대치킨?? ㅋㅋ 지나가는 칠면조가 웃겠다. 여기서 닭사먹은거 인증하는 애들은 뭐다? 호구 오브 호구다!! 여기서 닭사먹을돈으로 유니세프에 기부해라. 끝.,1.0
4,사장님 돈많이버셨나봐요오늘저녁에 10명이서갔는데 사람들이북적대는상황도아니였고 통로만들고 테이블 붙이면된다해서 붙여서 앉고 분명 옆에 사람이 다닐수 있는 통로도 있었구요 테이블셋팅 했더니 사장님 다시와서는 내가아까뭐라했냐면서 통로안만들었다고 주문해서 나온 맥주 3천씨씨들고 당신들안받을거니까나가라고요? 종업원도 당황하던데  돈진짜많이버셨나봐요.오래된노포집이면 사장 기분대로 손님 내보내나봐요. 장사그런식으로계속하세요. 바닥 많이 더럽던데 청소좀 하세요.,1.0
5,왜 인기있는지 모르겠는 가게. 2017년 첫방문때는 싼맛에 많이 가기도 했는데 요즘은 주변에 이거 말고도 좋은 가게 널리고 널려서 굳이 갈 필요는 없을듯. 참 23시마감이라고 해놓고 21:55에 가니까 끝났다고 하더라 ㅋㅋ,1.0
6,닭 만 원,3.5
7, 생맥주 2천5백원 하던 시절에는 싼 맛에 올 만했는데 지금은 가격이 올라 딱히 가성비가 안 나오는 곳 같습니다. 쿰쿰한 90년대 상가 지하 모습 그대로라서 위생 신경 안 쓰시고 레트로한 분위기와 진짜 노출 콘크리트 천장을 좋아하시면 한 번쯤 가볼 만합니다. 맛은 염지가 안 되어 있어 밍밍하고 기름집니다.,4.8
8,다신 안갈 최악의 치킨집아무리 돗대기? 시장이라지만 위생 최악들어가자마자 무조건 기다리라는 응대 최악들어가자마자 바닥이 무슨 돌바닥치킨 1마리 나오는데 40분 걸리고 엄청 시끄럽그렇다고 치킨이 맛있냐?완전 노맛 맛 자체가 안남 소스도 별로그냥 싼가격에 양 많은게 전부,3.2
9,사장,2.4
10, 홀서빙 정말 친절하네요... 손님 응대도 없이 식당 안에서 기달렸더니 나가서 기다리라고 손님한테 윽박지르네요. 이 가게 분명 번창해서 대박날겁니다.... 꼭 방문하십시오..,1.6
11,염지가 안되서 느끼해요,3.8
12,지저분하지만 내 방보단 깨끗함ㅋ-하두 유명하다고해서 기대안하고 갔는데 꽤 만족함.-위생이 지저분하다는 평이 대부분이였는데,2.8
13, 지저분한건 대체적으로 사실인듯. 허나,4.0
