0,치즈가 주륵 흘러내리고 고소한 번이랑 고기랑 한 입 크게 먹으면 ..존맛,2.5
1,패티가 완전 도톰하니 육즙이 퐝..♥ 브루클린더버거조인트 보다? 더 맛난듯!,2.5
2,가볼만했던 것 같다,3.0
3,토스트   추천할만한거 같다,3.0
4,먹을만한 편이네요,3.0
5,정말 맛있는 것 같아요,3.0
6,토스트  맛있었던 편이에요,3.0
7,체리코크가 더 이상 들어오지 않는다고 하네요...,3.5
8,서초쪽에서 햄버거가 생각날때 가볼만한곳ㅋ,3.5
9,진짜 또 갈거에요,3.0
10,세트메뉴 감자를 베이컨 치즈 프라이로 업그레이드 하고 싶은데.. 안된다네요 추가금 내더라도 하고싶은데,3.5
11,베이컨 치즈프라이 맛있어요,3.5
12,버거 짱 두툼 +_+b 맛도조음 ㅋ,3.5
13,Monday휴무인데요,3.5
14,햄버거 먹을때 들고 먹을 케이스 종이 달라고 하면 줍니다!!,3.5
15,전화번호가 잘못 적혀있네요. 02-586-9200 입니다!!,3.5
16,메인메뉴인 길벗버거세트 강츄!!! 일욜엔 휴무래요,3.5
17,전프레지던트세트 강추요. 감자튀김은.정말 최고임!!!,3.5
18,솔까 좀 느끼.....,3.5
