0,여기 직원들 엄청 불친절하고 분리수거하는 알바생 직접 물어보니까 눈을 크게뜨면서 싸가지없게 대답하네 하..   다시 오고싶지않네,1.9
1,가지말라는데는 이유가 있다,2.3
2,가지 마시길 편의점 햄버거가 더 맛있고,4.8
3, 감자가 오래된건지 안익은건지 맛,4.0
4,식감 전부 이상했어요 버거킹 king등급인데.. 이렇게 맛없는 버거킹은 처음입니다,1.0
5,포장 주문했는데 감자튀김 빠지고 음료는 세갠데 빨대는 하나에요.지난번엔 버거하나 빠지고 빨대 하나도 없어서 난감한적이 있어서이번에 빨대 넣었냐고 묻기까지 했는데 하나 넣고 넣었다한거였나봐요.이미 주차장나와서 돌아갈 수도 없고 짜증나네요?주문이 중간에 취소되서 다시 넣고 한참 더 기다린것도 참았는데왜 이러는거죠?일일히 다 꺼내서 있나없나 확인해야하나봐요.포장 하시는분 매장 나가기전에 꼭 확인하세요.,1.0
6,매니저 불친절,1.0
7,직원들 불친절 맛도 그냥 그럼,3.1
8,감튀도 튀겨논지 오래된거 같고패티도 구워논지 오래된거 같다관리 안되는 매장확실히 좀 아쉽다,1.0
9,내가 인생에서 먹어 본 최악의 와퍼.,3.0
10,최악. 빵은말라서 만지는대로 부서지고 패티는 빵보다 작아 한참 빵만  씹었고 온기가 하나도 없는 뻑뻑하고 목막히는 최악의 버거. 응대도 불친절. 비싼 자릿값하는곳이니 주는대로 먹고 떨어지란느낌??..,2.1
11,청결하지 않음..+버거킹 많이는 안 가고 6곳정도 간거같은데 그중에서 가장 더러움,2.8
12,상상이상ㅋㅋㅋㅋ,2.8
13,몇번 먹어봤는데  버거 식어서  나오고.. 쓰레기 같아 진짜 돈이 아까워,3.3
14,음식 식어서 나오고 패티 푸석푸석하고 직원들 불친절함,1.4
15,아 사진찍었어야 했나....컵에 아이스크림 묻어있네요,1.0
16,너무 너무 더러운 곳이에요. 테이블도 화장실도 그렇고. 가지 마세요 그냥,1.9
17,입지상 매장은 항상 어수선하지만 오늘 먹은 올엑스트라 통새우와퍼가 야채양이 다른곳 올엑스트라의 2배는 되었기때문에 별점을 주기위해 들렀습니다. 제게 버거 만들어주신분 복받으세요.,3.6
18,서비스 엉망인 곳.아무리 바빠도 그렇지,4.4
19, 어떤게 내가 주문한 건지 몰라서 주문번호 적힌 영수증을 보여주니 그걸 가져가서 슥 보고 감자튀김 위에 영수증을 툭 던지고 말없이 뒤도는 모습에 기가 차네요; 불친절한 건 둘째 치고,2.3
20, 영수증을 어떻게 먹는 음식 위에 던지나요? 기분 더러워서 다시는 안갑니다.,3.2
21,배달이안와서전화하면수화기를내려놨는지계속통화중일뿐이고,3.4
22,바쁜건 알겠으나 말을 좀 이쁘게 하시면 좋겠습니다. 강남역 4번 출구 버거킹 왜 없앴는지 모르겠네요.,4.3
23,모기 왤케 마나,1.5
24,강남역 옆이라 엄청 바쁜듯.바쁜매장은 어딜가나 좀 어수선하고 깨끗하지.않음.음식은 빨리 나오는편. 그래서 그런지 소스? 등 재료 엄청 듬뿍.. 맵달짜 . 내 취향이여서 이건 굿. 불친절은 모르겠음. 청결상태와 테이블 배치만 다시 하면 좋을듯.,2.5
25,와우 진짜 패티에서 밀가루맛 나네 ㅋㅋㅋㅋㅋㅋ,4.2
26,400m 떨어진 다른 지점 버거킹으로 갈 것.,4.4
27,프랜차이즈 가게는 프랜차이즈 점포간의 비교로 별점을 매깁니다.역대 버거킹 중 가장 최악이었습니다...주문했던 와퍼의 소스가 빠져있고 빵과 패티가 축축했습니다...상당히 불쾌한 경험을 하고 갑니다.  0점을 못주는 시스템 때문에 1점으로 평가했습니다.,3.8
28,맘스터치가 350m맥도날드가 150m  롯데리아가 300mKFC가 200m다른 지점 버거킹 400m갈 데가 많습니다.,4.6
29,버거킹중에 가장 별로버거킹 좋아하는데,4.2
30, 여긴 빵도 태우고,1.6
31, 내용물 부실다신 안 감,4.2
32,진짜 별로입니다 오늘 여자친구랑 먹었는데 저도그렇고 여자친구도 그렇고 하루종일 배아프고 속 안좋네요... 햄버거도 언제만들었는지 차갑게 식은거 줍니다. 사장님인지 누군지는 모르겠는데 카운터에 계신 아줌마는  직원들한테 계속 소리지르고 짜증내고.... 진짜 별로,3.0
33,리뷰보고 다들 기분나빠서 쓴 뻥인줄 알았다 ㅎ이 곳은 진짜다버거킹에서 군대리아맛이남..^^비릿하고 빵밀가루내...빨리나오기는 엄청 빨리 나옴콰트로치즈인데 치즈의 짭짤고소한냄새맛?1도 안남ㅎ 시간 아낄라고 먹었는데괜히 먹었음ㅎ 김밥이나 사드세요여기오실 거면 저 위에도 버거킹 많아요조금만 걸어가세요!,3.4
34,평 나빠서 갈까말까했는데 괜찮아요주말낮에 왔는데 직원분도 친절하고 주문한 것도 제대로 나왔어요사람 적어서 대기도 짧..ㅋㅋ와이파이도 잘 돼용,3.2
35,솔직히 1점도 주고싶지않은곳 몬스터버거 시켰는데 내가 가봤던 매장들은 모두 소스가 흘러넘쳤는데 소스가 거의 없고 퍽퍽했음 롱치킨버거도 시켰었는데 이거는 거의 뭐 빵패티 뿐이였음 최악중에 최악의 버거킹매장이에요,3.6
36,시스템이 완전 개판임. 주문기기가 안되서 직접 주문하러 가면 주문 안 받고 주문 온것만 처리함. 기기로 주문한 사람은 주문한 거 나온 마당에도 주문도 안 받는다. 정말 가고 싶지 않은 곳이다.,1.3
