0,빵점없나요? 사람이 부족하면 뽑으세요 쫌,1.5
1,맛은 프렌차이즈니까 똑같음주문 실수 있어서 다시 받음There's a mistake in my order.마치 내가 주문을 잘못했다는 듯이 쳐다봄The staff looked at me as if I had made a wrong order.친절한 직원도 있지만 극소수임. 바쁘다고 불친절할 수 있다는건 이해안됨.There are friendly staff,1.0
2, but very few. I don't understand that being busy can be unfriendly.평점이 낮은건 이유가 있었다.There was a reason for the low rating.,1.0
3,21일 여직원분 손가락 욕때문에 당황스럽고 답답했어요 제가 청각장애때문에 못알아듣었고 매대 앞에 음식 알려주셨고 여자알바분(덩크 돌고래신발) 손가락욕때문에 장난처럼 같았어요 솔직히 많이 화가났어요,5.0
4,2월3일 10시20분쯤 있었던 남자직원분 손빠르고 친절해요카운터에 있던 사람들중에 이분만 인사해주셨어요,3.0
5,직권들이 말 잘 안 들어요. 15cm 사이즈 시켰는데 30cm 받았어요 ㅠ 야채도 잘 안 넣었어요. 기분이 많이 나빠졌어요.,1.0
6,점심 피크때 방문했는데 알바생이 혼자서 넘 힘들어보였어요.검정 유니폼 아줌마는 멀뚱멀뚱 서있고 사장님으로 보이는 할아버지(?)분께선 엄청 친절하셨습니다.,3.3
7,맛은 뭐 당연히 맛있는걸 넣었으니 맛있지만 양이 말도안되게 적어요. 다른 지점 1/3 정도? 서브웨이를 이렇게 하나도 안흘리고 깔끔하게 먹은건 처음이네요. 썸남 데리고 가면 우악스럽게 안먹고 깔끔하게 먹을 수 있어서 좋을듯. 불친절은 어플로 주문하고 픽업만 해서 모르겠고 양이 너무 적어서 다시는 안갈듯.,2.8
8,진짜 왠만하면 5점 남기는데 여기는 빡쳐서 1점 줘야겠습니다. 도대체 오븐 고장의 원인으로  야채를 굽지 말라는 건  왜 여기만 건가요..? 체인점이라면 모두가 그래야 하는 거 아닙니까? 아니 도대체 야채를 넣으면 고장나는 오븐이 세상에 어디있나요? 솔직하게 동선 꼬여서 불편하다고 말하면 이해를 하겠는데 어이가 없습니다 진심;;; 그리고 왜 매장 내에서 먹는다고 컵 뚜껑을 안주시는 건지.? 법이 그래서 그런 거라면 컵도 일회용 말고 매장 컵으로 주셔야죠..;;; 무튼 매우 기분이 나쁩니다. 고기도 적게 담아주고요. 서비스 제멋대로 할 거면 운영하지 마세요.,3.3
9,매장 청결도나 맛은 그럭저럭 괜찮은데 직원들이 다른 직원 꼽주는 모습 잘봤습니다^^ 내가 다 눈치보이고 불편해서 입맛 떨어짐,4.4
10,너무 불친절해요 거의 레전드급,3.4
11,계산해주시는 알바생이 너무 불친절해요~ 영수증을 던지듯이 주네요 표정도 너무 화가나있네요~,3.7
12,여성분 친절하세요!!,4.2
13,후기가 안좋은건 너무 바빠서 그런게 아닐까 싶습니다. 서비스 좋고 친절해요.,1.0
14,야채 많이 주세요 했는데 눈앞에서 양파 3조각 넣어주는거 실화..? 양이 어처구니없음,4.1
15,이렇게 최악인 곳은 또 처음... 양이 다른 지점에 비해 1/3밖에 안 돼요 여러 번 얘기했는데도 소스도 하나 안 넣어 주고 야채 양 진짜,5.0
18, 할말하않,4.3
21, 동네까지 가서 먹을 걸 그랬어요 ㅠㅠ 계산해 주시는 분만 좀 친절하신 것 같은데 진짜 그것 빼고는 최 악 악,3.6
22,매니저처럼 보이시는 분과 직원분들 태도가 너무 별로... 강남이라 매출 잘 나와서 고객관리 소홀한건지 모르겠지만,4.5
23, 이대로라면 사장님 피해만 심할 듯 합니다.직원들끼리 고객 흉보고,4.3
24, 궁시렁 거리고,3.5
25, 고객 반겨주지 않는 태도 교육 부탁드립니다.,4.5
26,신선해요.,1.0
27,요기요 주문했는데 여기는 배달업체 통해서 배달하기 때문에 배달 늦으면 늦는다는 표시도 없고 다시는 여기서 배달주문 안 하려구요.  다른 지점 쿠팡 치타배달(30분이내)할까 하다가 요기요 주로 이용해서 여기로 최소 45분 고려하고 한건데 비와서 손님 점심 접대로 주문했는데 예상시간보다 최소 20분 이상 늦어져서 식사시간이 너무 늦어지고 있어서 너무너무 난감한 상황이예요. 전화응대는 친절하게 해주셨지만 저는 너무 난감한 상황에 쳐해져서 아주 안 좋은 기억으로 남겨질 것 같아요.,4.2
28,악플이 상당히 많은데... 서브웨이 20군데 넘게 가본 경험으로 댓글 달아요. 서브웨이 바쁜 지점은 진짜 박터지게 바빠서,5.0
29, 직원들이 환한 미소를 짓진 않더라고요. 여기도 점심에 웨이팅이 문앞까지 있는거 같은데,4.3
30, 직원들이 친절하지도 불친절하지도 않습니다. 그냥 딱 주문 받고 할거 합니다.더럽다고 하는분들이 있었는데,4.5
31, 글쎄요... 회전율 빠른 것 치고 테이블 더럽거나 하진 않고,3.1
32, 오히려 분위기가 환해서 좋더라고요.진짜 안산 쪽 최악의 서브웨이 지점들을 안가봐서 모르시는 거에요. 진짜 소리지르고 야채 던지듯이 만드는곳도 있어요,4.6
33,직원 얼굴에 손님상대하기 굉장히 싫고 귀찮다 라고 얼굴과 말투에 써있음...우리동네 서브웨이 (서울대입구점) 생각하고 평소처럼 즐겁게 방문했다가 기분 나쁘게 나왔음.,4.2
34,야채가 너무적어요. 너무납작해요. 개선좀해주세요,4.1
35,서브웨이 좋은데.. 좀 환경이 지저분하고 정신없는느낌 ㅠ,3.3
36,매니저가 손님이랑 소리지르면서 싸우고있음; 대사듣고 드라마찍는줄.. 직원교육 안시키나 레알 리뷰에 직원얘기엄청많네ㅉㅉ,4.2
37,알바인지 직원인지 본인들끼리 떠드는 소리가 매장 전체 손님들보다 더 큼.. 주문 받는데도 옆에 직원이랑 떠들다가 받으니까 몇번이나 말해도 자꾸 잘못알아들음 손님이 아니라 본인들 떠드는 소리가 너무 시끄럽고 체할거같아서 후딱먹고 뛰쳐나옴 앞으로 안갈 것 ㅠ,3.4
38,아침 해장으로 뚝딱,1.0
42,저는 사람없을 때 가긴했는데 불친절하다는 느낌을 못받았습니다. 매장도 깔끔하고 맛있어요.,3.1
43,야채들이 신선했고 맛났어요~,5.0
44,손님한테 돼지라함ㅋㅋㅋ 물어보니까 베지시켜서 베지라고 말한거라네요~~ 참치시켰는데 진짜 레전드 ~ 가서 한입도 안먹고 기분 더러워서 버렸다니깐 아~ 몰랐어요 ~ 정말요? 어떡하죠? 대응 진짜 뭐지? 매니저도 없음 원래 매장에 매니저 없냐니까 원래 있는데 일찍 퇴근했다네요 뭐이리 책임감들이 없음?,2.2
45,혼밥하기 짱! 그리고 직원분들도 친절해요! 제가 갔을때 항상 바로바로 주문을 받았어요!,2.0
46,감사해용,3.9
47,맛 만 좋더라~,3.0
48,매장이 깔끔직원 친절두께는 다른데보다 약간 얇은것같다,3.0
49,밑에 리뷰들보고 엥 하고 리뷰씁니당6월 둘째주 정도 갔는데 야채가 쪼금 작다고는 느꼈는데 직원분들 바뀌셔서 그런지 대체적으로 친절한느낌?남자직원분 친절했어요웨지감자 나오자마자 주셨는데 이때까지 먹은 웨지감자 중에서 제일 맛있어써오..주방 직원분들은 많은데 홀 정리는 좀 덜 된 느낌...점심시간 좀 지나고 갔는데 테이블이랑 의자에 지지 묻어있고 쓰레기 바닥에 떨어져있는 건 좀...,1.3
50,오이랑 피클뺀 야채양 참고하세요 후기에 좋은 거 하나 있길래 기존 후기들 무시하고 갔는데 3번째 방문인 오늘 알바생이 쓴 후기라는 느낌을 쎄게 받았네요,4.5
51, 왜 안좋은 후기들이 넘쳐나는지 알 것 같아요,3.3
52,올때마다 느꼈지만 야채 양 적고요 ..소스도 적고 서브웨이가 맛없는건 처음이에요 .. 걍 맛없어요 야채 많이 달라했더니 주는척하다가 빼는건 무슨경우 ..? ㅋㅋㅋㅋㅋㅋ 사람 없는덴 이유가 있네요 ..^^ 빈약한 서브웨이 드시고 싶으신 분들이나 다이어트 하시는분들 가면 아주 좋을듯 합니다 ^^,3.7
53,맛이떠용,3.3
54,점장 있을 때랑 없을 때랑 직원 친절도가 다른 매장소스 말하기도 전에 혼자 잘못 넣어놓고 닦아드려요? 물어보는데 잘못들었나 싶었다. (안경 쓴 신입) 바빠서 그럴 수 있지라고 이해하는건 손님이 하는거지직원이 할 말은 아닌듯.,1.3
55,와진짜 이렇게 맛없는 서브웨이 첨봄...별점낮길래 설마설마했는데 딴데갈걸그랬어요불친절은 아닌데야채 너무 적게주고 소스도 적고바쁜건 알겠는데 진짜 맛없음 시간많은분들은 딴데가세요 너무 맛없어서 처음으로 리뷰 남겨봄;,1.7
56,진짜... ㅋㅋ 왜 이렇게 허접하냐웨지 진짜 한입도 안먹었는데 ㄹㅇ 찌끄레기 준것같은 느낌.. 다시 안가여,3.7
57,불친절해요,1.0
58,무쌍여자직원 안자르나요?ㅋㅋㅋ웅얼거리길래 다시물으니까 소리지르네요;; 싸가지밥말아먹은듯,3.5
59,비엘티에 파마산오레가노 소스는 직원분 추천으로 결제했는데 맛이 진짜 짰다. 속재료가 짠건지 햄이 짠건지 아무튼 너무 짜서 먹기가 힘든 정도였다. 나만 그렇게 느끼나? 해서 친구 3명에게 한입씩 줬는데 같은 반응.. ㅠㅠ 조금 짜네 이 정도가 아니라 못먹을 정도여서 결국 반도 못먹고 버렸다. 가격이 저렴한편도 아닌데 돈도 아깝고 음식도 아까웠다.,3.6
60,ㅋㅋ 어제 갔는데 손님이 앞에서 기다리는데 짜파게티? 컵라면을 도마에 두고 치즈를 거기 담고 있던데요 주문도 계속 씹고 이런데 처음 봤어요 ㅋㅋ,3.6
61,스테이크 시켰는데 고기도 많고 야채도 많고 친절하고 괜찮네요~ 사람이 많긴함,3.0
62,재료가 엄청 신선한 느낌은 아니었고 맛도 직원들도 그냥 무난무난 쏘쏘,3.0
66,바빠서 응대에 시간좀 걸리네요고기양은 터질것같이주네용..?소스도 너무과하게줫음..그냥 보통이에요,1.0
