0,"날씨가 좋은 계절엔 야외 석에서 먹을 수 있답니다! 감자탕은 고기가 정말 많이 들어있는데 젓가락을 살짝 대기만 해도 고기가 바로 분리가 될 정도입니다. 뼈에 붙은 고기도 남길 수 없어 쫍쫍 빨아 먹는 재미도 있어유 ㅎㅎ 하얀 쌀밥에 감자탕 고기와 마늘장아찌 올려서 먹으면 정말 밥 도둑, 술 도둑이 따로 없어요.",3.0
1,#신미식당 #압구정맛집 #감자탕맛집 #삼겹살맛집 #삼겹살도 맛있고 감자탕이 인기인 맛집! 국물이 다른곳하고 다르게 깔끔하면서도 칼칼한 맛!!,5.0
2,여기는 감자탕을 맛있게 하는 집이다. 동네에서 흔치 않게 소주한잔 하기에 그만인 곳이다. 근데. 멀 먹어도 맛있다. 삼겹살도 맛있고 제육도 맛있다. 오늘도 한잔하는 중...,3.0
3,커다란 뼈다귀 인심써서 많이 주시더라고요~주인장님이 친절하세요^^,5.0
4,작은 가게라 테이블수가 적어요~ 예약은안되도 늦으면 재료가떨어져서 못먹을수도있는 곳!,3.0
5,정직하게 항상 똑같이 맛있는맛. 소소한 메뉴인데도 자꾸생각나는 곳,3.0
6,감자탕은 다른집처럼 다 익혀져서나오기때문에 바로먹을수 있는게 좋네요~,4.0
7,마늘장아찌에 감자탕을 같이곁들여먹으니 궁합이 생각보다 잘맞어라구요,4.0
8,삼겹살이 맛있는 집이래서 맛있어봤자 거기서거긴줄알았거든요..ㅎㅎㅎㅎ확실히 맛은있었어요!,3.0
9,내부에 에어컨이 있기는한데…있는둥 마는둥…. 더운걸 싫어한다면 더위가좀가신 다음에 찾아가시길,4.0
10,아는사람만 안다는 압구정 삽겹살집!!ㅎㅎㅎㅎ 압구정에서 삼겹살? 이라는 편견을 깨트리는 맛집,4.0
11,감자탕과 생삽겹살이 가장 유명한 압구정 맛집~ 아는 사람은 다 암^^,4.0
12,압구정치고 가격이 무지착합니다 ^^! 삽겹살외에 돼지갈비도 입에 착착붙는맛!,5.0
13,돼지고기 잡비린내가 안나요!! 감자탕을 엄청 좋아하는 편은 아닌데 먹을만하더라고요!,4.0
14,고추장불고기 어마맛남…. 넘짜지도않고맘에 들었음,5.0
15,의외로 맛있어서 압구정가게되면 종종 찾아갈것같은 맛집,3.0
16,삼겹살이 맛있어봤자 싶었는데 확실히 맛은 있어서 나름 의외였어요 :D,4.0
17,직접썰어내주는 생삼겹살과 아침부터 하루종일 끓이는 뼈다귀해장국이 맛있는곳이예요,5.0
18,보통삼겹살먹을때 마늘구워서 같이먹는데 이곳은 마늘짱아찌가 맛있어서 그런가 마늘은 안구워먹게되요 ㅋㅋㅋㅋ,3.0
19,감자탕 고기가 다른데보다 어마어마하게 많다는건 아니지만 잡냄새안나서 조타조타 딱조타,4.0
20,"음식하나하나 전날 만들어두지않고, 당일 딱 정해진 양만 만드신다는 사장님!!",5.0
21,생삼겹살이 너무 두툼하지도 않은게 젤 좋음. 안이 촉촉하니 부드러웠음.,3.0
22,요즘같이 더운날씨엔 매장에서드시는 분들보단 밖에 야외에서 드시느 분들이 더많았어요!,3.0
23,뚝배기에 큰 고기를 세개나 넣어주셨다!! 뚝배기 넘쳤음 ㅋㅋ 역시 감자탕은 푸짐하게 먹어야 제맛.,4.0
24,고기 양이 막 어마무시한건 아니지만 많이 붙어있고~국물이 엄청 얼큰함!,3.0
25,큼직한 고기덩어리가 냄비가득!! 속에들어있는 시래기도 부들부들하니 맛있어요!,5.0
26,기본찬인 깍두기 마늘짱아치등이 맛있어서 마땅한 점심거리가 없을때 찾기 아주좋은곳,5.0
27,감자탕뼈에붙은살도많고 잘익혀서그런지 잘떨어져서 순쉽게 잘말라먹을수있었어요 굿뜨~,3.0
28,생삼겹살이 너무 신선해보였어요~ 부드럽고 쫄깃한 육질이 짱..,4.0
29,"그날그날 판매하실 양만 들여놓는 재료라, 신선한 상태 그대로 맛볼수있어요!",4.0
30,계속 생각나는 마늘 짱아찌 밑반찬. 사올 수 있음 사오고 싶다!,3.0
31,쪄죽는 날에도 불판위에 고기를 구워먹을정도로 인기가 쩌는 맛집!,5.0
32,서울에서 내가 아는 젤 맛나는 삼겹살&감자탕집. 감자탕을 하루종일 끓인다고한다! 그래서 국물이 맛있는듯,3.0
33,제육이 하나도 맵지도않안게 상추싸서 마늘절임 딱넣어서먹으면 최공!!,4.0
34,소박한 인테리어의 맛집이었다.. 하루종일 끓인다는 해장국이 인상적이었다.^^,3.0
35,집앞에 제일 유명한 맛집! 가족끼리와서 먹기도 부담안되고 모든음식이 직접조리하니 더맛있고!!,3.0
36,밥한톨도 남기기아까울정도로 맛있어서 싹싹 허허허,4.0
37,삼겹살하구 뼈해장국밖에 안먹어봤는데 넘 맛있어서 다른거 도전을 못하구 있엉ㅋㅋㅋ,3.0
38,"가마솥 뚜껑같은 불판에 꼼꼼히 기름칠되어있는거보니, 관리 잘하셨다는 생각밖에안들어요..이런불판이면 고기맛은 당연히 최고일듯..!",3.0
39,감자탕이랑 삼겹살이랑 둘이 먹으면 배불러서 못먹을줄알았음.근데 ㅋㅋㅋㅋㅋ다먹게됨ㅋㅋㅋㅋㅋ,5.0
40,뼈다귀 해장국 국물 얼큰하고 속이 뻥~뚫린다. 삼겹살에 마늘짱아찌랑 같이 먹으면 굿!!,4.0
41,돼지고기주문시 기본으로 깔려나오는 반찬들이 별거아닌데 깔끔하게 맛있네요 =v=,3.0
42,뼈다귀를 어어엄청 큰거를 넣어주셨다 정말 원없이 뜯어먹었다!!!,4.0
43,감자탕은 시원 얼큰한맛이었고 삼결살과 목살은 전혀느끼하지 않은 깨끗한 맛이야요 ㅋㅋ,4.0
44,밑반찬은 덜어먹으라고 주시는데 마늘장아찌가 대박이여서 엄청먹었네요 나중에입냄새가…와우~!,3.0
45,뼈다귀 해장국 국물이 끝내줘요!! 고기도 푸짐하고!!,4.0
46,감자탕 국물이 점심때와 저녁때 국물이 조금다른거같아요 오후늦게먹는게 진하고걸쭉한 국물을 느끼실수있어요 랄라,4.0
47,신미식당의 감자탕 맛은 정말 보장함bb 정말 단골로 자주 가는 맛집.,4.0
48,생삼겹살  훌륭했던거 같아요,3.0
49,생삼겹살  맘에 들었다,3.0
50,입맛에 맞았던 편이에요,3.0
51,생삼겹살 진짜 먹고싶을만했었어요,4.0
52,"감자탕, 막 생삼겹 추천~",4.0
53,고추장 마늘 장아찌? 맛남,4.0
54,",음식이 너무 맛있어요.",4.0
55,또 가고 싶당,4.0
56,그런대로 만족할만한 편입니다.,4.0
57,어떤건 맛있는데 또 어떤건 그저 그래용,3.0
58,감자탕과 제육볶음도 일품이지만.. 생삽겹과 단골들만 주는 계란후라이도 최고 ㅎㅎ,3.5
59,깐깐한 내 입이 즐거워하네,4.0
60,맛남! but insanitary palce~,3.5
61,압구정동에 놀러오는 사람들보다 동네 사람들에게 더 유명한 맛집 뼈감자탕 삼겹살 제육볶음 뭐하나 빠지는것이없음 주중에는 학생들 회식하러온 사람들 주말에는 산악회등등 매번 붐빈다,4.0
62,오래된 감자탕집 소박한 집...,4.0
