0,그리 맵지 않음,3.0
1,이사오기전 회사 앞이라 가끔 갔는데 먹기도 힘들지만 난 화장실도 힘들었던 ㅋㅋ  근데 여자들이 너~~무 많~~다 ~~ 이 어려운 음식을 ㅋㅋ,1.0
2,최악의 냉면집...소고기다시다랑 멸치다시다 조합한 맛의 싸구려육수에 암튼 걍 싸구려 냉면이지요..포장해서 집에서 먹다가 머리카락이 하나 나오길래 그럴수 있지하고 더먹는데 무더기로 계속 나와서 기분더러워 먹다버렸네요. 포장용기에 머리카락 몇개 주워서 들고 다시 가게가서 사람 많길래 장사방해될까 싶어 조용히 카운터에 얘기했더니...냉면 먹고 오리발 내미는 사람취급..발견했을때 바로 전화해서 자기한테 확인받고 남은 냉면 다시 다 가져와야 한다네요ㅜㅜ 증거가 어딨냐고  하네요...기분 개떡같아서 따졌더니 그제서야 억울하다는듯 걍 환불해준다고 하길래 거부하고 나왔네요..집에 와서 음식물쓰레기통에 버렸던 냉면 주워담아서 다시 가져다주고 왔습니다. 머리카락은 제가 보관하구요...당장 송파구청에 정기적인 위생검사 신청할거구요...담당공무원님 제대로 안하시면 다른루트로 제대로 검사받게 할겁니다. 장사잘된다고 기본적인 서비스마인드도 없고 위생도 개떡같은 이런 음식점은 사라져야 합니다.,1.0
3,음식맛이 일품이네요,5.0
4,5년넘게 애용하고있는 냉면맛집이에요~ 눈물콧물 쫙 나와도 불타는 맛 중독에 헤어나오질못하고있답니다 ㅎ 양념을 취향껏 넣어먹을수있게 테이블에놓여져있는데 정말 양조절해야되요..큰코다칠수도..,3.0
5,딱히 왜 맛있는지 모르겠어요ㅠㅠ엄마가 좋아하셔서 몇번 가긴 했지만..,1.0
6,김밥집 냉면이200배는 맛있음,1.0
7,가격이 저렴해서 좋았습니다 매운다대기도 취향것 넣어먹을수 있어 좋았습니다,3.0
8,그냥 물냉에 다대기 풀어서 먹는게 제일 맛있어요ㅎㅎ 저도 비냉도전해보려다가 도저히 용기가 안나서….,5.0
9,맛있게먹고 면도 생면으로 포장가능해서 싸왔음~~ 집에서 또해먹어야지~ ㅋㅋ,3.0
10,비냉과물냉두개시켜먹었는데 양념이 맵더라구요 맛은있는데 양념이 몬가 깊은양념맛은 아닌듯 … ㅎㅎ,5.0
11,양이 되게많았어여~ 다먹으니 배가 완전 빵빵,4.0
12,음식이 금방나와서 너무좋았어요 따로 비치되어있는 그 양념장 제가 맵기를 조절해서 먹을수있어 좋았어요!!!!,3.0
13,요기 양념장 완전 맛잇어요!! 엄청넣어먹었네요!! 매운양념이니 넣고먹어보고 조절해야될거에요!!,3.0
14,맛있게 먹는법을 따로 적어놓으셨더라구요 따라해먹으니 맛있었습니다.,3.0
15,맛없다고욕하는사람들이해안되요 미친듯이매운곳인데뭐 ㅋㅋ맛이아니라아프러오는곳 ㅋ스트레스풀러와요가끔ㅋㅋㅋㅋ,4.0
16,보통 맛집들은 가격이 비싼데 요집은 가격도 착해요 착해~ㅋㅋ,5.0
17,입구에있는 육수 너무맛있어요ㅜㅜ 육수가 또생각날듯한 그런맛!! 매운거 좋아하시는분들 비냉도전해보세요~ 매워요 ㅋㅋ,4.0
18,성인남성이 먹어도 거뜬한 양ㅋ 물냉이 좀 밍밍한거같은데 테이블에있는 양념장넣어먹음 굳ㅋ,3.0
19,물냉은 특별하진않았구 비냉이 추천추천!! 물냉에 다대기넣어서 먹음 진짜 그것도 추천추천!!,5.0
20,매운거못드시는분은 물냉 매운거좋아하시는분들은 비냉!! 매운거못드시는데 비냉드시고싶음 육수넣어달라고하심 덜매워요~!!,3.0
21,음식은 물냉.비냉 두개밖에없어요 줄도 길어서 대화할시간도없이 금방먹고 빠져줘야해 근데 일부러아니야…비냉먹으면정신없어서 먹고빨리나오게되,3.0
22,비냉 진짜매운데 그래도 계속 입으로 넣게되요오~ 매울때 육수한컵 딱!! 크으~,5.0
23,매운거 잘못먹어서 물냉시키고 앞에놓인 소스 살짝풀어 먹으니 맛있었어용~ 양도많아용,3.0
24,저는 매운걸 좋아해서 양념장 더추가해서 먹었네요~ 맛있네요~,5.0
25,난 가면항상 물냉만먹어요ㅋㅋ 불친절하다고뭐라하는사람들 이해안됨ㅋ 손님그렇게많은데 정신없으시겠지뭘,3.0
26,난 매운걸잘먹지만 여기는 진짜매움 앵간히 못먹으면 시도도하지마시오ㅋ걍물냉추천,5.0
27,뜨거운육수는 필수로 떠다먹어야하는것 비냉먹다보면 입에 감각이 사라지는매움ㅠㅠ 근데…또먹고싶어져 이상해…,3.0
28,웨이팅해도 금방금방빠짐 자리도그냥 모르는사람옆에서먹는데 정신없이 먹고 금방나감ㅋ,3.0
29,난 못먹는데 매운걸좋아하는데 여기는 그냥심하게아픈맛인데 근데 또가고싶은데??잉?,5.0
30,난 물냉먹으러오는데 비냉먹으러오는사람들보면 대단ㅋㅋㅋ,4.0
31,비냉먹고 화장실 엄청갔음ㅋㅋㅋ다음엔 물냉을 먹을께요ㅎㅎ,3.0
32,"So so...가격은 ₩4,500 으로 인상 밤12시까지 연장 영업으로 변경...",3.5
