,상권코드,서비스업종코드명,점포수,유사업종점포수,개업율,개업점포수,폐업율,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명
0,2110118,치킨전문점,1.0,6.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,0.0,3.0,697.0,1097.0,781877,364389,417487,131457,157024,121565,115300,108853,147678,166113,161399,102261,103638,149775,98688,112365,115651,115610,115768,115551,106276,100656,940000.0,성동구
1,2110118,커피-음료,4.0,7.0,0.0,0.0,14.0,1.0,15.0,1.0,0.0,2.0,0.0,3.0,697.0,1097.0,781877,364389,417487,131457,157024,121565,115300,108853,147678,166113,161399,102261,103638,149775,98688,112365,115651,115610,115768,115551,106276,100656,8560000.0,성동구
2,2110118,분식전문점,4.0,5.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,0.0,3.0,697.0,1097.0,781877,364389,417487,131457,157024,121565,115300,108853,147678,166113,161399,102261,103638,149775,98688,112365,115651,115610,115768,115551,106276,100656,1430000.0,성동구
3,2110118,한식음식점,9.0,14.0,0.0,0.0,7.0,1.0,15.0,1.0,0.0,2.0,0.0,3.0,697.0,1097.0,781877,364389,417487,131457,157024,121565,115300,108853,147678,166113,161399,102261,103638,149775,98688,112365,115651,115610,115768,115551,106276,100656,20760000.0,성동구
4,2110118,제과점,3.0,4.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,0.0,3.0,697.0,1097.0,781877,364389,417487,131457,157024,121565,115300,108853,147678,166113,161399,102261,103638,149775,98688,112365,115651,115610,115768,115551,106276,100656,23150000.0,성동구
5,2110118,일식음식점,1.0,2.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,0.0,3.0,697.0,1097.0,781877,364389,417487,131457,157024,121565,115300,108853,147678,166113,161399,102261,103638,149775,98688,112365,115651,115610,115768,115551,106276,100656,95000000.0,성동구
6,2110118,호프-간이주점,1.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,0.0,3.0,697.0,1097.0,781877,364389,417487,131457,157024,121565,115300,108853,147678,166113,161399,102261,103638,149775,98688,112365,115651,115610,115768,115551,106276,100656,900000.0,성동구
7,2110118,패스트푸드점,2.0,2.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,2.0,0.0,3.0,697.0,1097.0,781877,364389,417487,131457,157024,121565,115300,108853,147678,166113,161399,102261,103638,149775,98688,112365,115651,115610,115768,115551,106276,100656,1530000.0,성동구
8,2120087,제과점,2.0,6.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,4.0,1.0,1.0,441.0,2369.0,844785,373507,471278,110916,126572,139276,139657,123231,205133,160193,174081,112449,117141,172866,108055,117455,114995,116309,115579,117917,130871,131660,21860000.0,은평구
9,2120087,치킨전문점,1.0,2.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,4.0,1.0,1.0,441.0,2369.0,844785,373507,471278,110916,126572,139276,139657,123231,205133,160193,174081,112449,117141,172866,108055,117455,114995,116309,115579,117917,130871,131660,26990000.0,은평구
