,점포수,유사업종점포수,개업점포수,폐업점포수,집객시설수,관공서수,은행수,버스정거장수,지하철수,약국수,총직장인구수,총상주인구수,총_생활인구_수,남성_생활인구_수,여성_생활인구_수,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_1_생활인구_수,시간대_2_생활인구_수,시간대_3_생활인구_수,시간대_4_생활인구_수,시간대_5_생활인구_수,시간대_6_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,분기당매출금액,시군구명,서비스업종명,월예상매출
77,6.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1023.0,549.0,299803.0,152912.0,146890.0,29817.0,58032,75113,61702.0,37774.0,37363.0,51340.0,60667.0,51173,52198.0,55574.0,28850.0,46089.0,48555.0,47030,46843.0,46460.0,34084.0,30742.0,7.0,강남구,한식음식점,1.0
78,13.5,16.5,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1251.0,1761.0,959048.0,492089.0,466961.0,72435.0,192354,262575,210816.0,101428.0,119443.0,172405.0,203441.0,171459,167345.0,158004.0,86396.0,146746.0,157657.0,159181,157320.0,148054.0,98709.0,91380.0,3.0,강남구,커피-음료,3.0
155,4.0,5.0,0.0,0.0,33.0,2.0,2.0,8.0,1.0,1.0,3226.5,693.0,378972.0,195874.0,183097.0,45484.0,61028,86691,81040.0,51853.0,52875.0,47013.0,84382.0,73578,74214.0,69508.0,30275.0,56624.0,60168.0,61259,61687.0,58388.0,42423.0,38424.0,7.0,강남구,호프-간이주점,1.0
156,3.0,3.0,0.0,0.0,33.0,2.0,2.0,8.0,1.0,1.0,3226.5,693.0,378972.0,195874.0,183097.0,45484.0,61028,86691,81040.0,51853.0,52875.0,47013.0,84382.0,73578,74214.0,69508.0,30275.0,56624.0,60168.0,61259,61687.0,58388.0,42423.0,38424.0,7.0,강남구,중식음식점,1.0
157,13.5,16.5,1.0,1.0,33.0,2.0,2.0,8.0,1.0,1.0,3226.5,693.0,378972.0,195874.0,183097.0,45484.0,61028,86691,81040.0,51853.0,52875.0,47013.0,84382.0,73578,74214.0,69508.0,30275.0,56624.0,60168.0,61259,61687.0,58388.0,42423.0,38424.0,7.0,강남구,한식음식점,1.0
158,1.0,2.0,0.0,0.0,33.0,2.0,2.0,8.0,1.0,1.0,3226.5,693.0,378972.0,195874.0,183097.0,45484.0,61028,86691,81040.0,51853.0,52875.0,47013.0,84382.0,73578,74214.0,69508.0,30275.0,56624.0,60168.0,61259,61687.0,58388.0,42423.0,38424.0,7.0,강남구,제과점,0.0
159,9.0,12.0,0.0,0.0,33.0,2.0,2.0,8.0,1.0,1.0,3226.5,693.0,378972.0,195874.0,183097.0,45484.0,61028,86691,81040.0,51853.0,52875.0,47013.0,84382.0,73578,74214.0,69508.0,30275.0,56624.0,60168.0,61259,61687.0,58388.0,42423.0,38424.0,2.0,강남구,분식전문점,1.0
335,2.0,4.0,0.0,0.0,36.0,0.0,1.0,8.0,0.0,3.0,3226.5,1880.0,955134.0,463766.0,491369.0,143375.0,154840,192318,190042.0,127075.0,147483.0,182156.0,204292.0,150285,151706.0,167695.0,99000.0,143369.0,147472.0,147550,145120.0,140950.0,116569.0,114104.0,7.0,강남구,제과점,0.0
336,11.0,12.0,0.0,1.0,36.0,0.0,1.0,8.0,0.0,3.0,3226.5,1880.0,955134.0,463766.0,491369.0,143375.0,154840,192318,190042.0,127075.0,147483.0,182156.0,204292.0,150285,151706.0,167695.0,99000.0,143369.0,147472.0,147550,145120.0,140950.0,116569.0,114104.0,3.0,강남구,분식전문점,3.0
337,2.0,2.0,0.0,0.0,36.0,0.0,1.0,8.0,0.0,3.0,3226.5,1880.0,955134.0,463766.0,491369.0,143375.0,154840,192318,190042.0,127075.0,147483.0,182156.0,204292.0,150285,151706.0,167695.0,99000.0,143369.0,147472.0,147550,145120.0,140950.0,116569.0,114104.0,7.0,강남구,육류판매,3.0
370,1.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,138.0,2.0,16117.0,7106.0,9011.0,4361.0,1292,1417,2951.0,2463.0,3630.0,5753.0,3132.0,1538,1477.0,1943.0,2273.0,2362.0,2376.0,2386,2388.0,2364.0,2155.0,2084.0,0.0,강남구,일식음식점,3.0
371,2.0,2.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,138.0,2.0,16117.0,7106.0,9011.0,4361.0,1292,1417,2951.0,2463.0,3630.0,5753.0,3132.0,1538,1477.0,1943.0,2273.0,2362.0,2376.0,2386,2388.0,2364.0,2155.0,2084.0,7.0,강남구,육류판매,6.0
414,7.0,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,48.0,6.0,9936.0,5057.0,4879.0,938.0,1397,2241,2152.0,1538.0,1670.0,2403.0,2312.0,1263,1171.0,1393.0,1393.0,1438.0,1529.0,1495,1485.0,1490.0,1339.0,1160.0,7.0,강남구,한식음식점,1.0
650,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,한식음식점,3.0
651,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,6.0,강남구,커피-음료,3.0
652,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,5.0,강남구,양식음식점,3.0
653,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,6.0,강남구,분식전문점,3.0
654,13.0,16.5,0.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,3.0,강남구,패스트푸드점,3.0
655,10.0,15.0,0.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,제과점,0.0
656,13.5,16.5,0.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,호프-간이주점,3.0
667,13.5,16.5,1.0,1.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1575539.0,709968.0,824092.5,156369.0,287135,290973,259048.5,211605.0,244728.0,295183.0,320738.0,203391,204755.25,277593.375,161883.0,219425.0,230372.625,230721,230492.25,229510.5,219952.875,188025.0,6.0,강남구,분식전문점,3.0
668,12.0,16.5,0.0,0.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1575539.0,709968.0,824092.5,156369.0,287135,290973,259048.5,211605.0,244728.0,295183.0,320738.0,203391,204755.25,277593.375,161883.0,219425.0,230372.625,230721,230492.25,229510.5,219952.875,188025.0,7.0,강남구,제과점,3.0
669,13.5,16.5,1.0,1.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1575539.0,709968.0,824092.5,156369.0,287135,290973,259048.5,211605.0,244728.0,295183.0,320738.0,203391,204755.25,277593.375,161883.0,219425.0,230372.625,230721,230492.25,229510.5,219952.875,188025.0,7.0,강남구,양식음식점,3.0
670,5.0,6.0,0.0,0.0,93.0,5.0,2.0,8.0,0.0,7.0,3226.5,3265.0,1575539.0,709968.0,824092.5,156369.0,287135,290973,259048.5,211605.0,244728.0,295183.0,320738.0,203391,204755.25,277593.375,161883.0,219425.0,230372.625,230721,230492.25,229510.5,219952.875,188025.0,1.0,강남구,패스트푸드점,3.0
677,13.5,16.5,0.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,일식음식점,3.0
678,13.5,16.5,1.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,중식음식점,3.0
679,13.5,16.5,1.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,6.0,강남구,커피-음료,3.0
680,13.0,16.5,1.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,3.0,강남구,패스트푸드점,3.0
681,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,분식전문점,3.0
682,13.5,16.5,0.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,호프-간이주점,3.0
683,5.0,16.0,0.0,0.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,치킨전문점,5.0
684,11.0,16.0,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,제과점,0.0
685,13.5,16.5,1.0,1.0,150.0,1.0,2.0,9.0,2.0,13.0,3226.5,4575.0,1585510.875,761965.5,824092.5,201150.75,289209,290973,259048.5,225818.25,337593.75,388828.5,327004.5,203391,204755.25,277593.375,196690.5,228691.5,230372.625,230721,230492.25,229510.5,219952.875,217156.5,7.0,강남구,한식음식점,3.0
