,분기당매출금액,0
0,995,1051.0
1,796,1018.0
2,263,448.0
3,739,703.0
4,199,280.0
5,497,436.0
6,1563,1602.0
7,394,385.0
8,174,297.0
9,805,849.0
10,1314,1202.0
11,402,521.0
12,269,167.0
13,1243,1158.0
14,457,399.0
15,748,787.0
16,200,304.0
17,687,645.0
18,1191,907.0
19,205,296.0
20,802,1285.0
21,686,563.0
22,128,232.0
23,272,282.0
24,1563,1477.0
25,1563,1505.0
26,1563,1616.0
27,407,608.0
28,416,527.0
29,1171,1138.0
30,186,297.0
31,1563,1583.0
32,334,364.0
33,353,242.0
34,766,626.0
35,995,1018.0
36,708,698.0
37,477,608.0
38,809,871.0
39,1029,1008.0
40,1563,1403.0
41,1099,1131.0
42,546,710.0
43,419,449.0
44,1235,1289.0
45,1150,1116.0
46,1352,1201.0
47,1311,1305.0
48,212,324.0
49,1144,1231.0
50,1109,1224.0
51,1461,1451.0
52,1283,1349.0
53,1563,1342.0
54,980,1034.0
55,820,839.0
56,1563,1417.0
57,178,264.0
58,955,1029.0
59,1522,1362.0
60,105,74.0
61,350,379.0
62,1289,1334.0
63,206,162.0
64,1563,1350.0
65,1563,1365.0
66,1519,1410.0
67,1563,1496.0
68,143,303.0
69,861,1008.0
70,352,403.0
71,1496,1376.0
72,341,322.0
73,676,722.0
74,1563,1480.0
75,1563,1596.0
76,295,339.0
77,609,588.0
78,1563,1489.0
79,251,339.0
80,944,837.0
81,1563,1418.0
82,214,214.0
83,535,657.0
84,758,848.0
85,156,76.0
86,139,95.0
87,1563,1568.0
88,679,644.0
89,1563,1561.0
90,1563,1462.0
91,290,420.0
92,790,712.0
93,622,656.0
94,124,306.0
95,678,687.0
96,168,179.0
97,386,627.0
98,1563,1514.0
99,281,284.0
100,804,805.0
101,727,738.0
102,262,224.0
103,327,392.0
104,504,523.0
105,812,787.0
106,1563,1585.0
107,388,309.0
108,351,333.0
109,106,250.0
110,1563,1510.0
111,140,233.0
112,129,320.0
113,1563,1418.0
114,258,317.0
115,1563,1545.0
116,806,893.0
117,185,260.0
118,120,140.0
119,824,723.0
120,171,234.0
121,313,443.0
122,686,705.0
123,794,748.0
124,675,672.0
125,1030,1084.0
126,1563,1570.0
127,1563,1535.0
128,131,114.0
129,1514,1331.0
130,721,624.0
131,1563,1606.0
132,306,338.0
133,635,525.0
134,1563,1462.0
135,183,282.0
136,513,421.0
137,114,151.0
138,219,86.0
139,1563,1490.0
140,1215,1300.0
141,193,202.0
142,1563,1561.0
143,1563,1474.0
144,190,408.0
145,159,204.0
146,333,397.0
147,1356,1108.0
148,1563,1397.0
149,895,813.0
150,905,935.0
151,1136,874.0
152,1008,1129.0
153,315,286.0
154,1563,1441.0
155,692,650.0
156,129,193.0
157,1563,1410.0
158,1563,1545.0
159,896,858.0
160,850,833.0
161,1061,864.0
162,1563,1254.0
163,678,831.0
164,873,779.0
165,253,298.0
166,776,796.0
167,1468,1259.0
168,1170,972.0
169,934,824.0
170,242,288.0
171,1563,1318.0
172,582,595.0
173,1214,1286.0
174,522,518.0
175,103,65.0
176,107,320.0
177,751,777.0
178,1563,1565.0
179,1563,1448.0
180,763,940.0
181,614,766.0
182,1065,1157.0
183,988,1067.0
184,1563,1552.0
185,476,519.0
186,228,148.0
187,1563,1458.0
188,656,733.0
189,1561,1404.0
190,1563,1552.0
191,896,964.0
192,1430,1281.0
193,1563,1477.0
194,126,164.0
195,1563,1419.0
196,1563,1558.0
197,382,490.0
198,1290,1076.0
199,330,362.0
200,986,980.0
201,482,673.0
202,1563,1537.0
203,1563,1537.0
204,1343,1229.0
205,306,417.0
206,1563,1412.0
207,153,239.0
208,379,294.0
209,1158,1161.0
210,1373,1417.0
211,727,655.0
212,1563,1557.0
213,1563,1560.0
214,863,845.0
215,1173,1145.0
216,257,235.0
217,355,233.0
218,1563,1474.0
219,1563,1354.0
220,1097,1061.0
221,1563,1514.0
222,542,580.0
223,1263,771.0
224,490,579.0
225,1563,1621.0
226,586,573.0
227,963,980.0
228,313,269.0
229,308,338.0
230,379,407.0
231,254,340.0
232,516,514.0
233,1200,1105.0
234,348,499.0
235,194,323.0
236,373,338.0
237,268,292.0
238,714,711.0
239,1167,1147.0
240,361,496.0
241,650,737.0
242,1563,1362.0
243,285,343.0
244,1493,1414.0
245,212,130.0
246,1563,1529.0
247,1230,859.0
248,600,650.0
249,527,460.0
250,895,928.0
251,155,235.0
252,316,277.0
253,955,829.0
254,1164,1260.0
255,797,825.0
256,191,182.0
257,1162,905.0
258,1147,1010.0
259,419,495.0
260,391,471.0
261,1391,1216.0
262,1167,1099.0
263,702,655.0
264,1153,1050.0
265,761,770.0
266,179,225.0
267,895,1000.0
268,552,639.0
269,1563,1472.0
270,184,224.0
271,1414,1232.0
272,709,806.0
273,379,382.0
274,273,236.0
275,1563,1697.0
276,1563,1455.0
277,355,228.0
278,983,853.0
279,514,518.0
280,1563,1371.0
281,1035,1039.0
282,979,812.0
283,393,554.0
284,859,766.0
285,701,1005.0
286,233,205.0
287,1563,1547.0
288,538,512.0
289,117,207.0
290,1035,965.0
291,1451,1433.0
292,335,413.0
293,270,352.0
294,1306,1161.0
295,525,508.0
296,1433,790.0
297,161,195.0
298,1563,1456.0
299,163,164.0
300,1563,1624.0
301,1563,1563.0
302,184,270.0
303,332,431.0
304,599,693.0
305,1348,1368.0
306,448,430.0
307,353,372.0
308,1563,1680.0
309,221,272.0
310,1340,1113.0
311,782,713.0
312,1563,1374.0
313,892,940.0
314,301,237.0
315,597,596.0
316,1500,1544.0
317,434,695.0
318,219,428.0
319,141,203.0
320,601,653.0
321,104,178.0
322,722,561.0
323,742,691.0
324,226,195.0
325,1563,1398.0
326,1325,1418.0
327,1496,1313.0
328,1011,838.0
329,135,121.0
330,253,266.0
331,1563,1544.0
332,1425,1310.0
333,1379,1308.0
334,826,852.0
335,695,719.0
336,1563,1438.0
337,1193,1104.0
338,781,735.0
339,929,1004.0
340,630,580.0
341,468,556.0
342,352,287.0
343,1563,1618.0
344,598,540.0
345,106,189.0
346,1563,1535.0
347,566,562.0
348,1059,1070.0
349,497,478.0
350,1563,1500.0
351,973,972.0
352,213,235.0
353,1563,1369.0
354,365,403.0
355,499,414.0
356,571,433.0
357,402,396.0
358,1322,1145.0
359,480,446.0
360,1428,1245.0
361,510,567.0
362,862,756.0
363,857,674.0
364,334,782.0
365,198,144.0
366,815,832.0
367,1563,1539.0
368,1437,1444.0
369,151,295.0
370,1563,1464.0
371,1086,955.0
