기준년코드,기준분기코드,상권코드,상권코드명,총상주인구수
2022,1,2110001,이북5도청사,1170.0
2022,3,2130189,서교시장,23.0
2022,1,2110021,성균관대학교,2009.0
2022,4,2110974,언주중학교,1513.0
2022,1,2110002,독립문역 1번,629.0
2022,4,2110921,서울프랑스학교,1261.0
2022,1,2110022,경신고등학교,1625.0
2022,3,2110753,시흥동 은행나무사거리,6688.0
2022,2,2120151,보라매공원,5056.0
2022,4,2110912,방배동사이길,317.0
2022,1,2110023,서울대병원,770.0
2022,3,2110647,화곡역 5번,8529.0
2022,1,2110030,동대문역 3번,411.0
2022,3,2130155,시영B상가(중계 그린아파트 B 상가),4.0
2022,1,2110024,혜회동주민센터,1257.0
2022,2,2130217,화곡본동시장,340.0
2022,2,2120147,보라매역,1412.0
2022,3,2110769,대림차이나타운(대림역 12번),573.0
2022,1,2110003,세검정초등학교,3300.0
2022,4,2130047,테크노상가(엘리시움),13.0
2022,1,2120025,롯데백화점(시청광장 지하쇼핑센터),1.0
2022,4,2110913,방현초등학교(방배119안전센터),3912.0
2022,1,2130025,삼익패션타운(남대문시장),1.0
2022,2,2120164,내방역,2923.0
2022,2,2120143,당산역,3447.0
2022,3,2110657,양천향교역 5번,1567.0
2022,1,2130248,영등포역지하도상점가,152.0
2022,4,2110842,흑리단길,505.0
2022,1,2130259,대신시장,213.0
2022,4,2110920,방배역 2번(백석예술대학교),130.0
2022,1,2130289,봉일시장,1.0
2022,3,2110448,상신초등학교입구,2604.0
2022,1,2110031,창신역 1번,455.0
2022,2,2130199,신월3동 골목시장,828.0
2022,2,2110076,삼각지역 14번,18.0
2022,4,2110849,이수역 10번,3100.0
2022,1,2110004,대신고등학교,471.0
2022,3,2110767,도림동주민센터,1298.0
2022,1,2110005,세검정,1796.0
2022,4,2110780,신길대성유니드아파트,3155.0
2022,2,2120134,구로전화국,3455.0
2022,4,2130018,동대문문구완구거리(동대문문구완구시장),133.0
2022,1,2110025,충신시장옆,479.0
2022,4,2120018,중림동,1546.0
2022,1,2110026,종로5가역 4번,108.0
2022,4,2110906,서문여고,1203.0
2022,1,2110027,혜화역 1번,2842.0
2022,4,2110122,마장역 2번,905.0
2022,2,2120130,구로디지털단지역,2067.0
2022,2,2120165,서래마을카페거리(서래마을),1604.0
2022,1,2110028,이화달팽이길,3953.0
2022,3,2110088,오산고등학교,1728.0
2022,2,2110949,한남IC,564.0
2022,3,2110636,방화역 2번,1260.0
2022,1,2110029,동대문역 1번,5004.0
2022,3,2120180,양재화물트럭터미널앞,1346.0
2022,2,2120126,디지털단지오거리,599.0
2022,4,2110843,사당5동주민센터,1683.0
2022,2,2120043,서울역,450.0
2022,4,2110374,송중초등학교,5539.0
2022,1,2110032,수족관거리,27.0
2022,3,2130150,창동골목시장,1210.0
2022,2,2130299,엔터식스 강남점,2.0
2022,3,2110880,신림역 1번,1455.0
2022,1,2110006,부암동주민센터,687.0
2022,3,2110423,석계역 2번,445.0
2022,1,2110007,사직공원(한국사회과학도서관),1972.0
2022,3,2110097,한남초등학교,391.0
2022,1,2110008,배화여자대학교(박노수미술관),5211.0
2022,2,2130090,청량리종합시장,105.0
2022,1,2110009,자하문터널,1755.0
2022,3,2111038,보인중학교,2407.0
2022,2,2120118,마곡역(마곡),1725.0
2022,4,2110838,상도1동주민센터앞,117.0
2022,1,2110010,평창동서측,4355.0
2022,4,2110093,우사단길,5830.0
2022,1,2110011,청운초등학교,538.0
2022,3,2110756,문래중학교,2569.0
2022,1,2110012,성곡미술관,1952.0
2022,4,2111012,석촌역 6번,6262.0
2022,2,2120113,오목교역,3255.0
2022,4,2110755,동일여자고등학교,1396.0
2022,1,2110013,체부동홍종문가옥,332.0
2022,4,2111082,중앙보훈병원,1135.0
2022,1,2110014,경복고등학교,931.0
2022,4,2130039,청계6가 지하도상가,3.0
2022,1,2110015,청와대사랑채,589.0
2022,4,2120201,도곡1동,1880.0
2022,2,2120109,서울남부지방법원,2146.0
2022,4,2120016,동대문역,626.0
2022,1,2110016,평창동동측,2003.0
2022,4,2110543,중암중학교,994.0
2022,1,2110017,정독도서관,747.0
2022,4,2110899,낙성대역 5번(관악중학교),3165.0
2022,1,2110018,중앙고등학교,2850.0
2022,3,2110846,남성역 1번,8998.0
2022,1,2110019,창덕궁,241.0
2022,4,2110107,금호사거리,224.0
2022,1,2110020,서울국제고등학교,4192.0
2022,4,2110869,"신림역 5번(신림동주민센터, 신림동별빛거리)",11367.0
2022,1,2110033,창신역 4번,1827.0
2022,2,2120177,신논현역 1번,4597.0
2022,1,2110034,창신1동주민센터,348.0
2022,3,2110651,화원중학교,6123.0
2022,2,2120101,합정역,6927.0
2022,3,2110070,용산세무서,105.0
2022,1,2110035,동묘앞역 2번,3405.0
2022,3,2110318,KT월곡지사,1844.0
2022,1,2110036,동묘앞역 3번,404.0
2022,3,2110639,신방화역 8번,2745.0
2022,1,2110037,신설동역 12번,1535.0
2022,3,2120043,서울역,450.0
2022,2,2120096,"이화여대(이대역, 이대)",1921.0
2022,3,2120106,마포역,3482.0
2022,1,2110038,경향신문사,113.0
2022,3,2120226,석촌고분역,2101.0
2022,1,2110039,회현역 1번,87.0
2022,4,2110898,청림동주민센터(상도중학교),2541.0
2022,1,2110040,중구회현체육센터(정화예술대남산캠퍼스),864.0
2022,4,2110271,신내역 1번,266.0
2022,2,2120092,불광역,1284.0
2022,3,2110779,대림갑을명가아파트,293.0
2022,1,2110041,남산케이블카,701.0
2022,4,2110473,구산역 1번,9727.0
2022,1,2110042,남산골공원옆,1642.0
2022,3,2130151,신도봉시장,162.0
2022,1,2110043,충무초등학교,2101.0
2022,3,2120032,충무로역,2576.0
2022,1,2110044,관성묘,245.0
2022,3,2110886,관악해태어린이공원,3688.0
2022,1,2110045,동대문역사문화공원역 5번,910.0
2022,3,2110579,마포역 4번,840.0
2022,1,2110046,버티고개,4048.0
2022,3,2110437,당고개역 2번,1654.0
2022,1,2110047,다산성곽길,2754.0
2022,3,2110297,경동고등학교,6528.0
2022,2,2120084,공릉역,1553.0
2022,3,2110222,회기역 2번,3.0
2022,1,2110048,장충동주민센터,2457.0
2022,3,2110060,효창공원앞역 6번,3542.0
2022,1,2110049,장충단 고개,1958.0
2022,2,2130213,방신전통시장,455.0
2022,1,2110050,약수역 7번,835.0
2022,4,2130148,방학동도깨비시장,1244.0
2022,2,2120080,마들역,3.0
2022,2,2120229,방이동먹자골목,2889.0
2022,1,2110051,한양공고앞 교차로,1222.0
2022,3,2120199,경복아파트교차로,996.0
2022,1,2110052,장충초등학교,1688.0
2022,4,2110880,신림역 1번,1455.0
2022,1,2110053,청구역 1번,2634.0
2022,4,2110002,독립문역 1번,629.0
2022,2,2120076,수유역,5568.0
2022,4,2110078,이촌동점보아파트,465.0
2022,1,2110054,청구역 3번,1956.0
2022,4,2110179,광나루역 1번,1086.0
2022,1,2110055,황학동벼룩시장,302.0
2022,4,2110372,강북중학교,2880.0
2022,1,2110056,신당역 3번,4926.0
2022,4,2110322,장위1동주민센터,2953.0
2022,1,2110057,황학코아루아파트,1752.0
2022,4,2110983,국립국악고등학교,2703.0
2022,1,2110058,성심여자고등학교,3933.0
2022,4,2110612,신정역 5번,8279.0
2022,1,2110059,새남터성지,1785.0
2022,4,2110786,당산역 8번,2077.0
2022,1,2110060,효창공원앞역 6번,3542.0
2022,4,2130243,도림시장,74.0
2022,2,2120068,사가정역,706.0
2022,4,2120013,이화사거리,830.0
2022,1,2110061,효창동주민센터,3915.0
2022,4,2120141,영등포청과시장교차로,1335.0
2022,1,2110062,한강로동땡땡거리(은행나무길),1303.0
2022,4,2130075,노룬산시장(노룬산골목시장),132.0
2022,1,2110063,효창공원앞역 5번,2934.0
2022,4,2120017,동묘앞역(동묘),867.0
2022,2,2120064,경희대학교(경희대),761.0
2022,4,2120228,석촌역(석촌호수),4191.0
2022,1,2110064,효창공원앞역 2번,3112.0
2022,4,2120167,고속터미널(고속터미널역),3.0
2022,1,2110065,남정초등학교,155.0
2022,4,2120030,중부경찰서(영화인의거리),428.0
2022,1,2110066,서울역 15번,2712.0
2022,4,2130200,"신월7동 골목시장(약수시장, 우성상가)",264.0
2022,2,2120060,강변역(테크노마트),5.0
2022,4,2110728,두산초등학교,1546.0
2022,1,2110067,배문고등학교,8305.0
2022,4,2110679,염창역 2번,1017.0
2022,1,2110068,남영역 1번,3360.0
2022,4,2110089,서빙고동주민센터,2666.0
2022,1,2110069,숙대입구,5003.0
2022,3,2120087,응암역,2369.0
2022,1,2110070,용산세무서,105.0
2022,4,2110377,미아사거리역 3번,838.0
2022,1,2110071,한강미주맨션아파트,232.0
2022,4,2110954,국기원,448.0
2022,1,2110072,열정도,124.0
2022,4,2110125,사근동살곶이상점가,4368.0
2022,1,2110073,삼각지역 3번,418.0
2022,3,2130295,인헌시장(원당종합시장),1370.0
2022,2,2120052,성수역,1062.0
2022,4,2110810,영신초등학교,3667.0
2022,1,2110074,서울역 12번,3182.0
2022,3,2110698,개웅초등학교(개웅중학교),6725.0
2022,1,2110075,숙대입구역 1번,3263.0
2022,2,2120195,성수대교남단,444.0
2022,1,2110077,삼광초등학교,1233.0
2022,2,2130058,이촌종합시장,112.0
2022,2,2120048,금호역,1469.0
2022,2,2130140,숭인시장,227.0
2022,1,2110078,이촌동점보아파트,465.0
2022,2,2130292,봉천현대시장,11.0
2022,1,2110079,후암동주민센터,10480.0
2022,3,2110334,석관중앙교회,2693.0
2022,1,2110080,해방촌예술마을,4134.0
2022,2,2130225,개봉중앙시장,3033.0
2022,2,2120044,삼각지역,1500.0
2022,3,2110314,종암경찰서,1089.0
2022,1,2110081,해방촌 남동측,3429.0
2022,3,2110597,신월1동주민센터,6200.0
2022,1,2110082,용산구청,982.0
2022,3,2110659,화곡역 4번,19671.0
2022,1,2110083,서빙고역 1번,727.0
2022,3,2110897,서울대입구역 8번,5719.0
2022,1,2110084,경리단길북측,3551.0
2022,3,2111081,둔촌푸르지오아파트,258.0
2022,1,2110085,경리단길남측,2745.0
2022,4,2110503,명지대학교교회,5025.0
2022,1,2110086,이태원역 북측,1266.0
2022,3,2120065,회기역,2091.0
2022,1,2110087,이태원엔틱가구거리,1882.0
2022,3,2120173,교대역(법원.검찰청),5253.0
2022,2,2120035,퇴계로5가,389.0
2022,3,2130038,"평화시장(통일상가, 동화상가)",7.0
2022,1,2110088,오산고등학교,1728.0
2022,3,2130064,금남시장,198.0
2022,1,2110089,서빙고동주민센터,2666.0
2022,4,2110933,한국상담대학원대학교,450.0
2022,1,2110090,한국폴리텍대학서울정수캠퍼스,1963.0
2022,4,2110132,성수2가3동주민센터,2091.0
2022,2,2120031,을지로3가역,670.0
2022,3,2130286,신신림시장(삼성동시장),51.0
2022,1,2110091,리움미술관,153.0
2022,4,2110306,미아초등학교,1185.0
2022,1,2110092,NH농협은행 보광동지점,3771.0
2022,4,2110366,광산사거리,2047.0
2022,1,2110093,우사단길,5830.0
2022,4,2110446,내를건너서숲으로도서관,1879.0
2022,2,2120027,명동역(명동재미로),1216.0
2022,4,2110471,응암동우체국,4802.0
2022,1,2110094,오산중학교,358.0
2022,4,2110540,망원나들목체육관,2699.0
2022,1,2110095,한강진역 3번,2582.0
2022,4,2111013,송파나루역 1번(송리단길),8690.0
