기준년코드,기준분기코드,상권코드,상권코드명,총직장인구수
2022,1,2110672,백석중학교,155.0
2022,3,2110797,KT대방빌딩,52.0
2022,1,2110660,등촌3동주민센터,4614.0
2022,3,2130277,조원동 펭귄시장(신림중앙시장),98.0
2022,1,2120120,화곡역,927.0
2022,4,2110390,방학초등학교,225.0
2022,1,2110663,우장산롯데캐슬아파트앞,316.0
2022,3,2110497,가좌역 3번,299.0
2022,1,2110656,까치산역 3번,838.0
2022,3,2110949,한남IC,1683.0
2022,1,2130227,고척골목시장상점가(그라운드 고척),97.0
2022,4,2120190,강남을지병원,11703.0
2022,1,2110629,송정역 4번,190.0
2022,3,2110442,화랑대철도공원,76.0
2022,1,2120020,시청역_1번,10375.0
2022,4,2110245,KB국민은행 중화동지점,108.0
2022,1,2110653,화곡역 2번,910.0
2022,3,2111075,굽은다리역 2번,192.0
2022,1,2120125,구로역,9291.0
2022,3,2110545,마포구청역 1번,880.0
2022,1,2120187,신논현역,13076.0
2022,3,2120031,을지로3가역,6147.0
2022,1,2120131,가산디지털단지,81100.0
2022,4,2120057,아차산역,2218.0
2022,1,2110718,한국SGI본부,1614.0
2022,4,2110467,은평요양병원,487.0
2022,1,2110698,개웅초등학교(개웅중학교),279.0
2022,4,2110028,이화달팽이길,704.0
2022,1,2110721,가리봉파출소,215.0
2022,3,2110695,개봉1동주민센터,546.0
2022,1,2110686,수궁동주민센터,490.0
2022,3,2110643,강서구다솔마을,653.0
2022,1,2110688,오류지구대,171.0
2022,4,2110178,장로회신학대학교,194.0
2022,1,2130222,오류시장,132.0
2022,3,2110836,상도역 5번,3057.0
2022,1,2130238,은행나무시장,113.0
2022,3,2130093,동서시장,5.0
2022,1,2110978,도곡2동주민센터(대치중학교),331.0
2022,3,2110146,신자초등학교,735.0
2022,1,2110737,금천세무서,506.0
2022,3,2130191,홍대 걷고싶은 거리,367.0
2022,1,2110849,이수역 10번,220.0
2022,4,2110460,구산역 4번,969.0
2022,1,2130271,남성역골목시장,467.0
2022,3,2110472,연신내역 4번,336.0
2022,1,2120176,논현역 4번,893.0
2022,4,2110116,청계천박물관,4884.0
2022,1,2110749,금산초등학교(금천고등학교),448.0
2022,4,2110831,상도4동주민센터,72.0
2022,1,2110731,금천구청역 1번 출입구,1041.0
2022,3,2110081,해방촌 남동측,291.0
2022,1,2130237,박미시장(기능상실),39.0
2022,4,2111063,강동구립 천호도서관,368.0
2022,1,2120174,논현역 5번,682.0
2022,4,2120037,동대문역사문화공원역,35320.0
2022,1,2110836,상도역 5번,3057.0
2022,4,2130090,청량리종합시장,19.0
2022,1,2110827,NH농협은행 상도동지점,262.0
2022,4,2110169,성동초등학교,221.0
2022,1,2110848,양지어린이공원,486.0
2022,4,1001491,이태원 관광특구,5839.0
2022,1,2130272,사당시장,45.0
2022,4,2110877,신림역 8번,319.0
2022,1,2130260,신대방1동골목상권,70.0
2022,3,2110618,강서고등학교,193.0
2022,1,2110840,중앙대학교,165.0
2022,4,2130084,신성시장(신성골목시장),21.0
2022,1,2110928,서초우방유쉘아파트,596.0
2022,4,2110253,중곡초등학교,181.0
2022,1,2110907,방배초등학교,878.0
2022,3,2110350,가오리역 2번,148.0
2022,1,2110912,방배동사이길,210.0
2022,3,2120088,구산역,799.0
2022,1,2130296,남부종합시장,85.0
2022,3,2120124,개봉동 현대아파트,461.0
2022,1,2110974,언주중학교,292.0
2022,3,2130094,청량리청과물시장,54.0
2022,1,2111018,풍납초등학교(풍납백제문화공원),26.0
2022,3,2120010,원남동사거리,4107.0
2022,1,2110437,당고개역 2번,116.0
2022,3,2110409,창동역 2번,3957.0
2022,1,2110914,내방역 6번,146.0
2022,3,2120008,인사동,22070.0
2022,1,2120240,개롱역,1609.0
2022,3,2130193,신수시장,34.0
2022,1,2110983,국립국악고등학교,783.0
2022,4,2110920,방배역 2번(백석예술대학교),359.0
2022,1,2130305,논현종합시장,85.0
2022,4,2111012,석촌역 6번,732.0
2022,1,2111031,장지동주민센터(한림연예예술고교),3127.0
2022,4,2110042,남산골공원옆,994.0
2022,1,2111013,송파나루역 1번(송리단길),2234.0
2022,3,2130028,을지입구지하상가(을지로지하보도쇼핑센터),2.0
2022,1,2111015,석촌역 3번,1352.0
2022,4,2110119,마장지하차도,127.0
2022,1,2110532,아현역 2번,330.0
2022,4,2110334,석관중앙교회,170.0
2022,1,2110297,경동고등학교,654.0
2022,4,2110546,양화대교북단,684.0
2022,1,2120081,노원역,1552.0
2022,4,2110237,메가박스 상봉,274.0
2022,1,2120017,동묘앞역(동묘),626.0
2022,4,2120113,오목교역,628.0
2022,1,2110223,군자초등학교,94.0
2022,3,2110082,용산구청,1571.0
2022,1,2130146,쌍문시장(쌍문역골목시장),263.0
2022,4,2120062,신설동역,12641.0
2022,1,2120225,잠실새내역(신천),5750.0
2022,4,2110408,가인초등학교,359.0
2022,1,2110224,외대앞역 2번,95.0
2022,3,2120202,압구정로데오역(압구정로데오),11735.0
2022,1,2120241,거여역,1197.0
2022,4,2110815,공군호텔,2240.0
2022,1,2111066,암사동성당(효정하나플러스아파트),395.0
2022,4,2130247,우리시장,21.0
2022,1,2130316,마천시장,18.0
2022,4,2110417,월계역 3번,26.0
2022,1,2110413,누원고등학교,54.0
2022,4,2110439,당고개역 5번,63.0
2022,1,2130312,석촌시장,619.0
2022,4,2110299,정릉역 1번,372.0
2022,1,2111029,오금역 4번,427.0
2022,4,2110626,양화초등학교,652.0
2022,1,2110015,청와대사랑채,578.0
2022,3,2130233,남문시장,76.0
2022,1,2120107,공덕역(공덕오거리),13077.0
2022,4,2110399,창2동주민센터,852.0
2022,1,2120244,암사역,916.0
2022,4,1001495,잠실 관광특구,24375.0
2022,1,2111075,굽은다리역 2번,192.0
2022,3,2110542,마포구청역 7번,4013.0
2022,1,2111070,천호초등학교,127.0
2022,3,2110446,내를건너서숲으로도서관,375.0
2022,1,2130321,장신구 특화거리 상점가,433.0
2022,3,2120062,신설동역,12641.0
2022,1,2110084,경리단길북측,315.0
2022,4,2110235,세화어린이공원,17.0
2022,1,2110065,남정초등학교,137.0
2022,4,2110180,광진정보도서관,5946.0
2022,1,2110042,남산골공원옆,994.0
2022,4,2110242,면목5동주민센터,164.0
2022,1,2110073,삼각지역 3번,7916.0
2022,4,2120051,뚝섬역,3944.0
2022,1,2130051,동화동 골목형상점가,391.0
2022,3,2110707,구로창업지원센터,1045.0
2022,1,2110064,효창공원앞역 2번,925.0
2022,3,2110260,면목역 3번,126.0
2022,1,2110072,열정도,374.0
2022,3,2110753,시흥동 은행나무사거리,617.0
2022,1,2110170,동대부여고,189.0
2022,3,2110349,화계역 2번,83.0
2022,1,2130082,면곡골목시장,20.0
2022,3,2110906,서문여고,683.0
2022,1,2110323,상월곡역 1번,109.0
2022,3,2110760,선유도역 6번,1792.0
2022,1,2110507,명지대학교,1537.0
2022,3,2130238,은행나무시장,113.0
2022,1,2120158,녹두거리(대학동),695.0
2022,3,2110066,서울역 15번,748.0
2022,1,2110583,공덕래미안3차아파트,316.0
2022,3,2120018,중림동,2187.0
2022,1,2110811,보라매역 4번,187.0
2022,3,2110445,덕산중학교,61.0
2022,1,2110766,대림역 5번,360.0
2022,3,2110139,자양4동주민센터,204.0
2022,1,2130255,영등포전통시장,45.0
2022,3,2130183,상암동상점가,816.0
2022,1,2110872,신림초등학교,277.0
2022,3,2110046,버티고개,106.0
2022,1,2110971,선정릉역 4번,1542.0
2022,3,2130274,사당1동먹자골목상점가(사당1동먹자골목),389.0
2022,1,2120047,한남오거리,2290.0
2022,3,2120212,한티역,713.0
2022,1,2110112,행당역 2번,205.0
2022,4,2120213,삼성중앙역,8472.0
2022,1,2130012,"동대문종합시장(동대문종합시장 신관, 동대문종합시장D동상가)",1319.0
2022,4,2110691,개봉중학교,395.0
2022,1,2110109,금호삼성래미안아파트,92.0
2022,4,2110177,동의초등학교,135.0
2022,1,2110025,충신시장옆,213.0
2022,4,2110792,영등포역 2번,3400.0
2022,1,2110011,청운초등학교,263.0
2022,4,2110367,강북구청,1943.0
2022,1,2130087,경동광성상가(경동시장),28.0
2022,4,2110496,모래내우체국,611.0
2022,1,2130025,삼익패션타운(남대문시장),5494.0
2022,3,2110181,신설동역 9번,1864.0
2022,1,2120019,경찰청앞교차로,5958.0
2022,3,2110202,전농1동주민센터(전농시장),111.0
2022,1,2120025,롯데백화점(시청광장 지하쇼핑센터),22641.0
2022,3,2110360,수유초등학교,321.0
2022,1,2130034,필동 골목형상점가,14.0
2022,4,2120080,마들역,180.0
2022,1,2130058,이촌종합시장,109.0
2022,4,2130085,용두시장,4.0
2022,1,2110147,능동우편취급국,815.0
2022,4,2110555,홍익지구대,335.0
2022,1,2130046,team204(팀204),20.0
2022,4,2110791,신풍역 3번,25.0
2022,1,2110046,버티고개,106.0
2022,3,2110006,부암동주민센터,27.0
2022,1,2120008,인사동,22070.0
2022,4,2120181,교육개발원입구사거리,7278.0
2022,1,2110144,어린이대공원역 4번,47.0
2022,4,2110140,건대입구역 6번,552.0
2022,1,2130071,성수역 골목형상점가,335.0
2022,4,2110757,양평역 2번,1501.0
2022,1,2110143,뚝섬유원지역 1번,63.0
2022,4,2110381,번동주공2단지,171.0
2022,1,2130063,신금호역 골목형상점가,30.0
2022,3,2110576,대흥역 3번,1605.0
2022,1,2110243,중랑노인종합복지관,317.0
2022,3,2110882,신성초등학교,733.0
2022,1,2110168,대원고등학교,688.0
2022,4,2110324,월곡역 4번,99.0
2022,1,2110850,사당역 10번,969.0
2022,4,2130145,쌍문역둘리상점가,244.0
2022,1,2110233,중랑역 1번,142.0
2022,4,2110661,강서새말어린이공원,126.0
2022,1,2110356,덕수교,228.0
2022,4,2120236,장지역(가든파이브),4622.0
2022,1,2110264,면목역 2번,358.0
2022,4,2120069,상봉역,932.0
2022,1,2110566,경의선책거리,1690.0
2022,4,2130057,만리시장,12.0
2022,1,2110330,돌곶이역 1번,220.0
2022,4,2110771,대림역 11번,955.0
2022,1,2110989,대치동아우편취급국,444.0
2022,4,2110564,홍대입구역 3번,471.0
2022,1,2110493,북가좌초등학교,892.0
2022,4,2110570,KB국민은행 서강지점,61.0
2022,1,2110343,무너미어린이공원,100.0
2022,4,2110796,한림대학교한강성심병원,87.0
2022,1,2110320,KB국민은행 종암동지점,72.0
2022,4,2110788,영등포시장역 3번,28.0
2022,1,2120075,월곡역,369.0
2022,4,2110414,장석교회,61.0
2022,1,2110283,성북초등학교앞,203.0
2022,4,2120032,충무로역,11403.0
2022,1,2110349,화계역 2번,83.0
2022,4,2130299,엔터식스 강남점,1850.0
2022,1,2110359,수유시장옆,117.0
2022,4,2111035,오금공원(오주중학교),531.0
2022,1,2110372,강북중학교,188.0
2022,4,2110586,서울서부지방법원,1461.0
2022,1,2110530,아현역 1번,36.0
2022,4,2111074,명일역 1번,148.0
2022,1,2130129,장미원골목시장,911.0
2022,4,2110469,응암정보도서관,340.0
2022,1,2110495,북가좌2동주민센터,501.0
2022,4,2110076,삼각지역 14번,537.0
2022,1,2110562,연트럴파크(연남동주민센터),426.0
2022,4,2120145,영등포역(영등포),3856.0
2022,1,2130185,망원월드컵시장,190.0
2022,4,2130002,세종마을음식문화거리(금천교시장),564.0
2022,1,2110757,양평역 2번,1501.0
2022,4,2111073,둔촌동역 1번(한산중학교),973.0
2022,1,2110502,남가좌파출소,290.0
2022,4,2110540,망원나들목체육관,288.0
2022,1,2110496,모래내우체국,611.0
2022,4,2110979,청담초등학교,2996.0
2022,1,2110551,성서초등학교,803.0
2022,3,2110058,성심여자고등학교,947.0
2022,1,2110565,홍익대,107.0
2022,3,2130118,정릉골 골목형상점가,67.0
2022,1,2130175,신촌 상인회(신촌상점가),13.0
2022,3,2110200,동대문경찰서,74.0
2022,1,2110578,대흥역 2번,2091.0
2022,3,2110544,망리단길,1203.0
2022,1,2120138,당산2동(영등포우체국),2754.0
2022,3,2110408,가인초등학교,359.0
2022,1,2130186,망원시장,178.0
2022,3,2110412,창동중학교,25.0
2022,1,2110563,상수역 3번,355.0
2022,4,2130186,망원시장,178.0
2022,1,2120159,서울대입구역,1430.0
2022,4,2110270,혜원여고,168.0
2022,1,2110756,문래중학교,275.0
2022,4,2120004,종로구청,12937.0
2022,1,2130285,서원동상점가,615.0
2022,4,2110127,성수1가1동주민센터,290.0
2022,1,2110864,신림우방아파트,236.0
2022,4,2110120,서울숲카페거리,79.0
2022,1,2110772,신우어린이공원,94.0
2022,4,2110234,중랑역 4번,96.0
2022,1,2130289,봉일시장,36.0
2022,4,2110292,정릉역 2번,43.0
2022,1,2130282,난곡 골목형상점가,20.0
2022,4,2110839,숭실대입구역 4번,187.0
2022,1,2110874,원신초등학교(구세군관악영문교회),46.0
2022,4,2130184,마포농수산물시장,77.0
2022,1,2110410,방학역 2번,957.0
2022,3,2110619,목4동주민센터,311.0
2022,1,2120201,도곡1동,11559.0
2022,3,2110091,리움미술관,1106.0
2022,1,2130308,청담삼익시장,48.0
2022,3,2130105,장미제일시장(중화동제일시장),63.0
2022,1,2110977,논현로18길,148.0
2022,3,2111014,송파나루역 2번,525.0
2022,1,2110969,베르사이유1아파트,1546.0
2022,3,2130234,푸른터시장(기능상실),3.0
2022,1,2110860,호림박물관(성보고등학교),410.0
2022,3,2110583,공덕래미안3차아파트,316.0
2022,1,2130020,동묘시장(동묘벼룩시장),407.0
2022,3,2110359,수유시장옆,117.0
2022,1,2120082,상계백병원,426.0
2022,3,2110450,시립서북병원,1576.0
2022,1,2130206,신정3동 골목시장,20.0
2022,3,2110700,고척초등학교,3249.0
2022,1,2130100,답십리시장,93.0
2022,3,2111003,삼전역 4번,1991.0
