,상권코드,시군구명,서비스업종명,월예상매출
0,2110118,성동구,치킨전문점,1373.0
1,2110118,성동구,커피-음료,1067.0
2,2110118,성동구,분식전문점,1164.0
3,2110118,성동구,한식음식점,1288.0
4,2110118,성동구,제과점,1195.0
5,2110118,성동구,일식음식점,1001.0
6,2110118,성동구,호프-간이주점,1164.0
7,2110118,성동구,패스트푸드점,1479.0
8,2120087,은평구,제과점,977.0
9,2120087,은평구,치킨전문점,1092.0
10,2120087,은평구,패스트푸드점,1242.0
11,2120087,은평구,양식음식점,896.0
12,2120087,은평구,한식음식점,943.0
13,2120087,은평구,일식음식점,796.0
14,2120087,은평구,커피-음료,747.0
15,2120087,은평구,분식전문점,880.0
16,2110766,영등포구,분식전문점,746.0
17,2110766,영등포구,중식음식점,805.0
18,2110766,영등포구,커피-음료,622.0
19,2110766,영등포구,호프-간이주점,746.0
20,2110766,영등포구,한식음식점,935.0
21,2120097,서대문구,패스트푸드점,816.0
22,2120097,서대문구,한식음식점,802.0
23,2120097,서대문구,분식전문점,812.0
24,2120097,서대문구,커피-음료,852.0
25,2120097,서대문구,양식음식점,812.0
26,2120097,서대문구,일식음식점,699.0
27,2120097,서대문구,호프-간이주점,812.0
28,2120097,서대문구,중식음식점,812.0
29,2130161,은평구,한식음식점,1049.0
30,2130161,은평구,육류판매,797.0
31,2110708,구로구,중식음식점,851.0
32,2110708,구로구,호프-간이주점,851.0
33,2110708,구로구,커피-음료,982.0
34,2110708,구로구,한식음식점,866.0
35,2110708,구로구,분식전문점,851.0
36,2110972,강남구,커피-음료,582.0
37,2110972,강남구,치킨전문점,723.0
38,2110972,강남구,한식음식점,612.0
39,2120168,서초구,분식전문점,727.0
40,2120168,서초구,호프-간이주점,727.0
41,2120168,서초구,제과점,778.0
42,2120168,서초구,한식음식점,766.0
43,2120168,서초구,양식음식점,727.0
44,2120168,서초구,커피-음료,805.0
45,2120168,서초구,중식음식점,810.0
46,2110393,도봉구,호프-간이주점,957.0
47,2110393,도봉구,한식음식점,1263.0
48,2110393,도봉구,분식전문점,1101.0
49,2110393,도봉구,패스트푸드점,1165.0
50,2110393,도봉구,치킨전문점,1230.0
51,2110393,도봉구,양식음식점,1101.0
52,2110393,도봉구,커피-음료,1156.0
53,2110393,도봉구,제과점,1183.0
54,2110402,도봉구,한식음식점,1222.0
55,2110402,도봉구,중식음식점,1089.0
56,2110402,도봉구,호프-간이주점,1089.0
57,2110402,도봉구,커피-음료,1022.0
58,2110402,도봉구,치킨전문점,1307.0
59,2110449,은평구,커피-음료,1138.0
60,2110449,은평구,치킨전문점,1384.0
61,2110449,은평구,호프-간이주점,1233.0
62,2110449,은평구,제과점,1389.0
63,2110449,은평구,육류판매,1233.0
64,2110449,은평구,한식음식점,1351.0
65,2110449,은평구,패스트푸드점,1539.0
66,2110449,은평구,양식음식점,1291.0
67,2110449,은평구,분식전문점,1233.0
68,2130212,강서구,분식전문점,766.0
69,2130212,강서구,커피-음료,801.0
70,2130212,강서구,호프-간이주점,766.0
71,2130212,강서구,한식음식점,990.0
72,2110388,도봉구,한식음식점,1194.0
73,2110388,도봉구,호프-간이주점,1048.0
74,2110388,도봉구,커피-음료,910.0
75,2110388,도봉구,육류판매,1048.0
76,2110332,성북구,한식음식점,1144.0
77,2110332,성북구,중식음식점,905.0
78,2110332,성북구,호프-간이주점,905.0
79,2110271,중랑구,한식음식점,1279.0
80,2110229,동대문구,중식음식점,1384.0
81,2110229,동대문구,호프-간이주점,1384.0
82,2110229,동대문구,한식음식점,1594.0
83,2110229,동대문구,분식전문점,1442.0
84,2110229,동대문구,커피-음료,1320.0
85,2110229,동대문구,제과점,1525.0
86,2110229,동대문구,육류판매,1384.0
87,2110229,동대문구,일식음식점,1239.0
88,2130231,금천구,호프-간이주점,900.0
89,2130231,금천구,한식음식점,1149.0
90,2130231,금천구,중식음식점,1036.0
91,2130231,금천구,육류판매,1036.0
92,2110799,영등포구,중식음식점,1017.0
93,2110799,영등포구,호프-간이주점,1017.0
94,2110799,영등포구,한식음식점,1267.0
95,2110518,서대문구,중식음식점,1105.0
96,2110518,서대문구,분식전문점,1105.0
97,2110518,서대문구,커피-음료,1104.0
98,2110146,광진구,일식음식점,1243.0
99,2110146,광진구,한식음식점,1551.0
100,2110146,광진구,분식전문점,1389.0
101,2110146,광진구,호프-간이주점,1389.0
102,2110146,광진구,중식음식점,1389.0
103,2110146,광진구,커피-음료,1207.0
104,2110146,광진구,치킨전문점,1236.0
105,2110146,광진구,육류판매,1389.0
106,2130320,강동구,호프-간이주점,1120.0
107,2130320,강동구,육류판매,1092.0
108,2130320,강동구,치킨전문점,1410.0
109,2130320,강동구,분식전문점,1247.0
110,2130320,강동구,한식음식점,1301.0
111,2130320,강동구,제과점,998.0
112,2130179,서대문구,일식음식점,734.0
113,2130179,서대문구,커피-음료,761.0
114,2130179,서대문구,한식음식점,1013.0
115,2130179,서대문구,분식전문점,962.0
116,2130179,서대문구,중식음식점,982.0
117,2130179,서대문구,제과점,927.0
118,2130179,서대문구,치킨전문점,1183.0
119,2130179,서대문구,양식음식점,962.0
120,2130179,서대문구,호프-간이주점,894.0
121,2130179,서대문구,패스트푸드점,1232.0
122,2130007,종로구,분식전문점,926.0
123,2130007,종로구,한식음식점,875.0
124,2130007,종로구,육류판매,926.0
125,2130007,종로구,커피-음료,915.0
126,2120010,종로구,육류판매,928.0
127,2120010,종로구,커피-음료,902.0
128,2120010,종로구,분식전문점,966.0
129,2120010,종로구,한식음식점,968.0
130,2120010,종로구,중식음식점,928.0
131,2120010,종로구,양식음식점,966.0
132,2110516,서대문구,패스트푸드점,1543.0
133,2110516,서대문구,한식음식점,1424.0
134,2111088,강동구,치킨전문점,1338.0
135,2111088,강동구,한식음식점,927.0
136,2111088,강동구,커피-음료,893.0
137,2111088,강동구,패스트푸드점,769.0
138,2111088,강동구,일식음식점,903.0
139,2111088,강동구,육류판매,914.0
140,2111088,강동구,중식음식점,914.0
141,2111088,강동구,호프-간이주점,914.0
142,2111088,강동구,분식전문점,914.0
143,2110835,동작구,치킨전문점,938.0
144,2110835,동작구,한식음식점,1072.0
145,2110835,동작구,호프-간이주점,900.0
146,2110835,동작구,커피-음료,906.0
147,2110835,동작구,패스트푸드점,1267.0
148,2110835,동작구,양식음식점,900.0
149,2110835,동작구,분식전문점,900.0
150,2110471,은평구,치킨전문점,1499.0
151,2110471,은평구,호프-간이주점,1269.0
152,2110471,은평구,일식음식점,1186.0
153,2110471,은평구,한식음식점,1518.0
154,2110471,은평구,제과점,1391.0
155,2110471,은평구,중식음식점,1269.0
156,2110692,구로구,한식음식점,1085.0
157,2110692,구로구,분식전문점,1001.0
158,2110537,서대문구,일식음식점,797.0
159,2110537,서대문구,양식음식점,954.0
160,2110537,서대문구,호프-간이주점,954.0
161,2110537,서대문구,육류판매,954.0
162,2110537,서대문구,커피-음료,1018.0
163,2110537,서대문구,한식음식점,1025.0
164,2130072,성동구,제과점,1497.0
165,2130072,성동구,치킨전문점,1619.0
166,2130072,성동구,분식전문점,1368.0
167,2130072,성동구,일식음식점,1267.0
168,2130072,성동구,호프-간이주점,1427.0
169,2130072,성동구,한식음식점,1513.0
170,2130072,성동구,육류판매,1451.0
171,2130072,성동구,커피-음료,1392.0
172,2130072,성동구,패스트푸드점,1825.0
173,2110284,성북구,분식전문점,1018.0
174,2110284,성북구,커피-음료,1039.0
175,2110284,성북구,한식음식점,1387.0
176,2120224,강남구,치킨전문점,1182.0
177,2120224,강남구,패스트푸드점,1123.0
178,2120224,강남구,호프-간이주점,753.0
179,2120224,강남구,분식전문점,753.0
180,2120224,강남구,한식음식점,838.0
181,2120224,강남구,중식음식점,753.0
182,2120224,강남구,일식음식점,646.0
183,2120224,강남구,제과점,680.0
184,2120224,강남구,커피-음료,825.0
185,2120224,강남구,양식음식점,799.0
186,2110303,성북구,일식음식점,980.0
187,2110303,성북구,제과점,1263.0
188,2110303,성북구,호프-간이주점,1126.0
189,2110303,성북구,커피-음료,1056.0
190,2110303,성북구,치킨전문점,1135.0
191,2110303,성북구,분식전문점,1126.0
